date,부가세계산기
2020-03-20,28.89835
2020-03-21,7.45077
2020-03-22,5.30867
2020-03-23,31.97179
2020-03-24,31.97179
2020-03-25,34.00745
2020-03-26,31.17349
2020-03-27,30.13571
2020-03-28,6.82543
2020-03-29,5.62799
2020-03-30,39.34273
2020-03-31,46.19478
2020-04-01,41.32517
2020-04-02,38.17189
2020-04-03,31.01383
2020-04-04,7.0117
2020-04-05,5.82756
2020-04-06,38.30494
2020-04-07,38.06546
2020-04-08,36.96114
2020-04-09,37.17402
2020-04-10,34.1538
2020-04-11,6.97179
2020-04-12,5.68121
2020-04-13,33.96753
2020-04-14,31.51942
2020-04-15,8.48855
2020-04-16,32.71687
2020-04-17,31.37307
2020-04-18,7.17136
2020-04-19,5.33528
2020-04-20,37.3736
2020-04-21,34.03406
2020-04-22,32.82331
2020-04-23,34.57956
2020-04-24,29.88291
2020-04-25,6.54603
2020-04-26,5.46833
2020-04-27,35.68387
2020-04-28,35.98988
2020-04-29,38.27833
2020-04-30,10.52421
2020-05-01,12.9191
2020-05-02,6.53273
2020-05-03,5.81426
2020-05-04,31.65247
2020-05-05,9.02075
2020-05-06,45.09047
2020-05-07,42.01703
2020-05-08,35.2315
2020-05-09,8.00957
2020-05-10,7.2778
2020-05-11,40.48696
2020-05-12,33.46194
2020-05-13,32.51729
2020-05-14,31.59925
2020-05-15,31.75891
2020-05-16,7.21128
2020-05-17,5.88078
2020-05-18,34.32676
2020-05-19,34.22032
2020-05-20,34.4332
2020-05-21,31.25332
2020-05-22,29.5769
2020-05-23,7.14475
2020-05-24,6.37307
2020-05-25,36.45556
2020-05-26,35.40447
2020-05-27,37.653
2020-05-28,34.9654
2020-05-29,34.79244
2020-05-30,8.76796
2020-05-31,8.06279
2020-06-01,45.35657
2020-06-02,42.13677
2020-06-03,38.95689
2020-06-04,37.34699
2020-06-05,32.99627
2020-06-06,6.70569
2020-06-07,6.4662
2020-06-08,39.15646
2020-06-09,39.10324
2020-06-10,39.74188
2020-06-11,32.91644
2020-06-12,30.62799
2020-06-13,7.74348
2020-06-14,5.53485
2020-06-15,35.65726
2020-06-16,32.73017
