date,현대미포조선주가
2020-11-07,1.15051
2020-11-08,0.8184
2020-11-09,28.27659
2020-11-10,29.32036
2020-11-11,28.46242
2020-11-12,28.03937
2020-11-13,29.17803
2020-11-14,3.53457
2020-11-15,3.38828
2020-11-16,45.72015
2020-11-17,47.12371
2020-11-18,39.83315
2020-11-19,39.18475
2020-11-20,39.35871
2020-11-21,5.80793
2020-11-22,4.20669
2020-11-23,58.49049
2020-11-24,50.085
2020-11-25,58.54188
2020-11-26,52.36231
2020-11-27,42.35559
2020-11-28,5.38884
2020-11-29,5.32163
2020-11-30,40.90064
2020-12-01,38.44146
2020-12-02,36.75325
2020-12-03,39.8292
2020-12-04,44.20986
2020-12-05,5.63792
2020-12-06,5.12394
2020-12-07,39.71059
2020-12-08,35.72134
2020-12-09,37.1328
2020-12-10,37.67445
2020-12-11,55.78618
2020-12-12,7.21148
2020-12-13,6.40098
2020-12-14,53.82121
2020-12-15,42.19744
2020-12-16,42.94468
2020-12-17,38.69054
2020-12-18,34.72106
2020-12-19,4.60206
2020-12-20,3.82714
2020-12-21,37.30281
2020-12-22,38.71426
2020-12-23,36.99442
2020-12-24,35.04131
2020-12-25,5.63792
2020-12-26,3.62946
2020-12-27,3.89435
2020-12-28,35.57901
2020-12-29,33.37286
2020-12-30,33.51915
2020-12-31,8.48851
2021-01-01,3.55038
2021-01-02,2.90989
2021-01-03,2.7557
2021-01-04,36.57929
2021-01-05,65.58731
2021-01-06,58.09512
2021-01-07,54.86498
2021-01-08,50.97457
2021-01-09,6.51959
2021-01-10,4.83532
2021-01-11,47.05649
2021-01-12,43.31633
2021-01-13,43.174
2021-01-14,43.92915
2021-01-15,37.22373
2021-01-16,4.20669
2021-01-17,3.11153
2021-01-18,38.14889
2021-01-19,40.24433
2021-01-20,36.0574
2021-01-21,40.83738
2021-01-22,33.42031
2021-01-23,3.85877
2021-01-24,3.18269
2021-01-25,35.6739
2021-01-26,30.91369
2021-01-27,30.46692
2021-01-28,30.57367
2021-01-29,33.12774
2021-01-30,3.42782
2021-01-31,2.79523
2021-02-01,40.54086
2021-02-02,35.74506
2021-02-03,34.15174
2021-02-04,29.59712
2021-02-05,30.0597
2021-02-06,4.85509
2021-02-07,4.0011
2021-02-08,46.26576
2021-02-09,38.14889
2021-02-10,29.78294
2021-02-11,4.06831
2021-02-12,4.68509
2021-02-13,3.32503
2021-02-14,4.32135
2021-02-15,46.82323
2021-02-16,38.84473
2021-02-17,33.27402
2021-02-18,32.94982
2021-02-19,31.39208
2021-02-20,4.76811
2021-02-21,4.4281
2021-02-22,34.82386
2021-02-23,45.88225
2021-02-24,42.11046
2021-02-25,42.88933
2021-02-26,42.86956
2021-02-27,5.07254
2021-02-28,4.93812
2021-03-01,5.5114
2021-03-02,39.23219
2021-03-03,33.17123
2021-03-04,30.32459
2021-03-05,28.81825
2021-03-06,3.13525
2021-03-07,3.02455
2021-03-08,44.63685
2021-03-09,50.29059
2021-03-10,43.18981
2021-03-11,41.87719
2021-03-12,42.64816
2021-03-13,5.17534
2021-03-14,4.39647
2021-03-15,58.41537
2021-03-16,50.4685
