date,삼성주식시세
2020-03-20,86.17439
2020-03-21,39.86645
2020-03-22,33.73919
2020-03-23,87.98114
2020-03-24,78.55459
2020-03-25,72.34878
2020-03-26,64.13982
2020-03-27,49.6465
2020-03-28,28.63315
2020-03-29,22.58444
2020-03-30,38.80597
2020-03-31,22.8201
2020-04-01,19.20659
2020-04-02,19.75648
2020-04-03,14.6897
2020-04-04,7.34485
2020-04-05,7.97329
2020-04-06,15.5538
2020-04-07,17.87117
2020-04-08,15.86802
2020-04-09,10.84053
2020-04-10,13.94344
2020-04-11,6.48075
2020-04-12,7.50196
2020-04-13,13.47211
2020-04-14,9.81932
2020-04-15,7.10919
2020-04-16,10.80125
2020-04-17,13.66849
2020-04-18,8.641
2020-04-19,7.03063
2020-04-20,11.86174
2020-04-21,16.06441
2020-04-22,14.06127
2020-04-23,13.35428
2020-04-24,8.68028
2020-04-25,5.22388
2020-04-26,5.49882
2020-04-27,9.62293
2020-04-28,7.7769
2020-04-29,9.66221
2020-04-30,5.6952
2020-05-01,5.97014
2020-05-02,5.30243
2020-05-03,6.20581
2020-05-04,7.69835
2020-05-05,5.22388
2020-05-06,10.95836
2020-05-07,7.7769
2020-05-08,5.6952
2020-05-09,4.12411
2020-05-10,3.84917
2020-05-11,2.51374
2020-05-12,5.06677
2020-05-13,4.35978
2020-05-14,2.82796
2020-05-15,4.47761
2020-05-16,2.78868
2020-05-17,2.5923
2020-05-18,4.39905
2020-05-19,6.12725
2020-05-20,4.43833
2020-05-21,3.22073
2020-05-22,2.35663
2020-05-23,2.19952
2020-05-24,1.21759
2020-05-25,3.69206
2020-05-26,3.77062
2020-05-27,2.63157
2020-05-28,2.5923
2020-05-29,2.74941
2020-05-30,0.90337
2020-05-31,1.17831
2020-06-01,2.67085
2020-06-02,2.12097
2020-06-03,4.24194
2020-06-04,6.9128
2020-06-05,5.22388
2020-06-06,3.77062
2020-06-07,4.12411
2020-06-08,9.46582
2020-06-09,8.9945
2020-06-10,5.57737
2020-06-11,4.20267
2020-06-12,6.12725
2020-06-13,2.82796
2020-06-14,2.94579
2020-06-15,4.3205
2020-06-16,4.47761
2020-06-17,2.86724
2020-06-18,2.04241
2020-06-19,2.27808
2020-06-20,1.92458
2020-06-21,2.43519
2020-06-22,3.69206
2020-06-23,3.06362
2020-06-24,3.18146
2020-06-25,2.82796
2020-06-26,2.98507
2020-06-27,1.84603
2020-06-28,2.47446
2020-06-29,2.90652
2020-06-30,3.26001
2020-07-01,2.27808
2020-07-02,2.31736
2020-07-03,1.84603
2020-07-04,1.53181
2020-07-05,1.57109
2020-07-06,2.5923
2020-07-07,3.26001
2020-07-08,2.39591
2020-07-09,2.55302
2020-07-10,1.68892
2020-07-11,1.29615
2020-07-12,2.27808
2020-07-13,2.86724
2020-07-14,2.43519
2020-07-15,2.74941
2020-07-16,2.31736
2020-07-17,2.43519
2020-07-18,1.09976
2020-07-19,1.29615
2020-07-20,1.88531
2020-07-21,2.90652
2020-07-22,3.33857
2020-07-23,2.35663
2020-07-24,2.71013
2020-07-25,1.41398
2020-07-26,3.14218
2020-07-27,2.71013
2020-07-28,3.4564
2020-07-29,6.75569
2020-07-30,4.59544
2020-07-31,2.86724
2020-08-01,2.00314
2020-08-02,1.25687
2020-08-03,2.90652
2020-08-04,2.47446
2020-08-05,2.16025
2020-08-06,3.49567
2020-08-07,3.77062
2020-08-08,2.19952
2020-08-09,2.16025
2020-08-10,3.18146
2020-08-11,2.12097
2020-08-12,2.2388
2020-08-13,1.84603
2020-08-14,1.84603
2020-08-15,0.78554
2020-08-16,1.09976
2020-08-17,1.53181
2020-08-18,2.51374
2020-08-19,1.68892
2020-08-20,2.35663
2020-08-21,2.78868
2020-08-22,1.09976
2020-08-23,1.17831
2020-08-24,1.92458
2020-08-25,2.19952
2020-08-26,1.61036
2020-08-27,2.12097
2020-08-28,2.94579
2020-08-29,1.61036
2020-08-30,2.86724
2020-08-31,3.02435
2020-09-01,3.06362
2020-09-02,2.78868
2020-09-03,2.39591
2020-09-04,2.47446
2020-09-05,0.8641
2020-09-06,1.17831
2020-09-07,2.27808
2020-09-08,2.47446
2020-09-09,2.00314
2020-09-10,1.33542
2020-09-11,1.57109
2020-09-12,1.61036
2020-09-13,1.29615
2020-09-14,3.06362
2020-09-15,3.4564
