date,대법원법원경매정보
2020-03-20,58.10306
2020-03-21,38.85209
2020-03-22,40.0548
2020-03-23,74.63652
2020-03-24,70.48032
2020-03-25,66.5677
2020-03-26,87.82065
2020-03-27,67.48877
2020-03-28,41.49349
2020-03-29,38.89015
2020-03-30,73.19783
2020-03-31,69.70388
2020-04-01,68.94268
2020-04-02,68.02161
2020-04-03,60.3943
2020-04-04,40.1157
2020-04-05,39.423
2020-04-06,78.74705
2020-04-07,80.56633
2020-04-08,76.1361
2020-04-09,70.41181
2020-04-10,61.26969
2020-04-11,44.30996
2020-04-12,47.01986
2020-04-13,87.98812
2020-04-14,79.70617
2020-04-15,47.68973
2020-04-16,73.40336
2020-04-17,75.90774
2020-04-18,47.06554
2020-04-19,50.39202
2020-04-20,90.78176
2020-04-21,87.029
2020-04-22,85.85674
2020-04-23,76.85164
2020-04-24,70.89898
2020-04-25,44.05115
2020-04-26,44.53071
2020-04-27,88.12514
2020-04-28,83.63401
2020-04-29,72.20065
2020-04-30,45.14729
2020-05-01,52.40922
2020-05-02,45.68014
2020-05-03,49.22737
2020-05-04,80.55111
2020-05-05,60.02131
2020-05-06,86.31346
2020-05-07,74.35487
2020-05-08,62.64748
2020-05-09,48.20735
2020-05-10,45.85521
2020-05-11,78.58719
2020-05-12,78.0239
2020-05-13,68.92745
2020-05-14,64.18512
2020-05-15,65.63903
2020-05-16,41.48587
2020-05-17,38.9815
2020-05-18,82.24099
2020-05-19,80.76425
2020-05-20,67.75519
2020-05-21,63.99482
2020-05-22,57.86709
2020-05-23,39.22508
2020-05-24,41.72946
2020-05-25,76.28834
2020-05-26,72.58887
2020-05-27,66.48397
2020-05-28,64.00243
2020-05-29,57.72246
2020-05-30,37.31445
2020-05-31,38.02237
2020-06-01,78.3436
2020-06-02,74.36248
2020-06-03,69.56687
2020-06-04,70.0921
2020-06-05,80.71096
2020-06-06,49.25782
2020-06-07,47.95615
2020-06-08,100.0
2020-06-09,88.2926
2020-06-10,80.68813
2020-06-11,77.76509
2020-06-12,70.83047
2020-06-13,48.21496
2020-06-14,48.16929
2020-06-15,87.21169
2020-06-16,78.72421
2020-06-17,70.60972
2020-06-18,68.46311
2020-06-19,59.63309
2020-06-20,39.59046
2020-06-21,40.31361
2020-06-22,82.76623
2020-06-23,75.60325
2020-06-24,75.67937
2020-06-25,69.60493
2020-06-26,57.33424
2020-06-27,38.8597
2020-06-28,37.76356
2020-06-29,75.74788
2020-06-30,78.10002
2020-07-01,66.5677
2020-07-02,62.6627
2020-07-03,62.44195
2020-07-04,38.42582
2020-07-05,39.70465
2020-07-06,82.01263
2020-07-07,76.8288
2020-07-08,72.74111
2020-07-09,67.90743
2020-07-10,60.21922
2020-07-11,38.7912
2020-07-12,36.99474
2020-07-13,77.49105
2020-07-14,71.50795
2020-07-15,66.53726
2020-07-16,59.60264
2020-07-17,58.52173
2020-07-18,37.33729
2020-07-19,37.4743
2020-07-20,76.74507
2020-07-21,70.6554
2020-07-22,69.60493
2020-07-23,68.27281
2020-07-24,61.01088
2020-07-25,38.76836
2020-07-26,34.3838
2020-07-27,76.17416
2020-07-28,71.2872
2020-07-29,65.12141
2020-07-30,57.75291
2020-07-31,50.82591
2020-08-01,35.73875
2020-08-02,34.74156
2020-08-03,64.57334
2020-08-04,66.38501
2020-08-05,61.30775
2020-08-06,60.82819
2020-08-07,56.96125
2020-08-08,37.43624
2020-08-09,34.9547
2020-08-10,70.90659
2020-08-11,66.94831
2020-08-12,62.16792
2020-08-13,57.83664
2020-08-14,52.45489
2020-08-15,33.54647
2020-08-16,32.00121
2020-08-17,45.10162
2020-08-18,65.69993
2020-08-19,62.45718
2020-08-20,59.47324
2020-08-21,55.9869
2020-08-22,36.94907
2020-08-23,36.63697
2020-08-24,75.66415
2020-08-25,68.43267
2020-08-26,63.21839
2020-08-27,58.68919
2020-08-28,54.13716
2020-08-29,35.51039
2020-08-30,34.39141
2020-08-31,67.50399
2020-09-01,60.05176
2020-09-02,63.99482
2020-09-03,57.00692
2020-09-04,50.78023
2020-09-05,36.46951
2020-09-06,37.63416
2020-09-07,78.5948
2020-09-08,66.67427
2020-09-09,61.98523
2020-09-10,55.62152
2020-09-11,56.76334
2020-09-12,38.63134
2020-09-13,36.10413
2020-09-14,67.5725
2020-09-15,63.21839
2020-09-16,60.79774
2020-09-17,57.95082
2020-09-18,50.98576
2020-09-19,34.0108
2020-09-20,31.05731
2020-09-21,64.12422
2020-09-22,61.34581
2020-09-23,55.416
2020-09-24,52.20369
2020-09-25,46.51746
2020-09-26,34.23917
2020-09-27,32.34376
2020-09-28,55.75854
2020-09-29,49.47857
2020-09-30,31.84897
2020-10-01,27.73844
2020-10-02,34.45992
2020-10-03,36.28682
2020-10-04,39.4839
2020-10-05,77.31597
2020-10-06,72.53558
2020-10-07,67.29846
2020-10-08,61.13267
2020-10-09,41.73707
2020-10-10,38.10611
2020-10-11,36.72832
2020-10-12,76.44058
2020-10-13,74.04277
2020-10-14,64.39065
2020-10-15,61.96239
2020-10-16,55.09629
2020-10-17,36.43906
2020-10-18,37.13176
2020-10-19,69.90941
2020-10-20,69.54403
2020-10-21,65.09096
2020-10-22,59.20682
2020-10-23,53.42163
2020-10-24,35.62457
2020-10-25,33.38661
2020-10-26,68.3261
2020-10-27,69.21671
2020-10-28,63.226
2020-10-29,61.76448
2020-10-30,52.2722
2020-10-31,33.10497
2020-11-01,36.24115
2020-11-02,64.80931
2020-11-03,65.9359
2020-11-04,54.92882
2020-11-05,51.91444
2020-11-06,53.23133
2020-11-07,35.28202
2020-11-08,36.27921
2020-11-09,69.51358
2020-11-10,64.35259
2020-11-11,62.76166
2020-11-12,58.91756
2020-11-13,54.82986
2020-11-14,36.54563
2020-11-15,33.87379
2020-11-16,75.29877
2020-11-17,69.9627
2020-11-18,68.63819
2020-11-19,68.50879
2020-11-20,53.89358
2020-11-21,38.06805
2020-11-22,38.39537
2020-11-23,68.49356
2020-11-24,66.24038
2020-11-25,58.44561
2020-11-26,59.07741
2020-11-27,54.12194
2020-11-28,37.95387
2020-11-29,36.39339
2020-11-30,70.5336
2020-12-01,64.77886
2020-12-02,63.70556
2020-12-03,59.7016
2020-12-04,56.28377
2020-12-05,38.17462
2020-12-06,40.80079
2020-12-07,75.39011
2020-12-08,70.51077
2020-12-09,63.34018
2020-12-10,61.61985
2020-12-11,54.59389
2020-12-12,39.16419
2020-12-13,40.42018
2020-12-14,77.97061
2020-12-15,70.63256
2020-12-16,66.13382
2020-12-17,60.85864
2020-12-18,54.67001
2020-12-19,37.94625
2020-12-20,38.77597
2020-12-21,74.59085
2020-12-22,66.81129
2020-12-23,59.63309
2020-12-24,50.97815
2020-12-25,39.96346
2020-12-26,38.85209
2020-12-27,39.65897
2020-12-28,67.50399
2020-12-29,60.29534
2020-12-30,55.28659
2020-12-31,44.86564
2021-01-01,38.24313
2021-01-02,41.90454
2021-01-03,45.93133
2021-01-04,71.2872
