date,상속증여
2020-03-20,15.14084
2020-03-21,12.32394
2020-03-22,14.43661
2020-03-23,19.01408
2020-03-24,14.0845
2020-03-25,15.49295
2020-03-26,15.49295
2020-03-27,22.18309
2020-03-28,13.02816
2020-03-29,17.25352
2020-03-30,16.9014
2020-03-31,17.95774
2020-04-01,16.19718
2020-04-02,20.77464
2020-04-03,17.60563
2020-04-04,10.21126
2020-04-05,11.2676
2020-04-06,15.84507
2020-04-07,21.83098
2020-04-08,19.36619
2020-04-09,20.07042
2020-04-10,17.60563
2020-04-11,9.50704
2020-04-12,8.09859
2020-04-13,22.18309
2020-04-14,23.59154
2020-04-15,17.25352
2020-04-16,23.23943
2020-04-17,18.30985
2020-04-18,16.19718
2020-04-19,11.2676
2020-04-20,22.18309
2020-04-21,25.35211
2020-04-22,21.47887
2020-04-23,13.73239
2020-04-24,20.07042
2020-04-25,10.21126
2020-04-26,16.54929
2020-04-27,23.59154
2020-04-28,20.07042
2020-04-29,16.54929
2020-04-30,17.25352
2020-05-01,20.77464
2020-05-02,16.54929
2020-05-03,13.02816
2020-05-04,25.0
2020-05-05,16.54929
2020-05-06,34.15492
2020-05-07,39.78873
2020-05-08,25.35211
2020-05-09,14.0845
2020-05-10,14.78873
2020-05-11,24.29577
2020-05-12,20.77464
2020-05-13,20.07042
2020-05-14,17.25352
2020-05-15,19.7183
2020-05-16,14.0845
2020-05-17,19.7183
2020-05-18,24.29577
2020-05-19,23.59154
2020-05-20,26.76056
2020-05-21,17.25352
2020-05-22,16.54929
2020-05-23,12.67605
2020-05-24,11.2676
2020-05-25,20.77464
2020-05-26,20.77464
2020-05-27,21.12676
2020-05-28,19.7183
2020-05-29,16.54929
2020-05-30,13.73239
2020-05-31,9.85915
2020-06-01,24.64788
2020-06-02,18.66197
2020-06-03,17.60563
2020-06-04,23.94366
2020-06-05,17.25352
2020-06-06,8.4507
2020-06-07,10.21126
2020-06-08,18.30985
2020-06-09,21.47887
2020-06-10,25.35211
2020-06-11,24.64788
2020-06-12,22.53521
2020-06-13,13.73239
2020-06-14,14.0845
2020-06-15,26.40845
2020-06-16,21.12676
2020-06-17,25.35211
2020-06-18,23.59154
2020-06-19,22.18309
2020-06-20,12.32394
2020-06-21,16.9014
2020-06-22,29.57746
2020-06-23,23.94366
2020-06-24,14.43661
2020-06-25,25.0
2020-06-26,15.84507
2020-06-27,15.84507
2020-06-28,9.15492
2020-06-29,19.36619
2020-06-30,20.07042
2020-07-01,20.42253
2020-07-02,26.40845
2020-07-03,16.54929
2020-07-04,8.4507
2020-07-05,10.91549
2020-07-06,15.84507
2020-07-07,21.83098
2020-07-08,26.05633
2020-07-09,15.14084
2020-07-10,24.29577
2020-07-11,10.91549
2020-07-12,13.38028
2020-07-13,25.35211
2020-07-14,17.25352
2020-07-15,13.02816
2020-07-16,15.49295
2020-07-17,16.9014
2020-07-18,7.74647
2020-07-19,10.21126
2020-07-20,13.02816
2020-07-21,12.67605
2020-07-22,17.60563
2020-07-23,14.78873
2020-07-24,12.32394
2020-07-25,9.15492
2020-07-26,8.80281
2020-07-27,14.43661
2020-07-28,15.84507
2020-07-29,14.0845
2020-07-30,13.73239
2020-07-31,15.84507
2020-08-01,7.74647
2020-08-02,9.50704
2020-08-03,16.9014
2020-08-04,14.78873
2020-08-05,7.04225
2020-08-06,10.91549
2020-08-07,13.02816
2020-08-08,4.92957
2020-08-09,9.15492
2020-08-10,12.67605
2020-08-11,14.78873
2020-08-12,17.25352
2020-08-13,13.38028
2020-08-14,12.32394
2020-08-15,4.22535
2020-08-16,3.87323
2020-08-17,5.6338
2020-08-18,8.09859
2020-08-19,11.61971
2020-08-20,8.4507
2020-08-21,6.33802
2020-08-22,9.15492
2020-08-23,2.8169
2020-08-24,15.14084
2020-08-25,9.85915
2020-08-26,8.80281
2020-08-27,10.91549
2020-08-28,11.2676
2020-08-29,8.09859
2020-08-30,6.69014
2020-08-31,9.85915
2020-09-01,8.4507
2020-09-02,13.02816
2020-09-03,9.85915
2020-09-04,10.91549
2020-09-05,3.87323
2020-09-06,6.33802
2020-09-07,9.50704
2020-09-08,10.21126
2020-09-09,8.4507
