date,스타벅스주식
2020-03-20,35.00143
2020-03-21,22.80701
2020-03-22,22.28932
2020-03-23,29.70951
2020-03-24,39.3155
2020-03-25,32.95944
2020-03-26,36.35317
2020-03-27,33.99482
2020-03-28,24.82024
2020-03-29,26.14322
2020-03-30,30.371
2020-03-31,30.71613
2020-04-01,26.97727
2020-04-02,28.38654
2020-04-03,25.25165
2020-04-04,22.66321
2020-04-05,18.37791
2020-04-06,26.80471
2020-04-07,32.61432
2020-04-08,28.61662
2020-04-09,32.78688
2020-04-10,32.49928
2020-04-11,20.64998
2020-04-12,15.3293
2020-04-13,21.91544
2020-04-14,26.89099
2020-04-15,22.97958
2020-04-16,20.24733
2020-04-17,24.36008
2020-04-18,62.12251
2020-04-19,55.70894
2020-04-20,100.0
2020-04-21,34.91515
2020-04-22,39.97699
2020-04-23,31.23382
2020-04-24,24.93528
2020-04-25,17.37129
2020-04-26,14.92666
2020-04-27,19.78717
2020-04-28,22.11676
2020-04-29,24.76272
2020-04-30,23.52602
2020-05-01,14.06384
2020-05-02,15.15674
2020-05-03,10.84268
2020-05-04,16.2784
2020-05-05,22.31809
2020-05-06,21.85792
2020-05-07,20.88006
2020-05-08,21.71412
2020-05-09,15.38682
2020-05-10,13.08599
2020-05-11,15.99079
2020-05-12,18.03278
2020-05-13,16.22088
2020-05-14,16.82484
2020-05-15,15.53062
2020-05-16,10.78515
2020-05-17,9.83606
2020-05-18,15.0417
2020-05-19,18.80931
2020-05-20,16.19211
2020-05-21,25.36669
2020-05-22,23.52602
2020-05-23,19.72965
2020-05-24,23.69859
2020-05-25,28.90422
2020-05-26,33.04572
2020-05-27,24.93528
2020-05-28,22.14552
2020-05-29,19.93097
2020-05-30,16.68104
2020-05-31,18.06154
2020-06-01,23.26718
2020-06-02,23.81363
2020-06-03,26.28702
2020-06-04,27.81133
2020-06-05,24.24503
2020-06-06,22.43313
2020-06-07,24.53264
2020-06-08,24.90652
2020-06-09,27.26488
2020-06-10,28.81794
2020-06-11,38.68277
2020-06-12,36.78458
2020-06-13,18.26287
2020-06-14,16.39344
2020-06-15,20.67874
2020-06-16,24.18751
2020-06-17,18.92436
2020-06-18,19.38452
2020-06-19,18.60799
2020-06-20,14.00632
2020-06-21,17.11245
2020-06-22,18.75179
2020-06-23,20.4199
2020-06-24,24.07247
2020-06-25,23.66983
2020-06-26,19.0394
2020-06-27,16.79608
2020-06-28,14.15012
2020-06-29,19.84469
2020-06-30,17.54385
2020-07-01,15.24302
2020-07-02,16.96865
2020-07-03,14.69657
2020-07-04,10.69887
2020-07-05,12.4245
