date,헤지펀드
2020-03-20,4.83587
2020-03-21,4.17017
2020-03-22,3.89471
2020-03-23,4.23903
2020-03-24,5.08837
2020-03-25,4.52215
2020-03-26,3.94827
2020-03-27,3.58864
2020-03-28,3.59629
2020-03-29,3.3897
2020-03-30,4.63692
2020-03-31,3.87175
2020-04-01,4.43033
2020-04-02,3.58099
2020-04-03,3.21371
2020-04-04,3.21371
2020-04-05,3.37439
2020-04-06,2.75461
2020-04-07,3.20606
2020-04-08,3.09893
2020-04-09,2.83112
2020-04-10,3.91001
2020-04-11,2.37967
2020-04-12,2.59392
2020-04-13,3.96357
2020-04-14,3.39735
2020-04-15,2.4868
2020-04-16,3.08363
2020-04-17,3.06832
2020-04-18,4.79761
2020-04-19,5.93006
2020-04-20,4.51449
2020-04-21,4.30025
2020-04-22,4.21608
2020-04-23,4.75935
2020-04-24,9.93189
2020-04-25,10.21501
2020-04-26,6.93243
2020-04-27,5.15724
2020-04-28,3.61925
2020-04-29,3.51212
2020-04-30,2.38732
2020-05-01,2.44854
2020-05-02,1.89762
2020-05-03,2.0583
2020-05-04,2.16542
2020-05-05,2.53271
2020-05-06,2.86173
2020-05-07,2.80817
2020-05-08,2.043
2020-05-09,1.85171
2020-05-10,1.95118
2020-05-11,2.57096
2020-05-12,2.31081
2020-05-13,3.32083
2020-05-14,2.5021
2020-05-15,2.28785
2020-05-16,1.54564
2020-05-17,2.0583
2020-05-18,2.41793
2020-05-19,2.36437
2020-05-20,2.2649
2020-05-21,2.15012
2020-05-22,2.2649
2020-05-23,1.81345
2020-05-24,1.78284
2020-05-25,2.10421
2020-05-26,2.5174
2020-05-27,2.12717
2020-05-28,2.10421
2020-05-29,2.09656
2020-05-30,1.70632
2020-05-31,1.73693
2020-06-01,1.92822
2020-06-02,2.33376
2020-06-03,2.69339
2020-06-04,2.41028
2020-06-05,4.39207
2020-06-06,2.9459
2020-06-07,3.00711
2020-06-08,3.73402
2020-06-09,5.98362
2020-06-10,5.53217
2020-06-11,3.8488
2020-06-12,3.02241
2020-06-13,2.39498
2020-06-14,2.57862
2020-06-15,2.15012
2020-06-16,2.2955
2020-06-17,2.88468
2020-06-18,2.55566
2020-06-19,2.84643
2020-06-20,1.93587
2020-06-21,2.35672
2020-06-22,3.03007
2020-06-23,2.54036
2020-06-24,2.88468
2020-06-25,2.93059
2020-06-26,2.17308
2020-06-27,1.84405
2020-06-28,1.95118
2020-06-29,4.04009
2020-06-30,3.79524
2020-07-01,2.58627
2020-07-02,2.60157
2020-07-03,2.31081
2020-07-04,2.31081
2020-07-05,1.95118
2020-07-06,2.60157
2020-07-07,2.35672
2020-07-08,2.19603
2020-07-09,2.34141
2020-07-10,1.6145
2020-07-11,1.70632
2020-07-12,1.64511
2020-07-13,2.15777
2020-07-14,2.47914
2020-07-15,2.01239
2020-07-16,1.84405
2020-07-17,1.81345
2020-07-18,1.53799
2020-07-19,1.92822
2020-07-20,2.44089
2020-07-21,2.22664
2020-07-22,2.00474
2020-07-23,2.40263
2020-07-24,2.00474
2020-07-25,1.40026
2020-07-26,1.59155
2020-07-27,2.09656
2020-07-28,1.97413
2020-07-29,2.21133
2020-07-30,2.74695
2020-07-31,2.24959
2020-08-01,1.64511
2020-08-02,1.76754
2020-08-03,1.64511
2020-08-04,1.75223
2020-08-05,2.37967
2020-08-06,2.19603
2020-08-07,2.11951
2020-08-08,1.54564
2020-08-09,1.89762
2020-08-10,1.89762
2020-08-11,1.95883
2020-08-12,2.32611
2020-08-13,1.92822
2020-08-14,2.02769
2020-08-15,1.40026
2020-08-16,1.5992
2020-08-17,1.84405
2020-08-18,2.12717
2020-08-19,1.8364
2020-08-20,1.92822
2020-08-21,2.5021
2020-08-22,1.62215
2020-08-23,1.64511
2020-08-24,2.31081
2020-08-25,2.0736
2020-08-26,2.50975
2020-08-27,2.12717
2020-08-28,2.05065
2020-08-29,1.88231
2020-08-30,2.10421
2020-08-31,1.84405
2020-09-01,2.30316
2020-09-02,2.89234
2020-09-03,2.63218
2020-09-04,2.47914
2020-09-05,1.88231
2020-09-06,2.0583
2020-09-07,2.76226
2020-09-08,3.12189
2020-09-09,2.83112
2020-09-10,3.27492
2020-09-11,2.43323
2020-09-12,1.90527
2020-09-13,1.91292
2020-09-14,2.23429
2020-09-15,2.80817
2020-09-16,2.63218
2020-09-17,3.15249
2020-09-18,3.6269
2020-09-19,1.8211
2020-09-20,1.63746
2020-09-21,4.68283
2020-09-22,5.05011
2020-09-23,3.32848
2020-09-24,2.62453
2020-09-25,1.87466
2020-09-26,1.55329
2020-09-27,1.87466
2020-09-28,1.75223
2020-09-29,1.71397
2020-09-30,1.45382
2020-10-01,1.85936
2020-10-02,2.05065
2020-10-03,1.95118
2020-10-04,1.94353
2020-10-05,2.17308
2020-10-06,2.54801
2020-10-07,3.05302
2020-10-08,2.20368
2020-10-09,2.15777
2020-10-10,2.15012
2020-10-11,1.88996
2020-10-12,2.81582
2020-10-13,3.35909
2020-10-14,3.77228
2020-10-15,3.39735
2020-10-16,3.74933
2020-10-17,3.09893
2020-10-18,3.46621
2020-10-19,5.89945
2020-10-20,4.89708
2020-10-21,4.45328
2020-10-22,3.91001
2020-10-23,2.86173
2020-10-24,2.20368
2020-10-25,2.60157
2020-10-26,2.76226
2020-10-27,2.76991
2020-10-28,2.82347
2020-10-29,2.41793
2020-10-30,2.62453
2020-10-31,2.40263
2020-11-01,2.21133
2020-11-02,2.06595
2020-11-03,2.57096
2020-11-04,2.20368
2020-11-05,2.18073
2020-11-06,1.92057
2020-11-07,1.75988
2020-11-08,1.57624
2020-11-09,2.38732
2020-11-10,2.11951
2020-11-11,2.24959
2020-11-12,2.15777
2020-11-13,1.96648
2020-11-14,1.51503
2020-11-15,1.95118
2020-11-16,2.06595
2020-11-17,2.42558
2020-11-18,2.41793
2020-11-19,2.37967
2020-11-20,1.98944
2020-11-21,1.65276
2020-11-22,2.19603
2020-11-23,2.89234
2020-11-24,2.34907
2020-11-25,2.50975
2020-11-26,2.67044
2020-11-27,2.21899
2020-11-28,1.60685
2020-11-29,1.72928
2020-11-30,2.10421
2020-12-01,2.41793
2020-12-02,2.20368
2020-12-03,2.59392
2020-12-04,2.39498
2020-12-05,2.02004
2020-12-06,2.10421
2020-12-07,2.2802
2020-12-08,2.66278
2020-12-09,3.01476
2020-12-10,4.00948
2020-12-11,2.41793
2020-12-12,2.19603
2020-12-13,2.34907
2020-12-14,2.74695
2020-12-15,3.97122
2020-12-16,3.97888
2020-12-17,3.54273
2020-12-18,2.67044
2020-12-19,2.14247
2020-12-20,2.73165
2020-12-21,2.83112
2020-12-22,2.80052
2020-12-23,2.77756
2020-12-24,2.41793
2020-12-25,1.95118
2020-12-26,2.47914
2020-12-27,3.06067
2020-12-28,3.29022
2020-12-29,2.64748
2020-12-30,3.89471
2020-12-31,3.09128
2021-01-01,2.59392
2021-01-02,3.09128
2021-01-03,3.23666
2021-01-04,3.14484
2021-01-05,3.19075
2021-01-06,3.405
2021-01-07,3.27492
2021-01-08,3.50447
2021-01-09,3.28257
2021-01-10,3.98653
2021-01-11,3.65751
2021-01-12,3.08363
2021-01-13,3.10658
2021-01-14,3.38204
2021-01-15,2.9765
2021-01-16,2.78521
2021-01-17,2.73165
2021-01-18,2.82347
2021-01-19,2.90764
2021-01-20,2.74695
2021-01-21,3.01476
2021-01-22,2.80052
2021-01-23,3.16014
2021-01-24,3.61159
2021-01-25,3.05302
2021-01-26,6.06014
2021-01-27,10.28387
2021-01-28,33.12418
2021-01-29,97.99525
2021-01-30,100.0
2021-01-31,41.41097
2021-02-01,47.73892
2021-02-02,31.08118
2021-02-03,21.14928
2021-02-04,13.52819
2021-02-05,9.69469
2021-02-06,8.83005
2021-02-07,7.75881
2021-02-08,5.37914
2021-02-09,4.22373
2021-02-10,4.02479
2021-02-11,3.1678
2021-02-12,3.51212
2021-02-13,3.43561
