date,해외선물투자
2020-03-20,23.11827
2020-03-21,14.51612
2020-03-22,10.21505
2020-03-23,20.4301
2020-03-24,27.95698
2020-03-25,23.11827
2020-03-26,21.50537
2020-03-27,19.89247
2020-03-28,9.67741
2020-03-29,5.91397
2020-03-30,15.59139
2020-03-31,15.05376
2020-04-01,15.05376
2020-04-02,16.66666
2020-04-03,18.8172
2020-04-04,11.29032
2020-04-05,5.91397
2020-04-06,14.51612
2020-04-07,9.67741
2020-04-08,13.97849
2020-04-09,11.29032
2020-04-10,9.13978
2020-04-11,4.8387
2020-04-12,4.30107
2020-04-13,3.76344
2020-04-14,6.98924
2020-04-15,11.82795
2020-04-16,15.05376
2020-04-17,10.75268
2020-04-18,2.68817
2020-04-20,9.67741
2020-04-21,24.73118
2020-04-22,17.74193
2020-04-23,22.04301
2020-04-24,11.82795
2020-04-25,6.98924
2020-04-27,8.06451
2020-04-28,10.21505
2020-04-29,10.75268
2020-04-30,10.75268
2020-05-01,10.21505
2020-05-02,3.76344
2020-05-04,2.68817
2020-05-05,5.91397
2020-05-06,10.21505
2020-05-07,13.97849
2020-05-08,6.45161
2020-05-09,13.44086
2020-05-10,11.82795
2020-05-11,11.82795
2020-05-12,12.90322
2020-05-13,12.90322
2020-05-14,8.60215
2020-05-15,12.36559
2020-05-16,3.2258
2020-05-17,3.76344
2020-05-18,13.97849
2020-05-19,12.36559
2020-05-20,9.13978
2020-05-21,17.2043
2020-05-22,12.90322
2020-05-23,3.76344
2020-05-24,3.76344
2020-05-25,8.60215
2020-05-27,4.8387
2020-05-28,8.60215
2020-05-29,5.91397
2020-05-30,3.2258
2020-05-31,2.68817
2020-06-01,5.91397
2020-06-02,7.52688
2020-06-03,4.30107
2020-06-04,5.37634
2020-06-06,2.68817
2020-06-08,2.68817
2020-06-09,6.98924
2020-06-10,5.91397
2020-06-11,4.8387
2020-06-12,3.2258
2020-06-13,2.68817
2020-06-16,13.97849
2020-06-17,4.30107
2020-06-18,4.8387
2020-06-21,3.2258
2020-06-22,5.37634
2020-06-23,8.06451
2020-06-24,4.8387
2020-06-25,7.52688
2020-06-26,7.52688
