date,증여계약서양식
2020-03-20,34.49999
2020-03-21,9.0
2020-03-22,9.5
2020-03-23,27.5
2020-03-24,23.0
2020-03-25,30.0
2020-03-26,24.0
2020-03-27,14.0
2020-03-28,7.0
2020-03-29,10.5
2020-03-30,25.0
2020-03-31,19.5
2020-04-01,18.5
2020-04-02,13.5
2020-04-03,8.5
2020-04-04,4.5
2020-04-05,4.0
2020-04-06,29.5
2020-04-07,31.0
2020-04-08,23.0
2020-04-09,29.0
2020-04-10,25.5
2020-04-11,7.0
2020-04-12,2.5
2020-04-13,21.5
2020-04-14,17.0
2020-04-15,12.0
2020-04-16,23.0
2020-04-17,15.5
2020-04-18,3.5
2020-04-19,13.0
2020-04-20,33.0
2020-04-21,30.0
2020-04-22,23.5
2020-04-23,21.0
2020-04-24,18.0
2020-04-25,6.5
2020-04-26,6.5
2020-04-27,23.0
2020-04-28,18.0
2020-04-29,21.0
2020-04-30,4.5
2020-05-01,12.0
2020-05-02,3.5
2020-05-03,9.0
2020-05-04,23.0
2020-05-05,14.5
2020-05-06,25.5
2020-05-07,24.0
2020-05-08,17.5
2020-05-09,6.0
2020-05-10,9.5
2020-05-11,30.0
2020-05-12,30.5
2020-05-13,28.49999
2020-05-14,23.0
2020-05-15,12.5
2020-05-16,2.5
2020-05-17,3.5
2020-05-18,13.5
2020-05-19,26.0
2020-05-20,24.0
2020-05-21,22.0
2020-05-22,24.5
2020-05-23,10.5
2020-05-24,5.0
2020-05-25,18.0
2020-05-26,10.0
2020-05-27,9.0
2020-05-28,10.5
2020-05-29,8.0
2020-05-30,3.0
2020-05-31,2.5
2020-06-01,14.5
2020-06-02,14.0
2020-06-03,15.0
2020-06-04,14.0
2020-06-05,16.0
2020-06-06,2.5
2020-06-08,20.0
2020-06-09,16.5
2020-06-10,15.5
2020-06-11,11.5
2020-06-12,7.5
2020-06-13,4.5
2020-06-14,4.0
2020-06-15,21.0
2020-06-16,22.5
2020-06-17,25.0
2020-06-18,21.5
2020-06-19,18.5
2020-06-20,3.0
2020-06-22,25.0
2020-06-23,20.49999
2020-06-24,26.5
2020-06-25,23.0
2020-06-26,15.0
2020-06-27,11.5
2020-06-28,3.0
2020-06-29,18.5
2020-06-30,17.5
2020-07-01,12.5
2020-07-02,18.0
2020-07-03,10.5
2020-07-04,3.0
2020-07-05,7.5
2020-07-06,16.5
2020-07-07,19.0
2020-07-08,13.0
2020-07-09,15.0
2020-07-10,22.5
2020-07-11,10.5
2020-07-12,15.0
2020-07-13,54.0
2020-07-14,48.5
2020-07-15,39.0
2020-07-16,61.0
2020-07-17,33.0
2020-07-18,8.5
2020-07-19,10.0
2020-07-20,47.0
2020-07-21,29.0
2020-07-22,30.0
2020-07-23,39.0
2020-07-24,23.0
2020-07-25,11.5
2020-07-26,18.5
2020-07-27,42.0
2020-07-28,47.5
2020-07-29,42.5
2020-07-30,48.0
2020-07-31,33.5
2020-08-01,14.5
2020-08-02,16.5
2020-08-03,43.0
2020-08-04,29.5
2020-08-05,27.5
2020-08-06,20.0
2020-08-07,25.0
2020-08-08,8.0
2020-08-09,14.5
2020-08-10,31.5
2020-08-11,20.49999
2020-08-12,14.0
2020-08-13,21.0
2020-08-14,19.0
2020-08-15,10.0
2020-08-16,7.5
2020-08-17,12.0
2020-08-18,45.5
2020-08-19,10.5
2020-08-20,26.5
2020-08-21,25.0
2020-08-22,3.5
2020-08-23,2.5
2020-08-24,16.0
2020-08-25,14.0
2020-08-26,11.5
2020-08-27,19.5
2020-08-28,18.5
2020-08-29,2.5
2020-08-30,5.5
2020-08-31,13.5
2020-09-01,15.5
2020-09-02,15.5
2020-09-03,18.0
2020-09-04,21.5
2020-09-05,5.5
2020-09-07,13.0
2020-09-08,19.5
2020-09-09,9.5
2020-09-10,22.0
2020-09-11,19.5
2020-09-12,4.5
2020-09-14,13.5
2020-09-15,13.0
2020-09-16,15.0
2020-09-17,19.5
2020-09-18,11.5
2020-09-19,2.5
2020-09-20,5.5
2020-09-21,19.0
2020-09-22,7.5
2020-09-23,12.0
2020-09-24,12.0
2020-09-25,8.0
2020-09-28,9.5
2020-09-29,18.0
2020-10-02,2.5
2020-10-05,14.5
2020-10-06,17.0
2020-10-07,8.5
2020-10-08,11.5
2020-10-09,6.5
2020-10-11,5.5
2020-10-12,18.0
2020-10-13,27.0
2020-10-14,20.49999
2020-10-15,18.5
2020-10-16,17.5
2020-10-17,11.0
2020-10-19,23.5
2020-10-20,18.5
2020-10-21,30.0
2020-10-22,14.0
2020-10-23,17.5
2020-10-24,12.0
2020-10-25,10.0
2020-10-26,20.49999
2020-10-27,18.5
2020-10-28,30.0
2020-10-29,22.5
2020-10-30,13.5
2020-10-31,4.5
2020-11-01,7.0
2020-11-02,28.0
2020-11-03,19.5
2020-11-04,21.0
2020-11-05,27.0
2020-11-06,23.5
2020-11-07,9.5
2020-11-08,13.0
2020-11-09,45.0
2020-11-10,29.0
2020-11-11,28.0
2020-11-12,27.0
2020-11-13,18.5
2020-11-15,3.5
2020-11-16,26.5
2020-11-17,24.5
2020-11-18,20.0
2020-11-19,28.0
2020-11-20,24.0
2020-11-21,3.5
2020-11-22,7.0
2020-11-23,44.0
2020-11-24,32.5
2020-11-25,23.0
2020-11-26,38.5
2020-11-27,21.5
2020-11-28,10.0
2020-11-29,11.0
2020-11-30,46.5
2020-12-01,49.5
2020-12-02,30.5
2020-12-03,33.0
2020-12-04,28.49999
2020-12-05,3.0
2020-12-06,7.0
2020-12-07,33.5
2020-12-08,40.5
2020-12-09,27.0
2020-12-10,36.0
2020-12-11,22.0
2020-12-12,10.0
2020-12-13,8.0
2020-12-14,35.5
2020-12-15,42.0
2020-12-16,43.0
2020-12-17,36.0
2020-12-18,26.5
2020-12-19,7.0
2020-12-20,13.0
2020-12-21,40.5
2020-12-22,36.5
2020-12-23,29.5
2020-12-24,23.5
2020-12-25,3.0
2020-12-26,5.0
2020-12-27,18.5
2020-12-28,36.5
2020-12-29,26.0
2020-12-30,18.0
2020-12-31,13.0
2021-01-02,3.0
2021-01-03,7.0
2021-01-04,23.0
2021-01-05,20.49999
2021-01-06,18.0
2021-01-07,10.5
2021-01-08,7.5
2021-01-09,3.5
2021-01-10,6.5
2021-01-11,20.0
2021-01-12,27.5
2021-01-13,22.0
2021-01-14,27.5
2021-01-15,20.0
2021-01-17,2.5
2021-01-18,19.0
2021-01-19,20.0
2021-01-20,21.5
2021-01-21,22.0
2021-01-22,20.0
2021-01-23,12.0
2021-01-24,19.5
2021-01-25,31.5
2021-01-26,36.0
2021-01-27,35.0
2021-01-28,29.5
2021-01-29,25.5
2021-01-30,13.5
2021-01-31,17.5
2021-02-01,40.5
2021-02-02,36.5
2021-02-03,26.0
2021-02-04,32.5
2021-02-05,23.5
2021-02-06,9.0
2021-02-07,12.5
2021-02-08,32.5
2021-02-09,23.5
2021-02-10,23.5
2021-02-11,5.5
2021-02-12,3.5
2021-02-13,6.5
2021-02-14,8.5
2021-02-15,35.5
2021-02-16,36.0
2021-02-17,37.0
2021-02-18,31.5
2021-02-19,25.0
2021-02-20,15.5
2021-02-21,5.0
2021-02-22,43.5
2021-02-23,38.5
2021-02-24,28.49999
2021-02-25,26.5
2021-02-26,26.5
2021-02-27,7.0
2021-02-28,9.0
2021-03-01,5.0
2021-03-02,26.0
2021-03-03,38.0
2021-03-04,25.0
2021-03-05,28.0
