date,주식상장
2020-03-20,24.34782
2020-03-21,20.10869
2020-03-22,13.80434
2020-03-23,20.54347
2020-03-24,22.60869
2020-03-25,23.58695
2020-03-26,23.80434
2020-03-27,20.97826
2020-03-28,14.23913
2020-03-29,13.15217
2020-03-30,21.63043
2020-03-31,20.54347
2020-04-01,23.04347
2020-04-02,18.80434
2020-04-03,15.43478
2020-04-04,11.41304
2020-04-05,10.0
2020-04-06,16.19565
2020-04-07,19.13043
2020-04-08,18.47826
2020-04-09,19.67391
2020-04-10,16.30434
2020-04-11,10.86956
2020-04-12,10.21739
2020-04-13,16.84782
2020-04-14,17.06521
2020-04-15,8.91304
2020-04-16,15.10869
2020-04-17,18.04347
2020-04-18,11.41304
2020-04-19,12.2826
2020-04-20,15.10869
2020-04-21,18.80434
2020-04-22,30.10869
2020-04-23,22.82608
2020-04-24,17.06521
2020-04-25,7.82608
2020-04-26,8.80434
2020-04-27,14.45652
2020-04-28,19.13043
2020-04-29,13.80434
2020-04-30,8.80434
2020-05-01,9.23913
2020-05-02,6.63043
2020-05-03,7.2826
2020-05-04,10.76086
2020-05-05,8.47826
2020-05-06,12.3913
2020-05-07,13.47826
2020-05-08,13.36956
2020-05-09,7.82608
2020-05-10,7.3913
2020-05-11,12.2826
2020-05-12,11.84782
2020-05-13,11.95652
2020-05-14,13.58695
2020-05-15,13.58695
2020-05-16,7.3913
2020-05-17,7.3913
2020-05-18,14.45652
2020-05-19,19.23913
2020-05-20,18.47826
2020-05-21,20.97826
2020-05-22,21.52173
2020-05-23,12.06521
2020-05-24,10.86956
2020-05-25,17.93478
2020-05-26,20.76086
2020-05-27,22.82608
2020-05-28,21.95652
2020-05-29,20.0
2020-05-30,13.15217
2020-05-31,14.02173
2020-06-01,15.0
2020-06-02,16.95652
2020-06-03,23.36956
2020-06-04,17.82608
2020-06-05,14.02173
2020-06-06,10.32608
2020-06-07,8.69565
2020-06-08,17.93478
2020-06-09,20.0
2020-06-10,21.08695
2020-06-11,19.13043
2020-06-12,18.58695
2020-06-13,10.10869
2020-06-14,12.3913
2020-06-15,16.73913
2020-06-16,19.02173
2020-06-17,26.30434
2020-06-18,22.17391
2020-06-19,21.95652
2020-06-20,12.71739
