date,금융교육
2020-03-20,30.13698
2020-03-21,19.17808
2020-03-22,15.75342
2020-03-23,39.04109
2020-03-24,28.08219
2020-03-25,49.31506
2020-03-26,43.83561
2020-03-27,41.09589
2020-03-28,16.43835
2020-03-29,17.80821
2020-03-30,37.67123
2020-03-31,27.39726
2020-04-01,19.17808
2020-04-02,29.45205
2020-04-03,35.61643
2020-04-04,9.58904
2020-04-05,41.78082
2020-04-06,19.17808
2020-04-07,25.34246
2020-04-08,21.9178
2020-04-09,18.49315
2020-04-10,11.64383
2020-04-11,14.38356
2020-04-12,15.06849
2020-04-13,34.9315
2020-04-14,36.9863
2020-04-15,17.80821
2020-04-16,26.71232
2020-04-17,21.9178
2020-04-18,26.02739
2020-04-19,19.17808
2020-04-20,30.13698
2020-04-21,41.09589
2020-04-22,28.08219
2020-04-23,26.71232
2020-04-24,19.86301
2020-04-25,8.9041
2020-04-26,21.23287
2020-04-27,29.45205
2020-04-28,23.9726
2020-04-29,21.9178
2020-04-30,33.56164
2020-05-01,28.08219
2020-05-02,20.54794
2020-05-03,17.12328
2020-05-04,39.72602
2020-05-05,28.08219
2020-05-06,39.04109
2020-05-07,42.46575
2020-05-08,34.9315
2020-05-09,21.23287
2020-05-10,35.61643
2020-05-11,30.82191
2020-05-12,36.30136
2020-05-13,36.9863
2020-05-14,32.19178
2020-05-15,21.9178
2020-05-16,17.80821
2020-05-17,17.80821
2020-05-18,32.87671
2020-05-19,46.57534
2020-05-20,41.78082
2020-05-21,34.9315
2020-05-22,30.13698
2020-05-23,15.75342
2020-05-24,17.80821
2020-05-25,30.82191
2020-05-26,26.02739
2020-05-27,28.76712
2020-05-28,19.17808
2020-05-29,21.23287
2020-05-30,14.38356
2020-05-31,19.17808
2020-06-01,34.9315
2020-06-02,26.71232
2020-06-03,22.60273
2020-06-04,21.9178
2020-06-05,21.9178
2020-06-06,21.23287
2020-06-07,8.9041
2020-06-08,34.9315
2020-06-09,30.13698
2020-06-10,21.9178
2020-06-11,26.71232
2020-06-12,28.76712
2020-06-13,17.12328
2020-06-14,21.9178
2020-06-15,37.67123
2020-06-16,23.28767
2020-06-17,36.30136
2020-06-18,31.50684
2020-06-19,28.76712
2020-06-20,15.75342
