date,핸드폰부업
2020-03-20,26.19047
2020-03-21,11.90476
2020-03-22,61.90476
2020-03-23,45.23809
2020-03-24,40.47619
2020-03-25,28.57142
2020-03-26,33.33333
2020-03-27,38.09523
2020-03-28,16.66666
2020-03-29,19.04761
2020-03-30,21.42857
2020-03-31,16.66666
2020-04-01,28.57142
2020-04-02,21.42857
2020-04-03,19.04761
2020-04-04,14.28571
2020-04-05,23.80952
2020-04-06,28.57142
2020-04-07,21.42857
2020-04-08,23.80952
2020-04-09,19.04761
2020-04-10,30.95238
2020-04-12,38.09523
2020-04-13,23.80952
2020-04-14,23.80952
2020-04-15,30.95238
2020-04-16,30.95238
2020-04-17,38.09523
2020-04-18,21.42857
2020-04-19,11.90476
2020-04-20,11.90476
2020-04-21,52.38095
2020-04-22,19.04761
2020-04-23,42.85714
2020-04-24,23.80952
2020-04-25,14.28571
2020-04-26,26.19047
2020-04-27,23.80952
2020-04-28,19.04761
2020-04-29,19.04761
2020-05-01,14.28571
2020-05-03,11.90476
2020-05-04,21.42857
2020-05-05,23.80952
2020-05-06,11.90476
2020-05-07,11.90476
2020-05-09,16.66666
2020-05-10,23.80952
2020-05-12,14.28571
2020-05-13,11.90476
2020-05-14,23.80952
2020-05-16,21.42857
2020-05-18,16.66666
2020-05-20,14.28571
2020-05-22,19.04761
2020-05-25,23.80952
2020-05-26,14.28571
2020-05-27,38.09523
2020-05-29,21.42857
2020-05-31,16.66666
2020-06-01,11.90476
2020-06-02,16.66666
2020-06-04,33.33333
2020-06-05,11.90476
2020-06-08,19.04761
2020-06-09,19.04761
2020-06-10,42.85714
2020-06-11,21.42857
2020-06-12,14.28571
2020-06-13,23.80952
2020-06-14,11.90476
2020-06-15,23.80952
2020-06-16,19.04761
2020-06-17,14.28571
2020-06-18,35.71428
2020-06-19,14.28571
2020-06-20,16.66666
2020-06-22,35.71428
2020-06-24,21.42857
2020-06-25,28.57142
2020-06-27,26.19047
2020-06-28,11.90476
2020-06-29,26.19047
2020-06-30,14.28571
2020-07-01,19.04761
2020-07-02,26.19047
2020-07-03,21.42857
2020-07-04,16.66666
2020-07-05,26.19047
2020-07-06,11.90476
2020-07-07,23.80952
2020-07-08,23.80952
2020-07-09,40.47619
2020-07-10,11.90476
2020-07-11,16.66666
2020-07-12,38.09523
2020-07-13,35.71428
2020-07-14,35.71428
2020-07-15,21.42857
2020-07-16,16.66666
2020-07-17,14.28571
2020-07-18,19.04761
2020-07-19,19.04761
2020-07-20,21.42857
2020-07-21,21.42857
2020-07-22,28.57142
2020-07-23,16.66666
2020-07-25,19.04761
2020-07-26,19.04761
2020-07-28,14.28571
2020-07-30,28.57142
2020-07-31,19.04761
2020-08-03,11.90476
2020-08-04,11.90476
2020-08-05,21.42857
2020-08-09,26.19047
2020-08-10,11.90476
2020-08-11,16.66666
2020-08-12,23.80952
2020-08-13,33.33333
2020-08-14,52.38095
2020-08-15,28.57142
2020-08-17,14.28571
2020-08-18,16.66666
2020-08-19,23.80952
2020-08-20,19.04761
2020-08-21,30.95238
2020-08-22,30.95238
2020-08-23,19.04761
2020-08-24,33.33333
2020-08-25,26.19047
2020-08-26,19.04761
2020-08-27,21.42857
2020-08-28,16.66666
2020-08-29,23.80952
2020-08-30,19.04761
2020-08-31,28.57142
2020-09-01,19.04761
2020-09-02,19.04761
2020-09-03,33.33333
2020-09-04,33.33333
2020-09-06,40.47619
2020-09-07,38.09523
2020-09-08,26.19047
2020-09-09,26.19047
2020-09-11,21.42857
2020-09-12,16.66666
2020-09-13,16.66666
2020-09-14,28.57142
2020-09-15,33.33333
2020-09-16,38.09523
2020-09-17,23.80952
2020-09-19,21.42857
2020-09-20,26.19047
2020-09-21,40.47619
2020-09-22,14.28571
2020-09-23,16.66666
2020-09-24,30.95238
2020-09-25,28.57142
2020-09-26,11.90476
2020-09-27,21.42857
2020-09-28,21.42857
2020-09-29,21.42857
2020-09-30,30.95238
2020-10-02,19.04761
2020-10-04,42.85714
2020-10-05,45.23809
2020-10-06,21.42857
2020-10-07,26.19047
2020-10-08,28.57142
2020-10-09,16.66666
2020-10-10,21.42857
2020-10-11,16.66666
2020-10-12,45.23809
2020-10-13,11.90476
2020-10-14,16.66666
2020-10-15,14.28571
2020-10-16,21.42857
2020-10-17,21.42857
2020-10-18,16.66666
2020-10-19,35.71428
2020-10-20,26.19047
2020-10-21,23.80952
2020-10-22,16.66666
2020-10-23,28.57142
2020-10-26,38.09523
2020-10-27,26.19047
2020-10-28,19.04761
2020-10-29,23.80952
2020-10-30,16.66666
2020-10-31,14.28571
2020-11-01,16.66666
2020-11-02,19.04761
2020-11-03,11.90476
2020-11-04,14.28571
2020-11-05,26.19047
2020-11-07,11.90476
2020-11-08,33.33333
2020-11-09,19.04761
2020-11-10,19.04761
2020-11-11,30.95238
2020-11-12,30.95238
2020-11-14,19.04761
2020-11-15,19.04761
2020-11-16,28.57142
2020-11-17,21.42857
