date,인지
2020-03-20,77.83251
2020-03-21,46.60098
2020-03-22,46.50246
2020-03-23,78.71921
2020-03-24,86.10837
2020-03-25,76.84729
2020-03-26,81.77339
2020-03-27,82.56157
2020-03-28,53.00492
2020-03-29,52.31527
2020-03-30,75.07389
2020-03-31,76.05911
2020-04-01,80.68965
2020-04-02,79.50738
2020-04-03,70.34482
2020-04-04,41.08374
2020-04-05,54.28571
2020-04-06,75.96059
2020-04-07,83.64532
2020-04-08,76.15763
2020-04-09,83.34975
2020-04-10,70.93596
2020-04-11,48.37438
2020-04-12,44.63054
2020-04-13,77.93103
2020-04-14,80.29556
2020-04-15,55.5665
2020-04-16,86.6995
2020-04-17,92.11822
2020-04-18,48.86699
2020-04-19,52.31527
2020-04-20,87.09359
2020-04-21,92.21674
2020-04-22,90.83743
2020-04-23,95.17241
2020-04-24,77.73399
2020-04-25,46.10837
2020-04-26,47.68472
2020-04-27,78.32512
2020-04-28,82.95566
2020-04-29,75.5665
2020-04-30,50.93596
2020-05-01,54.6798
2020-05-02,46.00985
2020-05-03,42.06896
2020-05-04,67.38916
2020-05-05,50.14778
2020-05-06,78.62068
2020-05-07,82.56157
2020-05-08,74.08866
2020-05-09,51.72413
2020-05-10,52.70935
2020-05-11,80.88669
2020-05-12,80.78817
2020-05-13,87.88177
2020-05-14,79.70443
2020-05-15,79.31034
2020-05-16,45.71428
2020-05-17,50.44334
2020-05-18,86.50246
2020-05-19,87.19211
2020-05-20,85.8128
2020-05-21,83.54679
2020-05-22,74.58128
2020-05-23,48.57142
2020-05-24,46.99507
2020-05-25,84.9261
2020-05-26,84.53201
2020-05-27,84.9261
2020-05-28,86.30541
2020-05-29,70.83743
2020-05-30,41.28078
2020-05-31,51.92118
2020-06-01,75.66502
2020-06-02,79.50738
2020-06-03,82.16748
2020-06-04,85.51724
2020-06-05,72.21674
2020-06-06,47.29064
2020-06-07,52.9064
2020-06-08,78.91625
2020-06-09,76.65024
2020-06-10,75.5665
2020-06-11,82.46305
2020-06-12,76.35467
2020-06-13,48.66995
2020-06-14,53.7931
2020-06-15,80.39408
2020-06-16,80.78817
2020-06-17,87.19211
2020-06-18,79.40886
2020-06-19,73.89162
2020-06-20,50.34482
2020-06-21,50.54187
2020-06-22,80.68965
2020-06-23,89.95073
2020-06-24,83.94088
2020-06-25,86.30541
2020-06-26,77.04433
2020-06-27,46.00985
2020-06-28,44.53201
2020-06-29,74.87684
2020-06-30,73.39901
2020-07-01,75.07389
2020-07-02,79.60591
2020-07-03,64.82758
2020-07-04,41.87192
2020-07-05,41.57635
2020-07-06,65.12315
2020-07-07,72.9064
2020-07-08,71.133
2020-07-09,74.58128
2020-07-10,61.37931
2020-07-11,40.0
2020-07-12,40.78817
2020-07-13,64.13793
2020-07-14,74.6798
2020-07-15,79.90147
2020-07-16,70.93596
2020-07-17,64.33497
2020-07-18,38.71921
2020-07-19,40.19704
2020-07-20,67.48768
2020-07-21,71.42857
2020-07-22,77.73399
2020-07-23,73.49753
2020-07-24,68.37438
2020-07-25,38.02955
2020-07-26,44.0394
2020-07-27,66.6995
2020-07-28,73.00492
2020-07-29,64.23645
2020-07-30,65.41871
2020-07-31,56.55172
2020-08-01,34.97536
2020-08-02,33.99014
2020-08-03,60.59113
2020-08-04,63.25123
2020-08-05,61.08374
2020-08-06,62.16748
2020-08-07,63.44827
2020-08-08,36.15763
2020-08-09,40.59113
2020-08-10,62.06896
2020-08-11,69.45812
2020-08-12,70.73891
2020-08-13,68.86699
2020-08-14,65.71428
2020-08-15,40.09852
2020-08-16,36.35467
2020-08-17,43.34975
2020-08-18,64.0394
2020-08-19,68.4729
2020-08-20,73.30049
2020-08-21,65.8128
2020-08-22,40.98522
2020-08-23,39.1133
