date,부업꽁방
2023-10-07,6.54205
2023-10-15,4.67289
2023-10-18,10.28037
2023-10-21,4.67289
2023-10-23,14.95327
2023-10-24,9.34579
2023-10-25,11.21495
2023-10-26,13.08411
2023-10-27,8.41121
2023-10-28,9.34579
2023-10-30,20.56074
2023-10-31,12.14953
2023-11-01,11.21495
2023-11-02,15.88785
2023-11-03,18.69158
2023-11-04,7.47663
2023-11-05,19.62616
2023-11-06,18.69158
2023-11-07,13.08411
2023-11-08,5.60747
2023-11-09,12.14953
2023-11-10,11.21495
2023-11-12,8.41121
2023-11-13,24.29906
2023-11-15,18.69158
2023-11-16,25.23364
2023-11-17,16.82242
2023-11-18,25.23364
2023-11-19,43.92523
2023-11-20,33.64485
2023-11-21,49.53271
2023-11-22,29.90654
2023-11-23,65.42056
2023-11-24,52.33644
2023-11-25,64.48598
2023-11-26,55.14018
2023-11-27,44.85981
2023-11-28,51.40186
2023-11-29,23.36448
2023-11-30,40.18691
2023-12-01,24.29906
2023-12-02,31.7757
2023-12-03,46.72897
2023-12-04,22.4299
2023-12-05,41.12149
2023-12-06,28.97196
2023-12-07,48.59813
2023-12-08,39.25233
2023-12-09,26.16822
2023-12-10,41.12149
2023-12-11,48.59813
2023-12-12,50.46728
2023-12-13,45.79439
2023-12-14,36.44859
2023-12-15,33.64485
2023-12-16,33.64485
2023-12-17,39.25233
2023-12-18,56.07476
2023-12-19,57.94392
2023-12-20,35.51401
2023-12-21,38.31775
2023-12-22,32.71028
2023-12-23,32.71028
2023-12-24,47.66355
2023-12-25,37.38317
2023-12-26,42.05607
2023-12-27,33.64485
2023-12-28,37.38317
2023-12-29,45.79439
2023-12-30,22.4299
2023-12-31,36.44859
2024-01-01,38.31775
2024-01-02,31.7757
2024-01-03,40.18691
2024-01-04,33.64485
2024-01-05,36.44859
2024-01-06,44.85981
2024-01-07,37.38317
2024-01-08,44.85981
2024-01-09,40.18691
2024-01-10,49.53271
2024-01-11,35.51401
2024-01-12,67.28971
2024-01-13,57.00934
2024-01-14,55.14018
2024-01-15,71.02803
2024-01-16,59.81308
2024-01-17,55.14018
2024-01-18,66.35514
2024-01-19,35.51401
2024-01-20,46.72897
2024-01-21,45.79439
2024-01-22,62.61682
2024-01-23,57.94392
2024-01-24,64.48598
2024-01-25,68.22429
2024-01-26,68.22429
2024-01-27,60.74766
2024-01-28,85.04672
2024-01-29,100.0
2024-01-30,54.2056
2024-01-31,75.70093
2024-02-01,50.46728
2024-02-02,38.31775
2024-02-03,34.57943
2024-02-04,56.07476
2024-02-05,57.94392
2024-02-06,49.53271
2024-02-07,53.27102
2024-02-08,40.18691
2024-02-09,48.59813
2024-02-10,51.40186
2024-02-11,53.27102
2024-02-12,58.8785
2024-02-13,64.48598
2024-02-14,51.40186
2024-02-15,55.14018
2024-02-16,36.44859
2024-02-17,34.57943
2024-02-18,48.59813
2024-02-19,65.42056
2024-02-20,40.18691
2024-02-21,60.74766
2024-02-22,44.85981
2024-02-23,34.57943
2024-02-24,32.71028
2024-02-25,34.57943
2024-02-26,55.14018
2024-02-27,53.27102
2024-02-28,43.92523
2024-02-29,42.99065
2024-03-01,37.38317
2024-03-02,26.16822
2024-03-03,46.72897
2024-03-04,71.02803
2024-03-05,58.8785
2024-03-06,43.92523
2024-03-07,41.12149
2024-03-08,37.38317
2024-03-09,37.38317
2024-03-10,45.79439
2024-03-11,67.28971
2024-03-12,71.96261
2024-03-13,62.61682
2024-03-14,56.07476
2024-03-15,64.48598
2024-03-16,71.96261
2024-03-17,50.46728
2024-03-18,74.76635
2024-03-19,64.48598
2024-03-20,71.96261
