date,미니나스닥100선물
2020-04-02,0.62972
2020-09-09,1.25944
2020-09-10,1.38539
2020-09-11,0.75566
2020-09-14,1.25944
2020-09-15,1.00755
2020-09-16,2.64483
2020-09-17,2.77078
2020-09-18,0.75566
2020-09-21,0.62972
2020-09-22,1.63727
2020-09-23,0.88161
2020-09-24,3.02267
2020-09-29,1.00755
2020-10-02,4.534
2020-10-03,0.88161
2020-10-05,1.1335
2020-10-06,1.1335
2020-10-07,1.38539
2020-10-13,1.51133
2020-10-14,1.1335
2020-10-15,1.1335
2020-10-19,0.62972
2020-10-22,1.38539
2020-10-23,1.00755
2020-10-27,0.62972
2020-10-28,0.88161
2020-10-29,1.51133
2020-10-30,1.88916
2020-11-02,0.88161
2020-11-03,1.00755
2020-11-04,1.1335
2020-11-05,2.14105
2020-11-06,0.75566
2020-11-09,0.88161
2020-11-10,1.25944
2020-11-11,1.38539
2020-11-12,1.1335
2020-11-13,0.62972
2020-11-16,1.00755
2020-11-18,1.1335
2020-11-20,0.62972
2020-11-23,0.75566
2020-11-24,1.00755
2020-11-25,1.00755
2020-11-26,0.75566
2020-11-27,0.88161
2020-12-01,0.75566
2020-12-07,1.00755
2020-12-08,0.88161
2020-12-10,0.75566
2020-12-11,0.75566
2020-12-15,2.39294
2021-01-05,0.88161
2021-01-07,0.62972
2021-01-08,2.51889
2021-01-11,5.91939
2021-01-12,6.04534
2021-01-13,5.6675
2021-01-14,4.28211
2021-01-15,4.03022
2021-01-16,0.62972
2021-01-18,2.51889
2021-01-19,4.03022
2021-01-20,3.14861
2021-01-21,3.4005
2021-01-22,2.14105
2021-01-23,0.62972
2021-01-24,0.75566
2021-01-25,2.64483
2021-01-26,4.40806
2021-01-27,5.28967
2021-01-28,7.68261
2021-01-29,8.06045
2021-01-30,0.88161
2021-02-01,6.17128
2021-02-02,4.15617
2021-02-03,4.40806
2021-02-04,3.4005
2021-02-05,3.27455
2021-02-07,1.1335
2021-02-08,2.77078
2021-02-09,3.14861
2021-02-10,2.14105
2021-02-11,2.267
2021-02-12,5.28967
2021-02-16,1.76322
2021-02-17,1.51133
2021-02-18,3.65239
2021-02-19,2.01511
2021-02-22,4.78589
2021-02-23,5.79345
2021-02-24,2.89672
2021-02-25,4.534
2021-02-26,4.65994
2021-03-01,1.51133
2021-03-02,2.89672
2021-03-03,1.00755
2021-03-04,3.27455
2021-03-05,4.15617
2021-03-06,0.62972
2021-03-08,5.03778
2021-03-09,4.65994
2021-03-10,3.02267
2021-03-11,2.39294
2021-03-12,4.40806
2021-03-13,0.75566
2021-03-14,1.00755
2021-03-15,4.03022
2021-03-16,3.52644
2021-03-17,3.52644
2021-03-18,3.77833
2021-03-19,2.64483
2021-03-20,0.75566
2021-03-22,2.51889
2021-03-23,3.77833
2021-03-24,1.88916
2021-03-25,2.51889
2021-03-26,3.02267
2021-03-27,1.63727
2021-03-29,3.90428
2021-03-30,1.63727
2021-03-31,2.77078
2021-04-01,4.534
2021-04-02,3.77833
2021-04-05,3.52644
2021-04-06,1.63727
2021-04-09,0.75566
2021-04-12,1.1335
2021-04-13,0.75566
2021-04-14,1.63727
2021-04-15,1.51133
2021-04-19,1.88916
2021-04-20,1.76322
2021-04-27,5.54156
2021-04-28,2.14105
2021-04-29,1.51133
2021-04-30,0.62972
2021-05-03,0.75566
2021-05-05,0.62972
2021-05-06,0.88161
2021-05-07,0.62972
2021-06-09,0.75566
2021-06-30,4.40806
2021-07-01,6.17128
2021-07-08,2.14105
2021-07-09,0.88161
2021-07-20,0.62972
