date,위안화환율
2020-03-20,75.42117
2020-03-21,24.15561
2020-03-22,20.31415
2020-03-23,65.32107
2020-03-24,49.68666
2020-03-25,45.82892
2020-03-26,41.90607
2020-03-27,37.13681
2020-03-28,16.95287
2020-03-29,14.90192
2020-03-30,36.01367
2020-03-31,31.87108
2020-04-01,29.90966
2020-04-02,31.73272
2020-04-03,28.2982
2020-04-04,14.38919
2020-04-05,13.30674
2020-04-06,28.50166
2020-04-07,29.35623
2020-04-08,26.18214
2020-04-09,26.4263
2020-04-10,26.4263
2020-04-11,13.16838
2020-04-12,13.37185
2020-04-13,27.13436
2020-04-14,26.08447
2020-04-15,17.69349
2020-04-16,25.82404
2020-04-17,24.79042
2020-04-18,13.40441
2020-04-19,13.87645
2020-04-20,26.81696
2020-04-21,31.52111
2020-04-22,29.49458
2020-04-23,26.6786
2020-04-24,27.1425
2020-04-25,14.95076
2020-04-26,14.76357
2020-04-27,27.24017
2020-04-28,25.95426
2020-04-29,24.39163
2020-04-30,15.43094
2020-05-01,14.02295
2020-05-02,11.8662
2020-05-03,13.90087
2020-05-04,24.1963
2020-05-05,16.32619
2020-05-06,25.75893
2020-05-07,23.7975
2020-05-08,21.77911
2020-05-09,11.80109
2020-05-10,12.27313
2020-05-11,21.93375
2020-05-12,19.91535
2020-05-13,18.63758
2020-05-14,19.55725
2020-05-15,19.14218
2020-05-16,11.56506
2020-05-17,13.56718
2020-05-18,21.23382
2020-05-19,21.68145
2020-05-20,21.51867
2020-05-21,21.58378
2020-05-22,22.21046
2020-05-23,11.98014
2020-05-24,11.87433
2020-05-25,37.74721
2020-05-26,100.0
2020-05-27,53.86994
2020-05-28,60.45413
2020-05-29,37.99137
2020-05-30,16.10645
2020-05-31,13.17652
2020-06-01,28.7621
2020-06-02,26.54838
2020-06-03,28.0459
2020-06-04,25.46593
2020-06-05,22.48718
2020-06-06,13.05444
2020-06-07,12.51729
2020-06-08,23.04061
2020-06-09,25.54732
2020-06-10,28.57491
2020-06-11,26.49141
2020-06-12,24.5544
2020-06-13,11.76039
2020-06-14,12.59054
2020-06-15,25.86473
2020-06-16,25.02645
2020-06-17,24.29396
2020-06-18,22.50345
2020-06-19,21.93375
2020-06-20,11.66273
2020-06-21,10.74306
2020-06-22,22.25929
2020-06-23,22.51159
2020-06-24,22.74761
2020-06-25,20.41995
2020-06-26,18.78408
2020-06-27,10.65353
2020-06-28,10.75933
2020-06-29,21.93375
2020-06-30,23.64287
2020-07-01,22.41393
2020-07-02,20.56645
2020-07-03,21.2094
2020-07-04,10.53145
2020-07-05,10.37682
2020-07-06,24.23699
2020-07-07,26.61349
2020-07-08,24.44046
2020-07-09,25.4171
2020-07-10,24.74973
2020-07-11,11.58134
2020-07-12,12.1836
2020-07-13,28.11915
2020-07-14,25.31944
2020-07-15,24.21258
2020-07-16,24.29396
2020-07-17,22.53601
2020-07-18,11.74411
2020-07-19,11.39415
2020-07-20,26.03564
2020-07-21,22.49532
2020-07-22,24.71718
2020-07-23,25.97867
2020-07-24,22.67437
2020-07-25,12.09408
2020-07-26,17.7586
2020-07-27,25.4578
2020-07-28,24.52185
2020-07-29,23.91958
2020-07-30,22.53601
2020-07-31,21.70586
2020-08-01,11.84992
2020-08-02,11.55693
2020-08-03,22.38137
