date,크라우드펀딩사이트
2020-03-20,18.847
2020-03-21,13.96895
2020-03-22,13.08203
2020-03-23,21.28603
2020-03-24,24.8337
2020-03-25,24.39024
2020-03-26,25.05543
2020-03-27,26.82926
2020-03-28,19.73392
2020-03-29,20.39911
2020-03-30,21.28603
2020-03-31,26.60753
2020-04-01,22.83813
2020-04-02,28.38137
2020-04-03,24.39024
2020-04-04,18.847
2020-04-05,19.95565
2020-04-06,28.82483
2020-04-07,24.16851
2020-04-08,28.82483
2020-04-09,22.39467
2020-04-10,23.50332
2020-04-11,20.39911
2020-04-12,20.62084
2020-04-13,23.28159
2020-04-14,27.49445
2020-04-15,23.50332
2020-04-16,23.50332
2020-04-17,21.0643
2020-04-18,17.07317
2020-04-19,20.62084
2020-04-20,24.39024
2020-04-21,27.27272
2020-04-22,28.6031
2020-04-23,15.52106
2020-04-24,13.08203
2020-04-25,10.64301
2020-04-26,11.75166
2020-04-27,19.95565
2020-04-28,21.72949
2020-04-29,13.30376
2020-04-30,14.85587
2020-05-01,13.52549
2020-05-02,5.98669
2020-05-03,11.08647
2020-05-04,15.74279
2020-05-05,12.63858
2020-05-06,17.96008
2020-05-07,18.847
2020-05-08,10.86474
2020-05-09,13.74722
2020-05-10,13.74722
2020-05-11,16.18625
2020-05-12,17.51662
2020-05-13,18.40354
2020-05-14,14.63414
2020-05-15,12.63858
2020-05-16,11.3082
2020-05-17,12.19512
2020-05-18,20.39911
2020-05-19,25.72062
2020-05-20,19.73392
2020-05-21,14.85587
2020-05-22,15.29933
2020-05-23,12.86031
2020-05-24,11.75166
2020-05-25,13.30376
2020-05-26,17.2949
2020-05-27,14.19068
2020-05-28,15.74279
2020-05-29,15.0776
2020-05-30,7.98226
2020-05-31,10.42128
2020-06-01,14.63414
2020-06-02,40.35476
2020-06-03,17.96008
2020-06-04,19.73392
2020-06-05,13.30376
2020-06-06,9.53436
2020-06-07,14.41241
2020-06-08,14.19068
2020-06-09,15.74279
2020-06-10,13.96895
2020-06-11,16.18625
2020-06-12,15.0776
2020-06-13,10.64301
2020-06-14,9.97782
2020-06-15,12.63858
2020-06-16,18.847
2020-06-17,19.06873
2020-06-18,17.73835
2020-06-19,14.85587
2020-06-20,8.20399
2020-06-21,7.5388
2020-06-22,8.86917
2020-06-23,13.08203
2020-06-24,18.62527
2020-06-25,22.83813
2020-06-26,13.52549
2020-06-27,8.64745
2020-06-28,11.08647
2020-06-29,14.41241
2020-06-30,13.96895
2020-07-01,15.74279
2020-07-02,16.85144
2020-07-03,11.52993
2020-07-04,9.97782
2020-07-05,9.75609
2020-07-06,17.73835
2020-07-07,15.29933
2020-07-08,13.96895
2020-07-09,13.08203
2020-07-10,17.07317
2020-07-11,9.75609
2020-07-12,10.64301
2020-07-13,9.31263
2020-07-14,14.85587
2020-07-15,15.74279
2020-07-16,10.86474
2020-07-17,9.31263
2020-07-18,9.97782
2020-07-19,9.31263
2020-07-20,14.19068
2020-07-21,22.6164
2020-07-22,23.28159
2020-07-23,14.85587
2020-07-24,9.97782
2020-07-25,9.97782
2020-07-26,8.64745
2020-07-27,12.63858
2020-07-28,12.63858
2020-07-29,16.62971
2020-07-30,17.07317
2020-07-31,13.08203
2020-08-01,10.19955
