date,뉴욕증시
2020-03-20,13.46096
2020-03-21,11.36677
2020-03-22,1.85779
2020-03-23,7.77558
2020-03-24,15.94646
2020-03-25,14.00747
2020-03-26,14.9833
2020-03-27,12.33937
2020-03-28,8.62974
2020-03-29,1.69664
2020-03-30,5.37673
2020-03-31,12.04762
2020-04-01,12.21522
2020-04-02,12.23012
2020-04-03,9.96709
2020-04-04,6.37838
2020-04-05,1.30333
2020-04-06,4.27228
2020-04-07,100.0
2020-04-08,10.59083
2020-04-09,10.07213
2020-04-10,8.57238
2020-04-11,3.94924
2020-04-12,1.21568
2020-04-13,4.01032
2020-04-14,8.0877
2020-04-15,6.58919
2020-04-16,6.99144
2020-04-17,7.39319
2020-04-18,4.31325
2020-04-19,1.02697
2020-04-20,2.99775
2020-04-21,9.45584
2020-04-22,44.42797
2020-04-23,9.72128
2020-04-24,7.9258
2020-04-25,4.32294
2020-04-26,0.88445
2020-04-27,2.51281
2020-04-28,6.33344
2020-04-29,6.62718
2020-04-30,4.76318
2020-05-01,4.95909
2020-05-02,4.1166
2020-05-03,0.96241
2020-05-04,2.23099
2020-05-05,5.87259
2020-05-06,7.76043
2020-05-07,8.74793
2020-05-08,7.46421
2020-05-09,3.54054
2020-05-10,0.75036
2020-05-11,2.18257
2020-05-12,6.05633
2020-05-13,11.69776
2020-05-14,8.05566
2020-05-15,7.44037
2020-05-16,3.61751
2020-05-17,0.72976
2020-05-18,2.49841
2020-05-19,8.99027
2020-05-20,10.00633
2020-05-21,7.13645
2020-05-22,6.29893
2020-05-23,3.55494
2020-05-24,0.82734
2020-05-25,2.29058
2020-05-26,4.83047
2020-05-27,6.3029
2020-05-28,7.40437
2020-05-29,6.15218
2020-05-30,36.62308
2020-05-31,0.77917
2020-06-01,2.1267
2020-06-02,6.19389
2020-06-03,5.45271
2020-06-04,6.16137
2020-06-05,6.48987
2020-06-06,3.49013
2020-06-07,0.66197
2020-06-08,1.90745
2020-06-09,40.13755
2020-06-10,27.46346
2020-06-11,20.40945
2020-06-12,11.81347
2020-06-13,5.2722
2020-06-14,0.90779
2020-06-15,7.66062
2020-06-16,9.39699
2020-06-17,7.52852
2020-06-18,6.85686
2020-06-19,5.31292
2020-06-20,3.77568
2020-06-21,0.73273
2020-06-22,2.13465
2020-06-23,5.557
2020-06-24,5.77625
2020-06-25,9.94301
2020-06-26,9.65945
2020-06-27,5.60591
2020-06-28,0.94553
2020-06-29,3.31855
2020-06-30,9.26738
2020-07-01,7.96826
2020-07-02,6.52364
2020-07-03,5.73627
2020-07-04,2.44354
2020-07-05,0.6724
2020-07-06,2.25085
2020-07-07,6.03225
2020-07-08,6.18595
2020-07-09,6.11046
2020-07-10,5.30125
2020-07-11,3.22097
2020-07-12,0.63192
2020-07-13,1.89702
2020-07-14,10.29163
2020-07-15,32.19437
2020-07-16,6.3543
2020-07-17,5.46587
2020-07-18,3.08937
2020-07-19,0.66743
2020-07-20,1.90671
2020-07-21,5.64614
2020-07-22,5.39833
2020-07-23,5.33204
2020-07-24,7.15507
2020-07-25,3.5465
2020-07-26,0.65427
2020-07-27,1.83172
2020-07-28,5.12967
2020-07-29,24.19258
2020-07-30,5.71467
2020-07-31,5.38046
2020-08-01,3.13233
2020-08-02,0.56364
2020-08-03,1.59683
2020-08-04,4.82351
2020-08-05,33.70553
2020-08-06,4.69688
2020-08-07,4.50271
2020-08-08,2.94014
2020-08-09,0.56463
2020-08-10,4.88683
2020-08-11,18.19658
2020-08-12,9.12907
2020-08-13,5.34569
2020-08-14,4.22262
2020-08-15,2.43634
2020-08-16,0.4899
2020-08-17,1.65369
2020-08-18,5.12321
2020-08-19,4.80464
2020-08-20,5.78345
2020-08-21,7.03365
2020-08-22,2.8587
2020-08-23,0.54601
2020-08-24,1.62811
2020-08-25,6.71756
