date,파이코인가격
2020-03-20,2.83479
2020-03-21,2.44379
2020-03-22,2.73704
2020-03-23,4.88758
2020-03-24,3.91006
2020-03-25,4.69208
2020-03-26,5.96285
2020-03-27,3.51906
2020-03-28,2.93255
2020-03-29,1.56402
2020-03-30,2.83479
2020-03-31,3.32355
2020-04-01,2.73704
2020-04-02,2.54154
2020-04-03,1.75953
2020-04-04,1.56402
2020-04-05,1.27077
2020-04-06,1.75953
2020-04-07,2.24828
2020-04-08,2.44379
2020-04-09,1.17302
2020-04-10,1.07526
2020-04-11,0.58651
2020-04-12,0.87976
2020-04-13,1.07526
2020-04-14,0.87976
2020-04-15,0.58651
2020-04-16,1.36852
2020-04-17,1.17302
2020-04-18,0.97751
2020-04-19,1.17302
2020-04-20,1.27077
2020-04-21,0.48875
2020-04-23,0.78201
2020-04-24,1.75953
2020-04-26,0.87976
2020-04-27,1.07526
2020-04-28,1.07526
2020-04-29,1.27077
2020-04-30,1.17302
2020-05-01,2.05278
2020-05-02,0.78201
2020-05-03,0.87976
2020-05-04,1.17302
2020-05-05,1.07526
2020-05-06,1.46627
2020-05-07,0.78201
2020-05-08,0.78201
2020-05-09,0.58651
2020-05-10,1.07526
2020-05-11,1.36852
2020-05-12,1.36852
2020-05-13,1.56402
2020-05-14,0.87976
2020-05-15,0.78201
2020-05-16,1.56402
2020-05-17,0.48875
2020-05-18,1.07526
2020-05-19,1.27077
2020-05-20,1.27077
2020-05-21,0.97751
2020-05-22,1.36852
2020-05-23,0.78201
2020-05-25,0.58651
2020-05-26,0.97751
2020-05-27,0.78201
2020-05-29,0.48875
2020-05-30,0.87976
2020-05-31,0.58651
2020-06-01,0.68426
2020-06-05,0.58651
2020-06-08,1.17302
2020-06-09,0.58651
2020-06-10,0.68426
2020-06-13,0.48875
2020-06-14,0.48875
2020-06-20,0.48875
2020-07-12,0.68426
2020-08-08,0.58651
2020-08-09,0.68426
2020-08-11,0.48875
2020-08-15,0.68426
2020-08-17,0.78201
2020-08-28,0.87976
2020-08-29,1.46627
2020-08-31,0.48875
2020-09-01,0.58651
2020-09-02,1.07526
2020-09-03,0.97751
2020-09-04,0.68426
2020-09-14,0.48875
2020-09-15,0.78201
2020-09-16,0.58651
2020-09-20,0.48875
2020-09-21,0.58651
2020-09-22,1.17302
2020-09-23,2.05278
2020-09-24,2.24828
2020-09-25,0.48875
2020-10-10,0.78201
2020-10-14,0.48875
2020-10-19,0.78201
2020-10-20,0.97751
2020-10-28,0.87976
2020-11-09,0.48875
2020-11-10,0.48875
2020-11-12,0.97751
2020-11-14,0.48875
2020-11-17,0.97751
2020-11-18,2.34604
2020-11-19,2.15053
2020-11-20,1.85728
2020-11-21,1.56402
2020-11-22,1.85728
2020-11-23,1.46627
2020-11-24,0.97751
2020-11-25,0.97751
2020-11-28,0.48875
2020-11-29,0.78201
2020-12-02,0.87976
2020-12-03,0.68426
2020-12-04,0.78201
2020-12-05,0.58651
2020-12-06,3.0303
2020-12-07,0.87976
2020-12-08,1.56402
2020-12-09,1.85728
2020-12-10,1.85728
2020-12-11,1.36852
2020-12-12,0.97751
2020-12-13,0.97751
2020-12-14,0.97751
2020-12-15,1.95503
2020-12-16,1.56402
2020-12-17,2.83479
2020-12-18,2.24828
2020-12-19,2.24828
2020-12-20,2.44379
2020-12-21,0.48875
2020-12-22,2.24828
2020-12-23,1.27077
2020-12-24,0.68426
2020-12-25,1.27077
2020-12-26,2.15053
2020-12-27,1.46627
2020-12-28,2.24828
2020-12-29,1.17302
2020-12-30,3.12805
2020-12-31,2.83479
2021-01-01,3.2258
2021-01-02,2.93255
2021-01-03,4.78983
2021-01-04,4.88758
2021-01-05,4.98533
2021-01-06,8.60215
2021-01-07,5.96285
2021-01-08,5.47409
2021-01-09,10.45943
2021-01-10,8.50439
2021-01-11,6.54936
2021-01-12,7.72238
2021-01-13,7.03812
2021-01-14,6.35386
2021-01-15,4.49657
2021-01-16,4.59433
2021-01-17,5.08308
2021-01-18,5.57184
2021-01-19,7.23362
2021-01-20,7.13587
2021-01-21,6.45161
2021-01-22,6.2561
2021-01-23,7.33137
2021-01-24,4.49657
2021-01-25,8.01564
2021-01-26,6.74486
2021-01-27,5.76735
2021-01-28,7.62463
2021-01-29,4.78983
2021-01-30,4.49657
2021-01-31,6.54936
2021-02-01,6.0606
2021-02-02,4.88758
2021-02-03,5.96285
2021-02-04,4.10557
2021-02-05,6.2561
2021-02-06,6.0606
2021-02-07,5.27859
2021-02-08,8.01564
2021-02-09,6.0606
2021-02-10,2.93255
2021-02-11,4.69208
2021-02-12,3.61681
2021-02-13,4.49657
2021-02-14,4.78983
2021-02-15,5.8651
2021-02-16,7.82013
2021-02-17,10.36168
