date,퇴직금세금
2020-11-07,14.3609
2020-11-08,14.09774
2020-11-09,31.69172
2020-11-10,42.18045
2020-11-11,32.70676
2020-11-12,34.28571
2020-11-13,37.63157
2020-11-14,18.34586
2020-11-15,18.30827
2020-11-16,35.52631
2020-11-17,34.06015
2020-11-18,31.8421
2020-11-19,33.45864
2020-11-20,28.1203
2020-11-21,15.78947
2020-11-22,14.9624
2020-11-23,31.12781
2020-11-24,31.91729
2020-11-25,36.2406
2020-11-26,33.7218
2020-11-27,32.06766
2020-11-28,17.21804
2020-11-29,14.17293
2020-11-30,41.31578
2020-12-01,41.12781
2020-12-02,37.10526
2020-12-03,34.09774
2020-12-04,34.88721
2020-12-05,18.30827
2020-12-06,18.00751
2020-12-07,35.48872
2020-12-08,34.58646
2020-12-09,38.79699
2020-12-10,43.83458
2020-12-11,36.99248
2020-12-12,18.0827
2020-12-13,16.57894
2020-12-14,37.4812
2020-12-15,40.0
2020-12-16,41.80451
2020-12-17,37.4436
2020-12-18,35.75187
2020-12-19,20.67669
2020-12-20,17.63157
2020-12-21,36.27819
2020-12-22,37.70676
2020-12-23,38.45864
2020-12-24,38.19548
2020-12-25,21.09022
2020-12-26,17.4436
2020-12-27,19.51127
2020-12-28,43.98496
2020-12-29,41.39097
2020-12-30,43.38345
2020-12-31,45.97744
2021-01-01,23.30827
2021-01-02,21.42857
2021-01-03,20.6015
2021-01-04,50.41353
2021-01-05,46.46616
2021-01-06,47.14285
2021-01-07,40.71428
2021-01-08,46.54135
2021-01-09,23.98496
2021-01-10,24.43609
2021-01-11,49.39849
2021-01-12,47.33082
2021-01-13,47.63157
2021-01-14,54.09774
2021-01-15,56.35338
2021-01-16,24.06015
2021-01-17,23.49624
2021-01-18,46.69172
2021-01-19,45.78947
2021-01-20,48.30827
2021-01-21,46.87969
2021-01-22,41.69172
2021-01-23,25.03759
2021-01-24,18.57142
2021-01-25,44.21052
2021-01-26,41.87969
2021-01-27,40.22556
2021-01-28,36.2406
2021-01-29,43.98496
2021-01-30,22.21804
2021-01-31,27.25563
2021-02-01,42.74436
2021-02-02,37.25563
2021-02-03,33.90977
2021-02-04,34.28571
2021-02-05,36.16541
2021-02-06,18.94736
2021-02-07,16.50375
2021-02-08,34.17293
2021-02-09,38.00751
2021-02-10,39.66165
2021-02-11,17.06766
2021-02-12,11.8421
2021-02-13,13.19548
2021-02-14,17.51879
2021-02-15,41.09022
2021-02-16,39.17293
2021-02-17,35.6015
2021-02-18,34.28571
2021-02-19,36.39097
2021-02-20,17.40601
2021-02-21,16.09022
2021-02-22,36.39097
2021-02-23,39.21052
2021-02-24,38.60902
2021-02-25,42.40601
2021-02-26,40.41353
2021-02-27,22.14285
2021-02-28,18.27067
2021-03-01,20.07518
2021-03-02,44.51127
2021-03-03,40.41353
2021-03-04,40.37593
2021-03-05,42.10526
2021-03-06,20.33834
2021-03-07,24.43609
2021-03-08,42.74436
2021-03-09,44.77443
2021-03-10,55.71428
2021-03-11,47.4436
2021-03-12,39.51127
2021-03-13,20.86466
2021-03-14,19.47368
2021-03-15,45.22556
2021-03-16,41.203
2021-03-17,37.25563
2021-03-18,37.10526
2021-03-19,33.75939
2021-03-20,17.93233
2021-03-21,21.12781
2021-03-22,38.7218
2021-03-23,38.34586
2021-03-24,36.61654
2021-03-25,39.28571
2021-03-26,31.8421
2021-03-27,17.96992
2021-03-28,17.93233
2021-03-29,35.18796
2021-03-30,38.90977
2021-03-31,43.30827
2021-04-01,36.05263
2021-04-02,30.67669
2021-04-03,16.16541
2021-04-04,17.4812
2021-04-05,34.24812
2021-04-06,35.52631
2021-04-07,33.53383
2021-04-08,33.87218
2021-04-09,35.63909
2021-04-10,20.41353
2021-04-11,15.63909
2021-04-12,33.60902
2021-04-13,36.65413
2021-04-14,38.1203
2021-04-15,40.90225
2021-04-16,33.60902
2021-04-17,17.55639
2021-04-18,13.75939
2021-04-19,32.03007
2021-04-20,34.9624
