date,KODEXCD금리액티브(합성)
2023-06-08,4.7619
2023-06-10,5.8608
2023-06-11,6.2271
2023-06-12,4.7619
2023-06-13,6.5934
2023-06-14,2.1978
2023-06-15,8.0586
2023-06-16,7.6923
2023-06-17,3.2967
2023-06-18,5.1282
2023-06-19,8.7912
2023-06-20,5.1282
2023-06-21,15.01831
2023-06-22,7.6923
2023-06-23,15.01831
2023-06-24,3.663
2023-06-25,2.9304
2023-06-26,13.18681
2023-06-27,9.5238
2023-06-28,13.55311
2023-06-29,12.45421
2023-06-30,19.78021
2023-07-01,7.326
2023-07-02,5.8608
2023-07-03,20.51282
2023-07-04,12.82051
2023-07-05,10.62271
2023-07-06,10.98901
2023-07-07,17.21611
2023-07-08,4.0293
2023-07-09,6.2271
2023-07-10,19.04761
2023-07-11,16.84981
2023-07-12,13.91941
2023-07-13,12.45421
2023-07-14,15.01831
2023-07-15,5.1282
2023-07-16,5.1282
2023-07-17,8.0586
2023-07-18,18.31501
2023-07-19,18.68131
2023-07-20,16.84981
2023-07-21,18.31501
2023-07-22,6.5934
2023-07-23,6.2271
2023-07-24,12.82051
2023-07-25,12.82051
2023-07-26,18.31501
2023-07-27,13.91941
2023-07-28,19.41391
2023-07-29,2.5641
2023-07-30,36.63003
2023-07-31,32.23443
2023-08-01,18.31501
2023-08-02,16.84981
2023-08-03,23.44322
2023-08-04,18.31501
2023-08-05,9.1575
2023-08-06,11.72161
2023-08-07,21.24542
2023-08-08,23.80952
2023-08-09,26.00732
2023-08-10,23.44322
2023-08-11,30.76923
2023-08-12,19.41391
2023-08-13,10.25641
2023-08-14,24.17582
2023-08-15,9.1575
2023-08-16,47.25274
2023-08-17,39.19413
2023-08-18,60.80586
2023-08-19,24.54212
2023-08-20,17.21611
2023-08-21,36.26373
2023-08-22,35.53113
2023-08-23,32.60073
2023-08-24,42.49084
2023-08-25,76.92307
2023-08-26,78.75457
2023-08-27,60.43956
2023-08-28,100.0
2023-08-29,86.44688
2023-08-30,66.66666
2023-08-31,69.23076
2023-09-01,63.36996
2023-09-02,28.20512
2023-09-03,42.49084
2023-09-04,58.24175
2023-09-05,56.04395
2023-09-06,67.39926
2023-09-07,53.47985
2023-09-08,48.71794
2023-09-09,17.21611
2023-09-10,11.72161
2023-09-11,48.35164
2023-09-12,52.74725
2023-09-13,55.31135
2023-09-14,50.18315
2023-09-15,47.25274
2023-09-16,24.54212
2023-09-17,15.75091
2023-09-18,41.02564
2023-09-19,44.32234
2023-09-20,56.41025
2023-09-21,29.67032
2023-09-22,33.69963
2023-09-23,17.58241
2023-09-24,13.18681
2023-09-25,29.67032
2023-09-26,43.22344
2023-09-27,27.47252
2023-09-28,31.13553
2023-09-29,17.94871
2023-09-30,10.98901
2023-10-01,6.2271
2023-10-02,12.08791
2023-10-03,8.4249
2023-10-04,34.79853
2023-10-05,36.26373
2023-10-06,26.37362
2023-10-07,12.08791
2023-10-08,5.1282
2023-10-09,16.84981
2023-10-10,24.90842
2023-10-11,27.10622
2023-10-12,23.07692
2023-10-13,30.40293
2023-10-14,4.3956
2023-10-15,5.1282
2023-10-16,27.10622
2023-10-17,23.80952
2023-10-18,33.33333
2023-10-19,25.27472
2023-10-20,26.37362
2023-10-21,12.08791
2023-10-22,29.30402
2023-10-23,34.43223
2023-10-24,31.86813
2023-10-25,27.83882
2023-10-26,31.86813
2023-10-27,28.20512
2023-10-28,7.6923
2023-10-29,6.2271
2023-10-30,27.10622
2023-10-31,39.56043
2023-11-01,24.17582
2023-11-02,24.90842
2023-11-03,25.64102
2023-11-04,10.98901
2023-11-05,10.98901
2023-11-06,21.61172
2023-11-07,23.07692
2023-11-08,35.53113
2023-11-09,30.76923
2023-11-10,23.07692
2023-11-11,10.62271
2023-11-12,10.25641
2023-11-13,21.61172
2023-11-14,21.61172
2023-11-15,28.20512
2023-11-16,30.03663
2023-11-17,28.20512
2023-11-18,6.2271
2023-11-19,13.18681
2023-11-20,17.58241
2023-11-21,20.51282
2023-11-22,18.31501
2023-11-23,32.23443
2023-11-24,32.96703
2023-11-25,36.99633
2023-11-26,28.20512
2023-11-27,46.52014
2023-11-28,45.42124
2023-11-29,49.45054
2023-11-30,45.42124
2023-12-01,28.57142
2023-12-02,19.41391
2023-12-03,15.75091
2023-12-04,37.36263
2023-12-05,24.54212
2023-12-06,38.82783
2023-12-07,31.86813
2023-12-08,35.53113
2023-12-09,12.45421
2023-12-10,16.48351
2023-12-11,33.69963
2023-12-12,23.07692
2023-12-13,29.30402
2023-12-14,34.43223
2023-12-15,30.76923
2023-12-16,17.21611
2023-12-17,17.21611
2023-12-18,31.86813
2023-12-19,35.89743
2023-12-20,34.06593
2023-12-21,22.71062
2023-12-22,37.72893
2023-12-23,20.14652
2023-12-24,7.6923
2023-12-25,17.58241
2023-12-26,43.58974
2023-12-27,34.06593
2023-12-28,56.77655
2023-12-29,31.50183
2023-12-30,22.34432
2023-12-31,21.97802
2024-01-01,28.93772
2024-01-02,57.14285
2024-01-03,57.14285
2024-01-04,53.84615
2024-01-05,58.60805
2024-01-06,19.04761
2024-01-07,21.24542
2024-01-08,53.47985
2024-01-09,51.64835
2024-01-10,53.84615
2024-01-11,48.35164
2024-01-12,46.15384
2024-01-13,18.68131
2024-01-14,41.02564
2024-01-15,55.31135
2024-01-16,42.12454
2024-01-17,39.92673
2024-01-18,41.39194
2024-01-19,50.18315
2024-01-20,21.24542
2024-01-21,13.55311
2024-01-22,39.56043
2024-01-23,42.12454
2024-01-24,43.22344
2024-01-25,35.89743
2024-01-26,46.15384
2024-01-27,23.07692
2024-01-28,16.48351
2024-01-29,41.02564
2024-01-30,39.56043
2024-01-31,47.25274
2024-02-01,56.41025
2024-02-02,56.04395
2024-02-03,18.68131
2024-02-04,22.34432
2024-02-05,47.25274
2024-02-06,63.36996
2024-02-07,52.01465
2024-02-08,49.08424
2024-02-09,24.54212
2024-02-10,19.41391
2024-02-11,21.61172
2024-02-12,32.23443
2024-02-13,78.38827
2024-02-14,65.56776
2024-02-15,52.74725
2024-02-16,54.94505
2024-02-17,30.40293
2024-02-18,69.96336
2024-02-19,91.57509
2024-02-20,90.47619
2024-02-21,100.0
2024-02-22,98.90109
2024-02-23,87.91208
2024-02-24,37.36263
2024-02-25,33.69963
2024-02-26,68.13186
2024-02-27,58.97435
2024-02-28,78.38827
2024-02-29,75.82417
2024-03-01,30.03663
2024-03-02,24.90842
2024-03-03,26.00732
2024-03-04,82.78388
2024-03-05,84.98168
2024-03-06,70.32967
2024-03-07,73.26007
2024-03-08,64.46886
2024-03-09,50.18315
2024-03-10,31.50183
2024-03-11,80.58608
2024-03-12,77.65567
2024-03-13,84.24908
2024-03-14,79.85347
2024-03-15,74.35897
2024-03-16,40.29304
2024-03-17,84.98168
2024-03-18,95.23809
2024-03-19,85.71428
2024-03-20,83.88278
