date,이자높은적금
2020-03-20,17.53246
2020-03-21,14.50216
2020-03-22,12.12121
2020-03-23,20.12987
2020-03-24,16.88311
2020-03-25,24.24242
2020-03-26,24.24242
2020-03-27,17.53246
2020-03-28,9.30735
2020-03-29,9.5238
2020-03-30,19.48051
2020-03-31,12.77056
2020-04-01,14.50216
2020-04-02,11.90476
2020-04-03,11.68831
2020-04-04,5.6277
2020-04-05,9.30735
2020-04-06,10.82251
2020-04-07,11.68831
2020-04-08,11.25541
2020-04-09,10.82251
2020-04-10,11.03896
2020-04-11,13.20346
2020-04-12,8.44155
2020-04-13,10.17316
2020-04-14,10.38961
2020-04-15,9.74025
2020-04-16,10.60606
2020-04-17,12.12121
2020-04-18,8.44155
2020-04-19,7.57575
2020-04-20,10.82251
2020-04-21,14.50216
2020-04-22,14.93506
2020-04-23,16.45021
2020-04-24,18.61471
2020-04-25,9.5238
2020-04-26,6.9264
2020-04-27,12.98701
2020-04-28,10.38961
2020-04-29,9.0909
2020-04-30,6.4935
2020-05-01,8.658
2020-05-02,7.57575
2020-05-03,10.38961
2020-05-04,14.93506
2020-05-05,10.38961
2020-05-06,12.33766
2020-05-07,13.41991
2020-05-08,8.2251
2020-05-09,6.0606
2020-05-10,4.329
2020-05-11,13.41991
2020-05-12,9.9567
2020-05-13,11.03896
2020-05-14,8.00865
2020-05-15,10.82251
2020-05-16,3.0303
2020-05-17,3.8961
2020-05-18,7.57575
2020-05-19,11.03896
2020-05-20,7.57575
2020-05-21,8.658
2020-05-22,9.0909
2020-05-23,5.41125
2020-05-24,6.27705
2020-05-25,7.57575
2020-05-26,9.30735
2020-05-27,9.30735
2020-05-28,11.03896
2020-05-29,10.60606
2020-05-30,5.41125
2020-05-31,6.4935
2020-06-01,12.77056
2020-06-02,9.0909
2020-06-03,7.3593
2020-06-04,11.25541
2020-06-05,9.9567
2020-06-06,3.67965
2020-06-07,3.8961
2020-06-08,7.57575
2020-06-09,11.03896
2020-06-10,10.60606
2020-06-11,9.0909
2020-06-12,7.3593
2020-06-13,3.24675
2020-06-14,3.8961
2020-06-15,12.33766
2020-06-16,8.44155
2020-06-17,6.4935
2020-06-18,8.00865
2020-06-19,9.5238
2020-06-20,6.27705
2020-06-21,5.84415
2020-06-22,11.68831
2020-06-23,8.87445
2020-06-24,9.30735
2020-06-25,8.658
2020-06-26,9.30735
2020-06-27,1.51515
2020-06-28,3.4632
2020-06-29,6.9264
2020-06-30,8.2251
2020-07-01,9.74025
2020-07-02,7.7922
2020-07-03,7.3593
2020-07-04,2.5974
2020-07-05,6.70995
2020-07-06,10.17316
2020-07-07,9.9567
2020-07-08,9.30735
2020-07-09,8.658
2020-07-10,11.25541
2020-07-11,5.1948
2020-07-12,9.0909
2020-07-13,9.0909
2020-07-14,12.55411
2020-07-15,15.80086
2020-07-16,11.03896
2020-07-17,6.4935
2020-07-18,6.9264
2020-07-19,5.6277
2020-07-20,14.28571
2020-07-21,12.33766
2020-07-22,11.25541
2020-07-23,12.98701
2020-07-24,14.93506
2020-07-25,8.2251
2020-07-26,8.2251
2020-07-27,12.98701
2020-07-28,12.55411
2020-07-29,10.60606
2020-07-30,14.28571
2020-07-31,11.47186
2020-08-01,6.27705
2020-08-02,7.57575
2020-08-03,12.55411
2020-08-04,11.03896
2020-08-05,8.00865
2020-08-06,11.03896
2020-08-07,9.0909
2020-08-08,4.329
2020-08-09,7.3593
2020-08-10,11.68831
2020-08-11,12.98701
2020-08-12,13.63636
2020-08-13,8.00865
2020-08-14,5.6277
2020-08-15,4.54545
2020-08-16,3.67965
2020-08-17,2.1645
2020-08-18,6.0606
2020-08-19,4.11255
2020-08-20,6.70995
2020-08-21,5.84415
2020-08-22,5.6277
2020-08-23,4.97835
2020-08-24,8.44155
2020-08-25,11.47186
2020-08-26,12.12121
2020-08-27,9.74025
2020-08-28,5.41125
2020-08-29,4.329
2020-08-30,5.6277
2020-08-31,8.44155
2020-09-01,9.74025
2020-09-02,11.90476
2020-09-03,6.4935
2020-09-04,5.84415
2020-09-05,5.84415
2020-09-06,6.27705
2020-09-07,5.41125
2020-09-08,9.30735
2020-09-09,7.7922
2020-09-10,12.77056
2020-09-11,8.658
2020-09-12,4.54545
2020-09-13,5.6277
2020-09-14,14.71861
2020-09-15,10.60606
2020-09-16,13.63636
2020-09-17,14.06926
2020-09-18,8.00865
2020-09-19,4.11255
2020-09-20,5.84415
2020-09-21,12.98701
2020-09-22,9.30735
2020-09-23,9.5238
2020-09-24,9.74025
2020-09-25,7.14285
2020-09-26,6.0606
2020-09-27,6.27705
2020-09-28,9.5238
2020-09-29,13.41991
2020-09-30,3.4632
2020-10-01,4.329
2020-10-02,4.97835
2020-10-03,5.6277
2020-10-04,6.0606
2020-10-05,8.658
2020-10-06,8.658
2020-10-07,9.0909
2020-10-08,6.4935
2020-10-09,4.97835
2020-10-10,4.54545
2020-10-11,5.84415
2020-10-12,10.60606
2020-10-13,8.00865
2020-10-14,8.87445
2020-10-15,6.70995
2020-10-16,10.17316
2020-10-17,4.11255
2020-10-18,4.97835
2020-10-19,8.00865
2020-10-20,7.57575
2020-10-21,8.2251
2020-10-22,6.27705
2020-10-23,5.1948
2020-10-24,5.1948
2020-10-25,4.54545
2020-10-26,6.27705
2020-10-27,7.7922
2020-10-28,8.2251
2020-10-29,8.44155
2020-10-30,4.54545
2020-10-31,4.11255
2020-11-01,5.1948
2020-11-02,4.97835
2020-11-03,6.4935
2020-11-04,5.1948
2020-11-05,12.12121
2020-11-06,5.84415
2020-11-07,3.4632
2020-11-08,3.67965
2020-11-09,5.84415
2020-11-10,5.84415
2020-11-11,5.6277
2020-11-12,4.11255
2020-11-13,2.1645
2020-11-14,3.0303
2020-11-15,6.0606
2020-11-16,7.57575
2020-11-17,6.4935
2020-11-18,2.38095
2020-11-19,3.8961
2020-11-20,6.4935
2020-11-21,4.7619
2020-11-22,3.8961
2020-11-23,6.0606
2020-11-24,6.9264
2020-11-25,6.9264
2020-11-26,4.54545
2020-11-27,3.67965
2020-11-28,1.51515
2020-11-29,3.24675
2020-11-30,8.87445
2020-12-01,8.658
2020-12-02,8.44155
2020-12-03,8.658
2020-12-04,6.4935
2020-12-05,6.4935
2020-12-06,5.1948
2020-12-07,7.7922
2020-12-08,8.00865
2020-12-09,10.82251
2020-12-10,9.5238
2020-12-11,7.57575
2020-12-12,7.3593
2020-12-13,5.41125
2020-12-14,8.658
2020-12-15,7.14285
2020-12-16,6.4935
2020-12-17,6.4935
2020-12-18,6.70995
2020-12-19,4.329
2020-12-20,3.4632
2020-12-21,8.2251
2020-12-22,8.2251
2020-12-23,9.30735
2020-12-24,10.82251
2020-12-25,9.0909
2020-12-26,6.27705
2020-12-27,4.97835
2020-12-28,9.9567
2020-12-29,10.38961
2020-12-30,11.47186
2020-12-31,6.27705
2021-01-01,8.658
2021-01-02,6.4935
2021-01-03,15.58441
2021-01-04,16.23376
2021-01-05,15.80086
2021-01-06,20.56277
2021-01-07,11.68831
2021-01-08,8.87445
2021-01-09,6.27705
2021-01-10,14.71861
2021-01-11,16.23376
2021-01-12,14.28571
2021-01-13,16.23376
2021-01-14,14.71861
2021-01-15,11.25541
2021-01-16,8.658
2021-01-17,9.5238
2021-01-18,14.71861
2021-01-19,9.30735
2021-01-20,11.03896
2021-01-21,10.82251
2021-01-22,13.20346
2021-01-23,6.70995
2021-01-24,6.9264
2021-01-25,17.31601
2021-01-26,13.41991
2021-01-27,10.17316
2021-01-28,15.58441
2021-01-29,13.20346
2021-01-30,8.2251
2021-01-31,7.57575
2021-02-01,15.15151
2021-02-02,12.12121
2021-02-03,17.09956
2021-02-04,20.99567
2021-02-05,16.66666
2021-02-06,10.82251
2021-02-07,9.74025
2021-02-08,13.41991
2021-02-09,8.44155
2021-02-10,10.17316
2021-02-11,4.329
2021-02-12,6.0606
2021-02-13,6.27705
2021-02-14,8.87445
2021-02-15,9.9567
2021-02-16,13.85281
2021-02-17,12.12121
2021-02-18,16.66666
2021-02-19,8.00865
2021-02-20,3.8961
2021-02-21,3.67965
2021-02-22,7.7922
2021-02-23,8.44155
2021-02-24,13.20346
2021-02-25,12.98701
