date,NH투자증권
2020-03-20,15.57223
2020-03-21,4.24612
2020-03-22,4.01126
2020-03-23,15.47158
2020-03-24,14.92072
2020-03-25,19.79651
2020-03-26,17.65784
2020-03-27,16.62947
2020-03-28,4.20242
2020-03-29,4.05808
2020-03-30,13.94931
2020-03-31,15.02918
2020-04-01,13.81043
2020-04-02,12.73446
2020-04-03,11.07019
2020-04-04,3.29031
2020-04-05,3.1959
2020-04-06,12.47776
2020-04-07,12.19843
2020-04-08,11.33781
2020-04-09,11.5399
2020-04-10,10.96953
2020-04-11,3.17795
2020-04-12,3.29265
2020-04-13,10.17836
2020-04-14,9.38719
2020-04-15,3.01254
2020-04-16,8.84647
2020-04-17,11.77709
2020-04-18,3.09213
2020-04-19,2.97275
2020-04-20,10.51387
2020-04-21,9.65949
2020-04-22,10.04884
2020-04-23,9.68056
2020-04-24,8.6795
2020-04-25,2.42033
2020-04-26,2.39614
2020-04-27,10.07771
2020-04-28,9.97081
2020-04-29,11.79192
2020-04-30,3.2669
2020-05-01,2.90253
2020-05-02,1.96076
2020-05-03,2.25102
2020-05-04,9.20227
2020-05-05,2.81826
2020-05-06,9.6751
2020-05-07,8.11616
2020-05-08,7.95621
2020-05-09,2.34777
2020-05-10,2.29783
2020-05-11,8.55778
2020-05-12,8.12084
2020-05-13,8.58899
2020-05-14,7.96089
2020-05-15,8.47898
2020-05-16,2.14178
2020-05-17,2.6864
2020-05-18,8.68574
2020-05-19,9.40513
2020-05-20,8.63581
2020-05-21,10.4889
2020-05-22,8.97677
2020-05-23,2.15739
2020-05-24,2.06844
2020-05-25,8.74426
2020-05-26,9.71567
2020-05-27,9.78355
2020-05-28,15.90462
2020-05-29,9.32633
2020-05-30,2.33762
2020-05-31,2.38366
2020-06-01,10.40931
2020-06-02,10.41556
2020-06-03,13.89547
2020-06-04,11.51181
2020-06-05,10.72688
2020-06-06,2.89472
2020-06-07,2.90175
2020-06-08,11.21063
2020-06-09,10.41009
2020-06-10,10.14871
2020-06-11,10.34143
2020-06-12,10.26419
2020-06-13,3.27783
2020-06-14,3.25208
2020-06-15,13.535
2020-06-16,13.79482
2020-06-17,14.4198
2020-06-18,15.91944
2020-06-19,16.72544
2020-06-20,4.85939
2020-06-21,5.11454
