date,포괄임금제
2020-03-20,4.99051
2020-03-21,2.22854
2020-03-22,2.14556
2020-03-23,5.83214
2020-03-24,6.65007
2020-03-25,6.04551
2020-03-26,5.8677
2020-03-27,4.68231
2020-03-28,1.87292
2020-03-29,2.29966
2020-03-30,6.02181
2020-03-31,6.02181
2020-04-01,4.97866
2020-04-02,5.33428
2020-04-03,4.78899
2020-04-04,1.96775
2020-04-05,2.01517
2020-04-06,5.38169
2020-04-07,5.54765
2020-04-08,4.9431
2020-04-09,6.1522
2020-04-10,5.46467
2020-04-11,2.34708
2020-04-12,2.43006
2020-04-13,6.43669
2020-04-14,5.96254
2020-04-15,3.40208
2020-04-16,5.90327
2020-04-17,5.39355
2020-04-18,2.79753
2020-04-19,2.43006
2020-04-20,5.93883
2020-04-21,6.00995
2020-04-22,7.98956
2020-04-23,6.47226
2020-04-24,5.98624
2020-04-25,2.61972
2020-04-26,2.89236
2020-04-27,6.47226
2020-04-28,7.37316
2020-04-29,5.66619
2020-04-30,3.10573
2020-05-01,3.28354
2020-05-02,2.14556
2020-05-03,1.68326
2020-05-04,3.87624
2020-05-05,3.22427
2020-05-06,5.87956
2020-05-07,5.89141
2020-05-08,5.63063
2020-05-09,2.56045
2020-05-10,2.38264
2020-05-11,6.35372
2020-05-12,5.8677
2020-05-13,5.89141
2020-05-14,5.33428
2020-05-15,5.10905
2020-05-16,1.9559
2020-05-17,1.99146
2020-05-18,4.9668
2020-05-19,5.02607
2020-05-20,5.18018
2020-05-21,5.48838
2020-05-22,4.99051
2020-05-23,2.09815
2020-05-24,2.51303
2020-05-25,4.97866
2020-05-26,5.28686
2020-05-27,5.64248
2020-05-28,5.66619
2020-05-29,5.38169
2020-05-30,2.34708
2020-05-31,2.20483
2020-06-01,5.14461
2020-06-02,6.10478
2020-06-03,5.78473
2020-06-04,5.95068
2020-06-05,5.65433
2020-06-06,2.29966
2020-06-07,1.92034
2020-06-08,5.66619
2020-06-09,5.61877
2020-06-10,6.33001
2020-06-11,5.20388
2020-06-12,4.56377
2020-06-13,1.71882
2020-06-14,1.70697
2020-06-15,5.21574
2020-06-16,5.06164
2020-06-17,5.07349
2020-06-18,5.32242
2020-06-19,4.37411
2020-06-20,1.76623
2020-06-21,1.75438
2020-06-22,6.49596
2020-06-23,7.97771
2020-06-24,5.51209
2020-06-25,6.79231
2020-06-26,4.9431
2020-06-27,2.29966
2020-06-28,2.07444
2020-06-29,5.14461
2020-06-30,5.66619
2020-07-01,6.35372
2020-07-02,5.41725
2020-07-03,4.57562
2020-07-04,2.02702
2020-07-05,1.9559
2020-07-06,4.76529
2020-07-07,5.07349
2020-07-08,4.44523
2020-07-09,4.80085
2020-07-10,4.0659
2020-07-11,1.90848
2020-07-12,1.93219
2020-07-13,5.14461
2020-07-14,5.45282
2020-07-15,4.9668
2020-07-16,4.45708
2020-07-17,4.07776
2020-07-18,1.86107
2020-07-19,1.69511
2020-07-20,5.19203
2020-07-21,5.46467
2020-07-22,5.83214
2020-07-23,4.71787
2020-07-24,4.68231
2020-07-25,1.58843
2020-07-26,1.88477
2020-07-27,4.87197
2020-07-28,5.22759
2020-07-29,5.04978
2020-07-30,4.83641
2020-07-31,4.3504
2020-08-01,1.8018
2020-08-02,1.86107
2020-08-03,3.82882
2020-08-04,4.44523
2020-08-05,4.45708
2020-08-06,4.40967
2020-08-07,3.56804
2020-08-08,1.56472
2020-08-09,1.89663
2020-08-10,4.70602
2020-08-11,4.9668
2020-08-12,5.06164
2020-08-13,4.76529
2020-08-14,3.9118
2020-08-15,2.16927
2020-08-16,1.46989
2020-08-17,2.43006
2020-08-18,4.08961
2020-08-19,4.1963
2020-08-20,4.6586
2020-08-21,3.99478
2020-08-22,1.44618
2020-08-23,1.76623
2020-08-24,4.99051
2020-08-25,5.85585
2020-08-26,6.23518
2020-08-27,5.61877
2020-08-28,4.16073
2020-08-29,1.78994
2020-08-30,2.03888
2020-08-31,4.76529
