date,로보어드바이저
2020-11-07,6.96649
2020-11-08,6.70194
2020-11-09,7.9365
2020-11-10,11.99294
2020-11-11,9.78835
2020-11-12,13.49206
2020-11-13,10.67019
2020-11-14,7.9365
2020-11-15,7.49559
2020-11-16,11.37566
2020-11-17,14.19753
2020-11-18,14.28571
2020-11-19,15.52028
2020-11-20,15.25573
2020-11-21,9.34744
2020-11-22,12.43386
2020-11-23,15.96119
2020-11-24,9.78835
2020-11-25,13.66843
2020-11-26,13.58024
2020-11-27,9.34744
2020-11-28,7.84832
2020-11-29,8.4656
2020-11-30,14.90299
2020-12-01,14.55026
2020-12-02,18.69488
2020-12-03,14.28571
2020-12-04,11.72839
2020-12-05,9.96472
2020-12-06,10.67019
2020-12-07,19.31216
2020-12-08,16.13756
2020-12-09,19.22398
2020-12-10,11.99294
2020-12-11,11.19929
2020-12-12,8.9947
2020-12-13,10.22927
2020-12-14,10.31746
2020-12-15,13.66843
2020-12-16,12.25749
2020-12-17,12.78659
2020-12-18,16.13756
2020-12-19,7.9365
2020-12-20,11.55202
2020-12-21,11.90476
2020-12-22,16.31393
2020-12-23,11.64021
2020-12-24,11.46384
2020-12-25,12.43386
2020-12-26,7.49559
2020-12-27,8.37742
2020-12-28,13.40388
2020-12-29,13.58024
2020-12-30,18.43033
2020-12-31,9.78835
2021-01-01,6.96649
2021-01-02,7.58377
2021-01-03,8.37742
2021-01-04,10.58201
2021-01-05,11.11111
2021-01-06,13.75661
2021-01-07,12.43386
2021-01-08,12.43386
2021-01-09,10.40564
2021-01-10,8.81834
2021-01-11,14.28571
2021-01-12,12.78659
2021-01-13,12.16931
2021-01-14,11.72839
2021-01-15,10.14109
2021-01-16,7.4074
2021-01-17,12.34567
2021-01-18,12.96296
2021-01-19,14.55026
2021-01-20,14.28571
2021-01-21,14.63844
2021-01-22,11.55202
2021-01-23,31.30511
2021-01-24,20.98765
2021-01-25,18.78306
2021-01-26,20.194
2021-01-27,29.18871
2021-01-28,28.65961
2021-01-29,21.86948
2021-01-30,11.64021
2021-01-31,11.02292
2021-02-01,11.81657
2021-02-02,17.28395
2021-02-03,14.90299
2021-02-04,10.75837
2021-02-05,14.99118
2021-02-06,14.19753
2021-02-07,12.16931
2021-02-08,15.60846
2021-02-09,11.81657
2021-02-10,30.07054
2021-02-11,9.34744
2021-02-12,5.90828
2021-02-13,8.64197
2021-02-14,8.20105
2021-02-15,14.81481
2021-02-16,13.40388
2021-02-17,15.16754
2021-02-18,10.05291
2021-02-19,10.40564
2021-02-20,7.76014
2021-02-21,6.08465
2021-02-22,24.07407
2021-02-23,54.32098
2021-02-24,22.22222
2021-02-25,25.74955
2021-02-26,11.19929
2021-02-27,19.57671
2021-02-28,7.14285
2021-03-01,13.13932
2021-03-02,10.14109
2021-03-03,11.28747
2021-03-04,11.55202
2021-03-05,16.04938
2021-03-06,14.81481
2021-03-07,9.5238
2021-03-08,15.96119
2021-03-09,10.75837
2021-03-10,10.75837
2021-03-11,9.70017
2021-03-12,10.49382
2021-03-13,6.52557
2021-03-14,6.17283
2021-03-15,13.40388
2021-03-16,18.16578
2021-03-17,17.37213
2021-03-18,21.95767
2021-03-19,11.99294
2021-03-20,9.43562
2021-03-21,10.05291
2021-03-22,15.07936
2021-03-23,11.37566
2021-03-24,18.16578
2021-03-25,11.19929
2021-03-26,10.93474
2021-03-27,6.61375
2021-03-28,11.99294
2021-03-29,19.04761
2021-03-30,11.28747
2021-03-31,9.96472
2021-04-01,12.25749
2021-04-02,8.4656
2021-04-03,7.58377
2021-04-04,4.58553
2021-04-05,13.05114
2021-04-06,13.22751
2021-04-07,10.93474
2021-04-08,10.75837
2021-04-09,10.93474
2021-04-10,7.67195
2021-04-11,7.49559
2021-04-12,11.46384
2021-04-13,14.46208
2021-04-14,11.99294
2021-04-15,11.19929
2021-04-16,11.64021
2021-04-17,8.73015
2021-04-18,5.291
2021-04-19,11.55202
2021-04-20,11.64021
2021-04-21,12.43386
2021-04-22,11.37566
2021-04-23,7.84832
2021-04-24,4.93827
2021-04-25,10.14109
2021-04-26,11.37566
2021-04-27,10.22927
2021-04-28,9.70017
2021-04-29,13.58024
2021-04-30,12.25749
2021-05-01,7.9365
2021-05-02,6.26102
2021-05-03,11.11111
2021-05-04,8.55379
2021-05-05,6.8783
2021-05-06,11.11111
2021-05-07,63.58024
2021-05-08,6.61375
2021-05-09,10.05291
2021-05-10,13.05114
2021-05-11,11.64021
2021-05-12,12.69841
2021-05-13,26.0141
2021-05-14,54.58553
2021-05-15,9.17107
2021-05-16,8.28924
2021-05-17,11.72839
2021-05-18,13.22751
2021-05-19,8.55379
2021-05-20,11.28747
2021-05-21,11.11111
2021-05-22,9.08289
2021-05-23,8.4656
2021-05-24,11.81657
2021-05-25,12.96296
2021-05-26,11.81657
2021-05-27,10.67019
2021-05-28,10.84656
2021-05-29,10.49382
2021-05-30,12.16931
2021-05-31,17.0194
2021-06-01,16.04938
2021-06-02,16.13756
2021-06-03,16.31393
2021-06-04,12.43386
2021-06-05,14.90299
2021-06-06,11.90476
2021-06-07,11.46384
2021-06-08,14.46208
2021-06-09,10.93474
2021-06-10,12.43386
2021-06-11,67.81305
2021-06-12,6.08465
2021-06-13,6.52557
2021-06-14,10.22927
2021-06-15,10.14109
2021-06-16,11.11111
2021-06-17,8.90652
2021-06-18,10.22927
2021-06-19,8.55379
2021-06-20,5.90828
2021-06-21,9.17107
2021-06-22,18.95943
2021-06-23,16.13756
2021-06-24,46.47266
2021-06-25,10.67019
2021-06-26,5.37918
2021-06-27,5.291
2021-06-28,9.61199
2021-06-29,9.43562
2021-06-30,10.58201
2021-07-01,8.9947
2021-07-02,22.57495
2021-07-03,5.02645
2021-07-04,4.40917
2021-07-05,9.61199
2021-07-06,9.61199
2021-07-07,8.64197
2021-07-08,7.49559
2021-07-09,6.79012
2021-07-10,5.291
2021-07-11,5.64373
2021-07-12,7.4074
2021-07-13,7.58377
2021-07-14,10.49382
2021-07-15,8.20105
2021-07-16,9.70017
2021-07-17,12.08112
2021-07-18,6.70194
2021-07-19,7.84832
2021-07-20,9.17107
2021-07-21,7.31922
2021-07-22,8.37742
2021-07-23,7.23104
2021-07-24,4.7619
2021-07-25,3.1746
2021-07-26,6.70194
2021-07-27,6.3492
2021-07-28,6.26102
2021-07-29,6.43738
2021-07-30,8.55379
2021-07-31,3.35097
2021-08-01,3.08641
2021-08-02,6.08465
2021-08-03,6.61375
2021-08-04,6.52557
2021-08-05,7.58377
2021-08-06,8.90652
2021-08-07,6.08465
2021-08-08,5.8201
2021-08-09,6.79012
2021-08-10,7.05467
2021-08-11,9.25925
2021-08-12,8.81834
2021-08-13,7.05467
2021-08-14,5.37918
2021-08-15,4.49735
2021-08-16,4.67372
2021-08-17,7.67195
2021-08-18,19.22398
2021-08-19,11.72839
2021-08-20,6.26102
2021-08-21,8.90652
2021-08-22,5.99647
2021-08-23,8.37742
2021-08-24,13.13932
2021-08-25,18.16578
2021-08-26,10.31746
2021-08-27,6.96649
2021-08-28,5.90828
2021-08-29,9.34744
2021-08-30,6.79012
2021-08-31,10.40564
2021-09-01,8.81834
2021-09-02,8.11287
2021-09-03,8.55379
2021-09-04,5.55555
2021-09-05,6.17283
2021-09-06,10.58201
2021-09-07,12.52204
2021-09-08,11.46384
2021-09-09,8.81834
2021-09-10,8.37742
2021-09-11,5.11463
2021-09-12,7.31922
2021-09-13,10.31746
2021-09-14,9.5238
2021-09-15,8.4656
2021-09-16,10.67019
2021-09-17,21.7813
2021-09-18,3.43915
2021-09-19,3.61552
2021-09-20,3.43915
2021-09-21,4.49735
2021-09-22,4.2328
2021-09-23,10.14109
2021-09-24,11.46384
2021-09-25,5.64373
2021-09-26,7.76014
2021-09-27,7.67195
2021-09-28,8.4656
2021-09-29,7.4074
2021-09-30,9.25925
2021-10-01,7.14285
2021-10-02,4.2328
2021-10-03,2.99823
2021-10-04,6.52557
2021-10-05,7.05467
2021-10-06,6.8783
2021-10-07,7.23104
2021-10-08,8.37742
2021-10-09,4.05643
2021-10-10,9.96472
2021-10-11,11.90476
2021-10-12,10.67019
2021-10-13,6.8783
2021-10-14,7.67195
2021-10-15,6.08465
2021-10-16,4.05643
2021-10-17,4.93827
2021-10-18,7.31922
2021-10-19,8.90652
2021-10-20,9.08289
2021-10-21,8.28924
2021-10-22,8.73015
2021-10-23,4.58553
2021-10-24,4.2328
2021-10-25,8.90652
2021-10-26,10.05291
2021-10-27,7.58377
2021-10-28,7.58377
2021-10-29,7.05467
2021-10-30,6.79012
2021-10-31,6.43738
2021-11-01,9.96472
2021-11-02,11.02292
2021-11-03,8.73015
2021-11-04,9.78835
2021-11-05,8.28924
2021-11-06,5.46737
2021-11-07,5.291
2021-11-08,8.90652
2021-11-09,12.96296
2021-11-10,9.78835
2021-11-11,9.17107
2021-11-12,8.55379
2021-11-13,5.64373
2021-11-14,5.99647
2021-11-15,7.9365
2021-11-16,8.81834
2021-11-17,7.67195
2021-11-18,9.34744
2021-11-19,7.31922
2021-11-20,4.32098
2021-11-21,5.8201
2021-11-22,11.99294
2021-11-23,8.9947
2021-11-24,8.37742
2021-11-25,14.19753
2021-11-26,10.22927
2021-11-27,5.46737
2021-11-28,6.08465
2021-11-29,9.43562
2021-11-30,8.81834
2021-12-01,6.08465
2021-12-02,7.05467
2021-12-03,6.43738
2021-12-04,5.73192
2021-12-05,10.84656
2021-12-06,13.22751
2021-12-07,11.64021
2021-12-08,8.90652
2021-12-09,31.83421
2021-12-10,12.96296
2021-12-11,5.46737
2021-12-12,8.64197
2021-12-13,9.17107
2021-12-14,7.49559
2021-12-15,6.08465
2021-12-16,6.8783
2021-12-17,6.70194
2021-12-18,6.17283
2021-12-19,4.93827
2021-12-20,8.37742
2021-12-21,9.61199
2021-12-22,6.70194
2021-12-23,8.90652
2021-12-24,6.43738
2021-12-25,3.35097
2021-12-26,2.99823
2021-12-27,20.10582
2021-12-28,7.49559
2021-12-29,8.28924
2021-12-30,7.49559
2021-12-31,4.85008
2022-01-01,4.14462
2022-01-02,6.08465
2022-01-03,6.61375
2022-01-04,8.4656
2022-01-05,7.76014
2022-01-06,6.96649
2022-01-07,7.23104
2022-01-08,3.61552
2022-01-09,5.20282
2022-01-10,5.73192
2022-01-11,7.76014
2022-01-12,10.14109
2022-01-13,9.08289
2022-01-14,6.96649
2022-01-15,5.02645
2022-01-16,3.7037
2022-01-17,7.23104
2022-01-18,6.61375
2022-01-19,5.46737
2022-01-20,6.26102
2022-01-21,5.8201
2022-01-22,3.96825
2022-01-23,2.73368
2022-01-24,5.90828
2022-01-25,8.20105
2022-01-26,6.96649
2022-01-27,9.08289
2022-01-28,7.58377
2022-01-29,3.61552
2022-01-30,6.70194
2022-01-31,3.52733
2022-02-01,3.08641
2022-02-02,5.02645
2022-02-03,16.75485
2022-02-04,10.67019
2022-02-05,4.05643
2022-02-06,6.3492
2022-02-07,8.4656
2022-02-08,7.67195
2022-02-09,6.70194
2022-02-10,6.3492
2022-02-11,6.17283
2022-02-12,3.61552
2022-02-13,4.49735
2022-02-14,7.23104
2022-02-15,7.58377
2022-02-16,7.76014
2022-02-17,5.02645
2022-02-18,5.55555
2022-02-19,3.26278
2022-02-20,2.73368
2022-02-21,8.90652
2022-02-22,11.19929
2022-02-23,7.84832
2022-02-24,5.64373
2022-02-25,5.99647
2022-02-26,3.08641
2022-02-27,2.55731
2022-02-28,5.90828
2022-03-01,2.99823
2022-03-02,5.11463
2022-03-03,6.79012
2022-03-04,4.85008
2022-03-05,2.55731
2022-03-06,2.29276
2022-03-07,5.99647
2022-03-08,5.37918
2022-03-09,2.55731
2022-03-10,5.55555
2022-03-11,5.8201
2022-03-12,3.7037
2022-03-13,3.43915
2022-03-14,6.3492
2022-03-15,7.9365
2022-03-16,8.37742
2022-03-17,7.67195
2022-03-18,6.8783
2022-03-19,5.20282
2022-03-20,5.11463
2022-03-21,7.9365
2022-03-22,7.23104
2022-03-23,6.8783
2022-03-24,8.20105
2022-03-25,33.86243
2022-03-26,97.17813
2022-03-27,36.77248
2022-03-28,20.7231
2022-03-29,20.54673
2022-03-30,17.63668
2022-03-31,21.2522
2022-04-01,51.67548
2022-04-02,13.84479
2022-04-03,10.22927
2022-04-04,22.13403
2022-04-05,23.28042
2022-04-06,25.13227
2022-04-07,23.98589
2022-04-08,21.69312
2022-04-09,18.34215
2022-04-10,9.17107
2022-04-11,24.69135
2022-04-12,19.92945
2022-04-13,22.92768
2022-04-14,19.6649
2022-04-15,14.81481
2022-04-16,11.37566
2022-04-17,5.90828
2022-04-18,27.07231
2022-04-19,22.92768
2022-04-20,18.43033
2022-04-21,19.6649
2022-04-22,17.37213
2022-04-23,5.55555
2022-04-24,5.55555
2022-04-25,8.90652
2022-04-26,9.08289
2022-04-27,13.22751
2022-04-28,11.90476
2022-04-29,8.11287
2022-04-30,5.02645
2022-05-01,5.73192
2022-05-02,8.55379
2022-05-03,9.34744
2022-05-04,6.61375
2022-05-05,6.61375
2022-05-06,7.84832
2022-05-07,6.96649
2022-05-08,5.55555
2022-05-09,9.61199
2022-05-10,11.02292
2022-05-11,12.43386
2022-05-12,6.70194
2022-05-13,29.01234
2022-05-14,6.3492
2022-05-15,4.49735
2022-05-16,8.28924
2022-05-17,10.31746
2022-05-18,12.69841
2022-05-19,11.81657
2022-05-20,9.5238
2022-05-21,9.5238
2022-05-22,6.43738
2022-05-23,13.84479
2022-05-24,14.37389
2022-05-25,11.90476
2022-05-26,10.31746
2022-05-27,8.64197
2022-05-28,4.05643
2022-05-29,3.7037
2022-05-30,12.78659
2022-05-31,10.22927
2022-06-01,4.49735
2022-06-02,8.9947
2022-06-03,8.64197
2022-06-04,6.43738
2022-06-05,8.64197
2022-06-06,9.25925
2022-06-07,16.13756
2022-06-08,18.16578
2022-06-09,15.52028
2022-06-10,12.69841
2022-06-11,5.64373
2022-06-12,7.9365
2022-06-13,14.90299
2022-06-14,13.05114
2022-06-15,10.40564
2022-06-16,9.61199
2022-06-17,6.61375
2022-06-18,2.82186
2022-06-19,4.49735
2022-06-20,12.78659
2022-06-21,12.34567
2022-06-22,18.0776
2022-06-23,19.40035
2022-06-24,11.55202
2022-06-25,10.40564
2022-06-26,10.67019
2022-06-27,18.95943
2022-06-28,19.22398
2022-06-29,14.46208
2022-06-30,12.52204
2022-07-01,28.65961
2022-07-02,5.291
2022-07-03,4.58553
2022-07-04,11.55202
2022-07-05,11.90476
2022-07-06,10.40564
2022-07-07,9.43562
2022-07-08,8.90652
2022-07-09,4.2328
2022-07-10,6.96649
2022-07-11,8.9947
2022-07-12,7.58377
2022-07-13,12.25749
2022-07-14,15.96119
2022-07-15,14.55026
2022-07-16,5.73192
2022-07-17,5.8201
2022-07-18,21.60493
2022-07-19,22.39858
2022-07-20,9.78835
2022-07-21,9.87654
2022-07-22,11.55202
2022-07-23,4.93827
2022-07-24,4.49735
2022-07-25,14.10934
2022-07-26,7.49559
2022-07-27,9.87654
2022-07-28,7.31922
2022-07-29,7.23104
2022-07-30,3.79188
2022-07-31,3.35097
2022-08-01,7.23104
2022-08-02,6.52557
2022-08-03,10.75837
2022-08-04,9.34744
2022-08-05,6.8783
2022-08-06,3.96825
2022-08-07,4.32098
2022-08-08,10.05291
2022-08-09,7.76014
2022-08-10,13.31569
2022-08-11,9.78835
2022-08-12,9.17107
2022-08-13,7.14285
