date,코인거래
2020-03-20,2.0979
2020-03-21,1.8648
2020-03-23,2.0979
2020-03-24,4.1958
2020-03-25,3.7296
2020-03-26,1.8648
2020-03-27,1.1655
2020-03-28,1.6317
2020-03-29,1.6317
2020-03-30,1.1655
2020-03-31,3.2634
2020-04-02,1.1655
2020-04-03,1.3986
2020-04-04,1.1655
2020-04-05,2.331
2020-04-08,1.3986
2020-04-09,1.1655
2020-04-10,2.7972
2020-04-11,1.3986
2020-04-12,1.8648
2020-04-13,2.331
2020-04-14,1.1655
2020-04-18,1.1655
2020-04-21,3.7296
2020-04-23,1.6317
2020-04-26,1.1655
2020-04-27,2.0979
2020-04-28,2.7972
2020-04-29,3.0303
2020-04-30,2.331
2020-05-01,2.7972
2020-05-02,1.1655
2020-05-03,1.8648
2020-05-04,3.2634
2020-05-05,1.8648
2020-05-06,3.0303
2020-05-07,3.0303
2020-05-08,2.5641
2020-05-09,1.1655
2020-05-10,3.0303
2020-05-11,3.4965
2020-05-12,4.8951
2020-05-13,2.7972
2020-05-14,2.5641
2020-05-15,4.4289
2020-05-16,1.8648
2020-05-17,1.6317
2020-05-18,3.0303
2020-05-19,2.7972
2020-05-20,3.2634
2020-05-21,1.6317
2020-05-22,2.7972
2020-05-23,2.0979
2020-05-24,3.0303
2020-05-25,1.3986
2020-05-26,2.331
2020-05-27,4.1958
2020-05-28,3.2634
2020-05-29,2.5641
2020-05-30,1.8648
2020-05-31,2.0979
2020-06-01,2.331
2020-06-02,1.1655
2020-06-03,3.9627
2020-06-04,4.4289
2020-06-05,3.0303
2020-06-06,3.0303
2020-06-07,3.4965
2020-06-08,6.5268
2020-06-09,4.4289
2020-06-10,2.7972
2020-06-11,2.7972
2020-06-12,1.3986
2020-06-13,2.0979
2020-06-14,3.0303
2020-06-15,3.7296
2020-06-16,3.7296
2020-06-17,5.3613
2020-06-18,4.8951
2020-06-19,1.1655
2020-06-20,2.5641
2020-06-21,1.6317
2020-06-22,1.8648
2020-06-23,4.4289
2020-06-24,3.9627
2020-06-25,2.5641
2020-06-26,5.3613
2020-06-27,1.6317
2020-06-28,3.0303
2020-06-29,1.3986
2020-06-30,3.4965
2020-07-01,2.5641
2020-07-02,3.7296
2020-07-03,3.4965
2020-07-04,1.6317
2020-07-07,2.331
2020-07-08,3.2634
2020-07-09,1.3986
2020-07-10,2.0979
2020-07-11,3.0303
2020-07-12,1.1655
2020-07-13,3.0303
2020-07-14,3.2634
2020-07-15,3.0303
2020-07-17,1.3986
2020-07-19,1.6317
2020-07-20,2.7972
2020-07-21,3.4965
2020-07-22,2.5641
2020-07-23,2.7972
2020-07-25,1.6317
2020-07-27,4.1958
2020-07-29,2.0979
2020-07-30,1.1655
2020-07-31,1.8648
2020-08-01,1.1655
2020-08-02,5.1282
2020-08-03,3.7296
2020-08-04,4.8951
2020-08-05,4.662
2020-08-06,2.5641
2020-08-07,3.0303
2020-08-08,2.5641
2020-08-09,1.8648
2020-08-10,2.7972
2020-08-11,5.5944
2020-08-13,3.2634
2020-08-14,4.8951
2020-08-17,1.3986
2020-08-18,3.2634
2020-08-19,4.4289
2020-08-20,3.4965
2020-08-21,2.0979
2020-08-22,1.8648
2020-08-23,3.0303
2020-08-24,3.7296
2020-08-26,6.0606
2020-08-27,3.2634
2020-08-28,2.5641
2020-08-29,1.3986
2020-08-30,3.0303
2020-08-31,1.3986
2020-09-01,3.7296
2020-09-02,8.8578
2020-09-03,2.7972
2020-09-04,5.8275
2020-09-05,1.1655
2020-09-06,4.662
2020-09-07,2.0979
2020-09-08,4.662
2020-09-09,4.8951
2020-09-10,4.4289
2020-09-11,4.4289
2020-09-12,1.6317
2020-09-13,1.6317
2020-09-14,2.331
2020-09-15,5.8275
2020-09-16,3.7296
2020-09-17,3.0303
2020-09-18,5.8275
2020-09-19,3.9627
2020-09-20,1.1655
2020-09-21,3.7296
2020-09-22,2.0979
2020-09-23,2.7972
2020-09-24,2.5641
2020-09-25,3.4965
2020-09-26,1.3986
2020-09-27,1.6317
2020-09-28,2.331
2020-10-01,1.8648
2020-10-02,2.0979
2020-10-03,1.1655
2020-10-04,2.7972
2020-10-05,4.4289
2020-10-06,1.1655
2020-10-07,1.3986
2020-10-08,2.7972
2020-10-09,1.3986
2020-10-10,3.7296
2020-10-11,1.1655
2020-10-12,2.331
2020-10-13,2.331
2020-10-14,3.2634
2020-10-15,3.4965
2020-10-16,1.6317
2020-10-17,1.1655
2020-10-18,2.331
2020-10-19,1.3986
2020-10-20,4.8951
2020-10-21,2.331
2020-10-22,3.2634
2020-10-23,2.331
2020-10-24,1.1655
2020-10-25,1.8648
2020-10-27,2.331
2020-10-28,1.1655
2020-10-29,3.4965
2020-10-30,1.1655
2020-10-31,1.3986
2020-11-01,1.6317
2020-11-02,2.0979
2020-11-03,3.9627
2020-11-04,2.7972
2020-11-05,4.4289
2020-11-06,2.5641
2020-11-07,2.0979
2020-11-08,1.1655
2020-11-09,1.8648
2020-11-11,1.8648
2020-11-12,2.5641
2020-11-14,2.5641
2020-11-16,2.5641
2020-11-17,2.0979
2020-11-18,4.8951
2020-11-19,1.6317
2020-11-20,3.2634
2020-11-21,4.4289
2020-11-22,5.3613
2020-11-23,7.4592
2020-11-24,15.15151
2020-11-25,8.8578
2020-11-26,8.1585
2020-11-27,6.993
2020-11-28,3.4965
2020-11-29,2.0979
2020-11-30,6.0606
2020-12-01,7.2261
2020-12-02,7.9254
2020-12-03,3.9627
2020-12-04,3.4965
2020-12-05,3.7296
2020-12-06,2.0979
2020-12-07,7.2261
2020-12-08,2.0979
2020-12-09,5.1282
2020-12-10,4.1958
2020-12-11,3.9627
2020-12-12,1.6317
2020-12-14,3.2634
2020-12-15,3.2634
2020-12-16,1.1655
2020-12-17,3.9627
2020-12-18,5.1282
2020-12-19,4.662
2020-12-20,3.0303
2020-12-21,4.8951
2020-12-22,6.7599
2020-12-23,8.1585
2020-12-24,5.5944
2020-12-25,4.8951
2020-12-26,4.1958
2020-12-27,9.0909
2020-12-28,5.8275
2020-12-29,6.7599
2020-12-30,14.45221
2020-12-31,10.25641
2021-01-01,7.4592
2021-01-02,8.6247
2021-01-03,14.45221
2021-01-04,21.91142
2021-01-05,10.48951
2021-01-06,11.65501
2021-01-07,21.44522
2021-01-08,17.94871
2021-01-09,13.51981
2021-01-10,13.51981
2021-01-11,12.35431
2021-01-12,7.6923
