date,부동산등기
2020-11-16,66.5625
2020-11-17,68.75
2020-11-18,71.875
2020-11-19,67.8125
2020-11-20,62.8125
2020-11-21,35.0
2020-11-22,36.25
2020-11-23,70.3125
2020-11-24,59.375
2020-11-25,65.3125
2020-11-26,67.5
2020-11-27,59.6875
2020-11-28,27.5
2020-11-29,20.3125
2020-11-30,70.0
2020-12-01,64.0625
2020-12-02,70.0
2020-12-03,61.25
2020-12-04,58.4375
2020-12-05,35.3125
2020-12-06,26.25
2020-12-07,69.375
2020-12-08,64.0625
2020-12-09,60.3125
2020-12-10,57.8125
2020-12-11,61.5625
2020-12-12,29.375
2020-12-13,30.9375
2020-12-14,71.875
2020-12-15,72.5
2020-12-16,63.75
2020-12-17,77.1875
2020-12-18,58.125
2020-12-19,31.25
2020-12-20,28.125
2020-12-21,69.6875
2020-12-22,75.0
2020-12-23,74.0625
2020-12-24,50.3125
2020-12-25,25.0
2020-12-26,29.375
2020-12-27,41.25
2020-12-28,82.1875
2020-12-29,70.3125
2020-12-30,60.9375
2020-12-31,48.4375
2021-01-01,17.8125
2021-01-02,26.25
2021-01-03,35.0
2021-01-04,75.0
2021-01-05,71.875
2021-01-06,64.0625
2021-01-07,65.625
2021-01-08,53.4375
2021-01-09,26.875
2021-01-10,29.375
2021-01-11,69.6875
2021-01-12,61.5625
2021-01-13,66.5625
2021-01-14,70.625
2021-01-15,75.9375
2021-01-16,35.0
2021-01-17,30.3125
2021-01-18,78.125
2021-01-19,76.875
2021-01-20,73.4375
2021-01-21,71.875
2021-01-22,68.75
2021-01-23,34.0625
2021-01-24,30.0
2021-01-25,76.875
2021-01-26,71.25
2021-01-27,68.125
2021-01-28,60.625
2021-01-29,71.5625
2021-01-30,32.1875
2021-01-31,33.4375
2021-02-01,71.875
2021-02-02,82.1875
2021-02-03,70.3125
2021-02-04,65.625
2021-02-05,68.75
2021-02-06,30.3125
2021-02-07,30.3125
2021-02-08,68.75
2021-02-09,67.1875
2021-02-10,49.0625
2021-02-11,24.6875
2021-02-12,20.0
2021-02-13,19.6875
2021-02-14,28.75
2021-02-15,80.9375
2021-02-16,77.8125
2021-02-17,74.6875
2021-02-18,85.3125
2021-02-19,74.6875
2021-02-20,34.0625
2021-02-21,34.6875
2021-02-22,91.25
2021-02-23,63.125
2021-02-24,79.6875
2021-02-25,76.875
2021-02-26,67.5
2021-02-27,34.0625
2021-02-28,25.9375
2021-03-01,32.5
2021-03-02,78.4375
2021-03-03,80.0
2021-03-04,73.4375
2021-03-05,75.0
2021-03-06,35.3125
2021-03-07,30.625
2021-03-08,86.25
2021-03-09,74.6875
2021-03-10,71.875
2021-03-11,71.25
2021-03-12,60.625
2021-03-13,26.5625
2021-03-14,34.0625
2021-03-15,85.3125
2021-03-16,67.5
2021-03-17,69.6875
2021-03-18,73.4375
2021-03-19,63.75
2021-03-20,37.1875
2021-03-21,28.125
2021-03-22,70.3125
2021-03-23,61.5625
2021-03-24,70.625
2021-03-25,65.625
2021-03-26,57.8125
2021-03-27,35.9375
2021-03-28,35.0
2021-03-29,74.6875
2021-03-30,76.25
2021-03-31,60.0
2021-04-01,52.1875
2021-04-02,54.375
2021-04-03,34.6875
2021-04-04,26.5625
2021-04-05,70.0
2021-04-06,77.5
2021-04-07,60.3125
2021-04-08,62.1875
2021-04-09,67.5
2021-04-10,31.5625
2021-04-11,22.1875
2021-04-12,73.75
2021-04-13,72.8125
2021-04-14,65.9375
2021-04-15,75.625
2021-04-16,62.8125
2021-04-17,34.6875
2021-04-18,35.9375
