date,판화
2020-03-20,30.01988
2020-03-21,24.65208
2020-03-22,29.02584
2020-03-23,35.58648
2020-03-24,32.40556
2020-03-25,33.5984
2020-03-26,31.80914
2020-03-27,34.99005
2020-03-28,25.64612
2020-03-29,26.44135
2020-03-30,30.21868
2020-03-31,39.36381
2020-04-01,35.78528
2020-04-02,32.40556
2020-04-03,43.73757
2020-04-04,23.85685
2020-04-05,28.23061
2020-04-06,33.5984
2020-04-07,35.18886
2020-04-08,37.37574
2020-04-09,39.165
2020-04-10,33.20079
2020-04-11,23.06163
2020-04-12,27.43538
2020-04-13,57.85288
2020-04-14,36.1829
2020-04-15,30.8151
2020-04-16,64.0159
2020-04-17,65.20874
2020-04-18,24.85089
2020-04-19,26.44135
2020-04-20,58.05168
2020-04-21,71.37176
2020-04-22,69.98011
2020-04-23,51.68986
2020-04-24,46.71968
2020-04-25,25.0497
2020-04-26,30.01988
2020-04-27,65.20874
2020-04-28,37.77335
2020-04-29,46.32206
2020-04-30,24.05566
2020-05-01,36.1829
2020-05-02,20.67594
2020-05-03,22.66401
2020-05-04,43.73757
2020-05-05,28.82703
2020-05-06,51.88866
2020-05-07,46.91848
2020-05-08,54.27435
2020-05-09,22.86282
2020-05-10,24.45328
2020-05-11,41.35188
2020-05-12,49.30417
2020-05-13,58.4493
2020-05-14,47.51491
2020-05-15,41.15308
2020-05-16,25.0497
2020-05-17,27.63419
2020-05-18,45.72564
2020-05-19,51.88866
2020-05-20,47.11729
2020-05-21,60.23856
2020-05-22,53.08151
2020-05-23,21.27236
2020-05-24,29.82107
2020-05-25,44.93041
2020-05-26,51.49105
2020-05-27,61.2326
2020-05-28,86.48111
2020-05-29,65.40755
2020-05-30,45.12922
2020-05-31,56.66003
2020-06-01,61.03379
2020-06-02,67.19681
2020-06-03,59.24453
2020-06-04,46.52087
2020-06-05,39.165
2020-06-06,26.44135
2020-06-07,39.165
2020-06-08,46.71968
2020-06-09,50.69582
2020-06-10,43.33996
2020-06-11,51.68986
2020-06-12,51.68986
2020-06-13,25.2485
2020-06-14,33.5984
2020-06-15,50.49701
2020-06-16,46.71968
2020-06-17,49.70178
2020-06-18,46.52087
2020-06-19,48.11133
2020-06-20,29.22465
2020-06-21,32.80318
2020-06-22,49.70178
2020-06-23,48.11133
2020-06-24,65.60636
2020-06-25,54.07554
2020-06-26,41.35188
2020-06-27,24.05566
2020-06-28,32.00795
2020-06-29,55.26838
2020-06-30,43.53876
2020-07-01,49.30417
2020-07-02,49.30417
2020-07-03,36.3817
2020-07-04,20.07952
2020-07-05,32.80318
2020-07-06,52.48508
2020-07-07,58.84691
2020-07-08,50.49701
2020-07-09,53.28031
2020-07-10,42.74353
2020-07-11,26.64015
2020-07-12,29.42345
2020-07-13,46.91848
2020-07-14,55.46719
2020-07-15,53.87673
2020-07-16,53.67793
2020-07-17,44.93041
2020-07-18,29.22465
2020-07-19,30.41749
2020-07-20,51.29224
2020-07-21,41.15308
2020-07-22,50.89463
2020-07-23,38.17097
2020-07-24,34.79125
2020-07-25,23.65805
2020-07-26,27.23658
2020-07-27,39.36381
2020-07-28,34.19483
2020-07-29,34.39363
2020-07-30,34.79125
2020-07-31,26.83896
2020-08-01,21.47117
2020-08-02,23.65805
2020-08-03,33.20079
2020-08-04,30.41749
2020-08-05,37.77335
2020-08-06,45.12922
2020-08-07,41.55069
2020-08-08,30.8151
2020-08-09,28.42942
2020-08-10,33.79721
2020-08-11,39.96023
2020-08-12,30.6163
2020-08-13,29.62226
2020-08-14,29.62226
2020-08-15,19.08548
2020-08-16,20.67594
2020-08-17,28.42942
2020-08-18,28.0318
2020-08-19,35.98409
2020-08-20,29.22465
2020-08-21,27.23658
2020-08-22,21.66998
2020-08-23,25.64612
2020-08-24,40.75546
2020-08-25,41.94831
2020-08-26,46.12326
2020-08-27,45.72564
2020-08-28,40.95427
2020-08-29,23.65805
2020-08-30,24.65208
2020-08-31,58.25049
2020-09-01,61.03379
2020-09-02,51.49105
2020-09-03,68.38966
2020-09-04,51.29224
2020-09-05,24.45328
2020-09-06,25.64612
2020-09-07,70.17892
2020-09-08,62.82306
2020-09-09,72.16699
2020-09-10,51.09343
2020-09-11,54.47316
2020-09-12,33.5984
2020-09-13,33.00198
2020-09-14,51.88866
2020-09-15,67.99204
2020-09-16,67.39562
2020-09-17,63.81709
2020-09-18,50.0994
2020-09-19,23.26043
2020-09-20,42.14711
2020-09-21,59.24453
2020-09-22,60.23856
2020-09-23,57.25646
2020-09-24,68.58846
2020-09-25,46.12326
2020-09-26,27.833
2020-09-27,36.3817
2020-09-28,58.4493
2020-09-29,55.26838
2020-09-30,20.87475
2020-10-01,15.50695
2020-10-02,17.89264
2020-10-03,25.0497
2020-10-04,36.77932
2020-10-05,53.08151
2020-10-06,59.24453
2020-10-07,64.0159
2020-10-08,62.82306
2020-10-09,29.02584
2020-10-10,20.67594
2020-10-11,38.36978
2020-10-12,49.70178
2020-10-13,53.47912
2020-10-14,62.02783
2020-10-15,76.14314
2020-10-16,60.03976
2020-10-17,23.65805
2020-10-18,34.59244
2020-10-19,68.98608
2020-10-20,59.64214
2020-10-21,55.06958
2020-10-22,52.8827
2020-10-23,43.33996
2020-10-24,25.64612
2020-10-25,29.42345
2020-10-26,52.8827
2020-10-27,43.53876
2020-10-28,44.73161
2020-10-29,51.68986
2020-10-30,50.0994
2020-10-31,30.01988
2020-11-01,35.78528
2020-11-02,41.35188
2020-11-03,49.30417
2020-11-04,39.56262
2020-11-05,40.75546
2020-11-06,39.56262
2020-11-07,30.01988
2020-11-08,28.82703
2020-11-09,44.13518
2020-11-10,45.72564
2020-11-11,47.11729
2020-11-12,47.71371
2020-11-13,37.37574
2020-11-14,23.85685
2020-11-15,29.22465
2020-11-16,43.14115
2020-11-17,39.165
2020-11-18,38.17097
2020-11-19,44.93041
2020-11-20,41.15308
2020-11-21,24.25447
2020-11-22,28.62823
2020-11-23,33.3996
2020-11-24,35.38767
2020-11-25,42.14711
2020-11-26,38.9662
2020-11-27,33.99602
2020-11-28,24.85089
2020-11-29,31.61033
2020-11-30,46.12326
2020-12-01,50.49701
2020-12-02,47.51491
2020-12-03,45.72564
2020-12-04,43.93638
2020-12-05,23.26043
2020-12-06,25.84493
2020-12-07,44.13518
2020-12-08,47.11729
2020-12-09,42.94234
2020-12-10,49.10536
2020-12-11,33.5984
2020-12-12,26.44135
2020-12-13,29.42345
2020-12-14,39.56262
2020-12-15,38.17097
2020-12-16,31.61033
2020-12-17,35.38767
2020-12-18,45.72564
2020-12-19,27.23658
2020-12-20,23.85685
2020-12-21,34.79125
2020-12-22,33.99602
2020-12-23,30.01988
2020-12-24,29.82107
2020-12-25,19.28429
2020-12-26,26.64015
2020-12-27,29.42345
2020-12-28,38.56858
2020-12-29,36.58051
2020-12-30,38.36978
2020-12-31,25.2485
2021-01-01,22.06759
2021-01-02,27.03777
2021-01-03,24.45328
2021-01-04,33.00198
2021-01-05,31.41153
2021-01-06,28.42942
2021-01-07,34.99005
2021-01-08,37.17693
2021-01-09,34.59244
2021-01-10,29.22465
2021-01-11,32.40556
2021-01-12,26.64015
2021-01-13,32.60437
2021-01-14,32.20675
2021-01-15,25.0497
2021-01-16,27.03777
2021-01-17,25.0497
2021-01-18,33.00198
