date,ISA계좌
2020-03-20,2.30827
2020-03-21,1.39559
2020-03-22,1.34686
2020-03-23,2.63169
2020-03-24,3.82349
2020-03-25,2.94625
2020-03-26,2.31713
2020-03-27,2.07788
2020-03-28,1.32913
2020-03-29,1.23609
2020-03-30,2.12219
2020-03-31,2.09117
2020-04-01,2.24624
2020-04-02,2.34814
2020-04-03,1.98927
2020-04-04,1.16521
2020-04-05,1.18736
2020-04-06,1.95383
2020-04-07,2.11776
2020-04-08,2.30384
2020-04-09,2.23295
2020-04-10,2.11776
2020-04-11,1.10318
2020-04-12,1.42217
2020-04-13,2.32156
2020-04-14,1.92282
2020-04-15,1.14305
2020-04-16,1.63927
2020-04-17,1.82092
2020-04-18,1.23166
2020-04-19,1.32027
2020-04-20,2.06016
2020-04-21,2.30827
2020-04-22,1.92725
2020-04-23,1.81649
2020-04-24,1.95826
2020-04-25,1.17407
2020-04-26,1.14305
2020-04-27,1.90952
2020-04-28,2.4589
2020-04-29,1.99813
2020-04-30,1.26711
2020-05-01,1.07217
2020-05-02,0.90824
2020-05-03,1.23609
2020-05-04,1.7899
2020-05-05,1.29369
2020-05-06,1.67028
2020-05-07,1.50635
2020-05-08,1.70572
2020-05-09,1.05001
2020-05-10,1.15192
2020-05-11,1.67914
2020-05-12,1.78547
2020-05-13,1.78104
2020-05-14,1.77661
2020-05-15,1.61711
2020-05-16,1.00128
2020-05-17,1.05001
2020-05-18,1.57281
2020-05-19,1.65699
2020-05-20,1.56395
2020-05-21,1.58167
2020-05-22,1.40445
2020-05-23,0.89495
2020-05-24,1.09432
2020-05-25,1.87408
2020-05-26,2.33042
2020-05-27,2.36586
2020-05-28,1.92725
2020-05-29,1.7899
2020-05-30,1.11204
2020-05-31,1.33356
2020-06-01,1.98484
2020-06-02,2.34371
2020-06-03,0.78419
2020-06-04,1.84307
2020-06-05,1.74117
2020-06-06,1.24052
2020-06-07,1.16078
2020-06-08,2.06016
2020-06-09,2.0956
2020-06-10,2.07345
2020-06-11,1.77218
2020-06-12,1.59053
2020-06-13,0.89495
2020-06-14,0.98356
2020-06-15,1.70129
2020-06-16,1.86522
2020-06-17,1.68357
2020-06-18,1.73231
2020-06-19,1.41331
2020-06-20,0.8595
2020-06-21,1.18736
2020-06-22,1.68357
2020-06-23,1.85636
2020-06-24,1.96712
2020-06-25,2.13991
2020-06-26,2.29941
2020-06-27,1.00571
2020-06-28,1.13419
2020-06-29,1.76775
2020-06-30,1.62598
2020-07-01,2.02472
2020-07-02,1.9494
2020-07-03,1.95383
2020-07-04,1.42217
2020-07-05,1.4842
2020-07-06,19.43201
2020-07-07,20.33582
2020-07-08,2.88423
2020-07-09,2.37472
2020-07-10,2.11333
2020-07-11,1.40445
2020-07-12,1.45319
2020-07-13,2.18421
2020-07-14,2.21966
2020-07-15,2.50764
2020-07-16,1.92725
2020-07-17,1.75446
2020-07-18,1.02343
2020-07-19,1.23609
2020-07-20,2.03801
2020-07-21,2.52093
2020-07-22,5.57795
2020-07-23,12.79961
2020-07-24,5.12604
2020-07-25,2.37029
2020-07-26,4.15577
2020-07-27,3.30512
2020-07-28,2.97284
2020-07-29,2.65384
2020-07-30,2.81777
2020-07-31,2.62726
2020-08-01,2.20637
2020-08-02,1.62154
2020-08-03,2.52979
2020-08-04,2.74688
2020-08-05,3.74374
2020-08-06,3.98298
2020-08-07,2.79562
2020-08-08,1.57724
2020-08-09,2.43675
2020-08-10,2.88866
2020-08-11,2.72473
2020-08-12,2.55637
2020-08-13,2.73359
2020-08-14,2.20637
2020-08-15,1.20508
2020-08-16,1.27154
2020-08-17,1.62598
2020-08-18,2.12219
2020-08-19,2.67156
2020-08-20,2.16206
2020-08-21,1.82092
2020-08-22,1.40445
2020-08-23,1.64813
2020-08-24,2.49435
2020-08-25,2.6184
2020-08-26,2.60068
2020-08-27,2.65827
2020-08-28,12.36985
2020-08-29,2.22852
2020-08-30,1.75446
2020-08-31,2.4589
2020-09-01,2.83549
2020-09-02,3.47348
2020-09-03,2.4589
2020-09-04,2.18864
2020-09-05,1.24939
2020-09-06,1.45762
2020-09-07,2.2551
2020-09-08,2.27282
2020-09-09,2.32599
2020-09-10,2.18421
2020-09-11,1.98927
2020-09-12,1.09875
2020-09-13,1.18293
2020-09-14,2.06459
2020-09-15,2.99942
2020-09-16,2.7203
2020-09-17,2.11333
2020-09-18,2.06016
2020-09-19,1.10761
2020-09-20,1.23166
2020-09-21,2.01586
2020-09-22,2.03358
2020-09-23,3.16778
2020-09-24,2.12219
2020-09-25,2.29054
2020-09-26,1.08103
2020-09-27,1.28926
2020-09-28,1.82535
2020-09-29,1.76332
2020-09-30,1.20508
2020-10-01,0.95698
2020-10-02,1.11647
2020-10-03,1.06331
2020-10-04,1.39116
2020-10-05,2.57409
2020-10-06,2.4146
2020-10-07,2.30827
2020-10-08,2.05573
2020-10-09,1.21837
2020-10-10,1.09875
2020-10-11,1.55066
2020-10-12,2.65827
2020-10-13,2.54308
2020-10-14,2.43232
2020-10-15,6.31784
2020-10-16,4.4216
2020-10-17,1.49749
2020-10-18,1.59496
2020-10-19,2.64941
2020-10-20,2.86651
2020-10-21,2.17092
2020-10-22,2.10447
2020-10-23,2.42789
2020-10-24,1.19179
2020-10-25,1.32913
2020-10-26,2.3127
2020-10-27,2.17978
2020-10-28,2.26839
2020-10-29,2.00256
2020-10-30,2.20637
2020-10-31,1.35572
2020-11-01,1.55509
2020-11-02,2.26396
2020-11-03,2.53865
2020-11-04,2.14434
2020-11-05,2.88423
2020-11-06,2.64498
2020-11-07,1.66585
2020-11-08,1.63041
2020-11-09,2.59182
2020-11-10,2.49435
2020-11-11,2.52536
2020-11-12,2.4589
2020-11-13,2.55194
2020-11-14,1.84307
2020-11-15,2.43232
2020-11-16,3.71715
2020-11-17,3.49563
2020-11-18,3.15005
2020-11-19,5.35643
2020-11-20,4.0583
2020-11-21,2.21523
2020-11-22,2.71587
2020-11-23,3.57538
2020-11-24,3.16335
2020-11-25,3.47348
2020-11-26,3.26082
2020-11-27,3.345
2020-11-28,2.50321
2020-11-29,2.41017
2020-11-30,3.42474
2020-12-01,3.48677
2020-12-02,3.53551
2020-12-03,3.69943
2020-12-04,3.20322
2020-12-05,3.55323
2020-12-06,3.37158
2020-12-07,3.55323
2020-12-08,3.63298
2020-12-09,4.25324
2020-12-10,3.8988
2020-12-11,3.86779
2020-12-12,2.69372
2020-12-13,3.64627
2020-12-14,10.2388
2020-12-15,8.81219
2020-12-16,6.38429
2020-12-17,5.43617
2020-12-18,7.8685
2020-12-19,4.44818
2020-12-20,5.58238
2020-12-21,6.23809
2020-12-22,5.15705
2020-12-23,5.86593
2020-12-24,5.32541
2020-12-25,4.16463
2020-12-26,4.03172
2020-12-27,4.51907
2020-12-28,8.01913
2020-12-29,7.15076
2020-12-30,9.366
2020-12-31,8.26724
2021-01-01,5.61339
2021-01-02,4.51907
2021-01-03,5.69314
2021-01-04,14.6604
2021-01-05,8.30711
2021-01-06,6.89823
2021-01-07,7.79318
2021-01-08,6.65455
2021-01-09,4.14691
2021-01-10,4.55008
2021-01-11,6.37986
2021-01-12,5.84378
2021-01-13,6.60582
2021-01-14,6.92924
2021-01-15,5.52035
2021-01-16,3.57095
2021-01-17,4.12033
2021-01-18,5.9634
2021-01-19,6.14505
2021-01-20,6.67227
2021-01-21,6.86278
2021-01-22,7.42102
2021-01-23,4.96654
2021-01-24,4.54565
2021-01-25,18.87377
2021-01-26,12.41859
2021-01-27,7.92609
2021-01-28,6.86721
2021-01-29,6.01213
2021-01-30,7.56723
2021-01-31,7.94825
2021-02-01,7.00456
2021-02-02,7.48305
2021-02-03,7.39444
2021-02-04,13.18506
2021-02-05,8.5375
2021-02-06,3.98298
2021-02-07,4.15577
2021-02-08,6.51721
2021-02-09,6.44189
2021-02-10,6.93367
2021-02-11,4.82477
2021-02-12,3.00385
2021-02-13,3.2874
2021-02-14,4.05387
2021-02-15,8.48876
2021-02-16,8.66155
2021-02-17,9.37486
2021-02-18,7.09317
2021-02-19,7.31026
2021-02-20,5.32541
2021-02-21,6.10074
2021-02-22,11.52806
2021-02-23,12.49833
2021-02-24,9.47233
2021-02-25,24.23463
2021-02-26,14.47432
2021-02-27,7.31912
2021-02-28,6.62354
2021-03-01,8.18749
2021-03-02,13.60152
2021-03-03,14.74458
2021-03-04,13.82304
2021-03-05,12.32112
2021-03-06,7.08431
2021-03-07,8.44003
2021-03-08,15.51548
2021-03-09,13.05657
2021-03-10,11.66541
2021-03-11,12.26795
2021-03-12,15.07243
2021-03-13,9.38372
2021-03-14,8.91852
2021-03-15,15.28953
2021-03-16,15.29839
2021-03-17,13.94266
2021-03-18,12.94138
2021-03-19,11.48819
2021-03-20,7.1995
2021-03-21,7.32798
2021-03-22,12.76416
2021-03-23,12.64454
2021-03-24,14.59394
2021-03-25,13.76545
2021-03-26,12.16162
2021-03-27,7.18621
2021-03-28,7.27925
2021-03-29,12.06415
2021-03-30,11.13375
2021-03-31,10.92552
2021-04-01,19.47188
2021-04-02,11.04071
2021-04-03,6.7786
2021-04-04,6.6324
2021-04-05,10.72172
2021-04-06,10.27867
2021-04-07,10.88121
2021-04-08,10.45589
2021-04-09,11.04957
2021-04-10,5.8615
2021-04-11,6.04758
2021-04-12,10.68627
2021-04-13,18.55035
2021-04-14,12.2458
