date,홍콩증시
2020-03-20,15.23413
2020-03-21,2.43408
2020-03-22,1.00061
2020-03-23,16.35842
2020-03-24,14.15481
2020-03-25,11.45089
2020-03-26,13.21041
2020-03-27,11.67013
2020-03-28,1.32666
2020-03-29,0.7083
2020-03-30,10.4053
2020-03-31,7.69576
2020-04-01,7.67328
2020-04-02,7.42593
2020-04-03,5.63831
2020-04-04,0.64646
2020-04-05,0.38225
2020-04-06,7.6283
2020-04-07,7.55523
2020-04-08,6.45342
2020-04-09,6.59396
2020-04-10,6.32413
2020-04-11,0.64084
2020-04-12,0.35977
2020-04-13,6.56585
2020-04-14,5.27292
2020-04-15,5.81258
2020-04-16,5.51464
2020-04-17,5.9756
2020-04-18,0.56776
2020-04-19,0.32604
2020-04-20,5.83506
2020-04-21,4.87379
2020-04-22,4.79509
2020-04-23,4.5871
2020-04-24,4.47467
2020-04-25,0.60149
2020-04-26,0.26982
2020-04-27,4.42408
2020-04-28,4.84006
2020-04-29,4.28916
2020-04-30,3.47967
2020-05-01,2.54651
2020-05-02,0.48906
2020-05-03,0.29231
2020-05-04,5.67766
2020-05-05,4.87941
2020-05-06,5.8182
2020-05-07,4.96374
2020-05-08,4.13738
2020-05-09,0.45533
2020-05-10,0.3148
2020-05-11,5.11552
2020-05-12,4.73888
2020-05-13,4.86817
2020-05-14,4.13176
2020-05-15,4.10365
2020-05-16,0.40474
2020-05-17,0.29793
2020-05-18,4.27792
2020-05-19,4.84569
2020-05-20,4.54213
2020-05-21,5.09303
2020-05-22,12.6595
2020-05-23,2.33852
2020-05-24,2.40035
2020-05-25,12.67637
2020-05-26,7.72387
2020-05-27,8.39282
2020-05-28,14.83501
2020-05-29,10.66389
2020-05-30,3.47405
2020-05-31,1.22547
2020-06-01,11.17544
2020-06-02,8.35347
2020-06-03,7.65641
2020-06-04,7.4428
2020-06-05,6.34661
2020-06-06,0.93316
2020-06-07,0.59025
2020-06-08,6.93687
2020-06-09,6.68952
2020-06-10,6.35786
2020-06-11,6.77947
2020-06-12,7.06616
2020-06-13,0.79262
2020-06-14,0.39912
2020-06-15,8.0724
2020-06-16,6.40283
2020-06-17,6.2904
2020-06-18,5.64393
2020-06-19,5.30102
2020-06-20,0.61835
2020-06-21,0.41036
2020-06-22,5.66642
2020-06-23,6.14424
2020-06-24,6.65017
2020-06-25,5.45842
2020-06-26,4.63769
2020-06-27,0.42723
2020-06-28,0.38788
2020-06-29,5.30665
2020-06-30,9.70824
2020-07-01,8.16234
2020-07-02,8.82567
2020-07-03,7.90376
2020-07-04,1.24796
2020-07-05,0.7083
2020-07-06,14.80128
2020-07-07,13.40154
2020-07-08,10.46152
2020-07-09,10.78194
2020-07-10,8.80319
2020-07-11,1.12429
2020-07-12,0.67457
2020-07-13,9.2248
2020-07-14,9.30912
2020-07-15,10.98431
2020-07-16,11.56332
2020-07-17,9.5396
2020-07-18,0.97813
2020-07-19,0.68581
2020-07-20,8.19045
2020-07-21,8.31974
2020-07-22,11.01804
2020-07-23,9.56771
2020-07-24,8.90437
2020-07-25,0.96688
2020-07-26,0.59587
2020-07-27,8.24666
2020-07-28,7.55523
2020-07-29,7.45404
2020-07-30,7.03805
2020-07-31,7.31912
2020-08-01,0.82073
2020-08-02,0.53965
2020-08-03,7.10551
2020-08-04,7.24605
2020-08-05,7.4428
2020-08-06,8.16796
2020-08-07,8.79195
2020-08-08,0.99499
2020-08-09,0.72516
2020-08-10,7.53836
2020-08-11,7.25729
2020-08-12,6.39159
2020-08-13,6.03181
2020-08-14,5.2954
2020-08-15,0.59587
2020-08-16,0.44971
2020-08-17,7.49339
2020-08-18,6.61644
2020-08-19,13.95806
2020-08-20,6.50401
2020-08-21,4.98622
2020-08-22,0.63522
2020-08-23,0.40474
2020-08-24,5.58772
2020-08-25,5.5315
2020-08-26,5.20546
2020-08-27,5.15487
2020-08-28,5.17173
2020-08-29,0.5509
2020-08-30,0.52841
2020-08-31,7.0774
2020-09-01,5.43594
2020-09-02,5.73388
2020-09-03,5.55961
2020-09-04,5.31227
2020-09-05,0.64084
2020-09-06,0.40474
2020-09-07,5.99246
2020-09-08,5.49777
2020-09-09,5.2954
2020-09-10,4.99184
2020-09-11,4.46905
2020-09-12,0.54528
2020-09-13,0.39912
2020-09-14,4.58148
2020-09-15,4.66018
2020-09-16,4.58148
2020-09-17,5.16611
2020-09-18,4.68829
2020-09-19,0.52841
2020-09-20,0.36539
2020-09-21,5.48653
2020-09-22,4.78947
2020-09-23,4.57586
2020-09-24,5.07617
2020-09-25,4.24419
2020-09-26,0.91067
2020-09-27,0.4216
2020-09-28,3.9575
2020-09-29,4.62083
2020-09-30,3.42908
2020-10-01,2.16988
2020-10-02,2.361
2020-10-03,0.7083
2020-10-04,0.56776
2020-10-05,4.84569
2020-10-06,4.41283
2020-10-07,4.09803
2020-10-08,4.35662
2020-10-09,3.33914
2020-10-10,0.66333
2020-10-11,0.3429
2020-10-12,4.91314
2020-10-13,17.65135
2020-10-14,7.48777
2020-10-15,4.95812
2020-10-16,4.9806
2020-10-17,0.48906
2020-10-18,0.37101
2020-10-19,5.01433
2020-10-20,4.86817
2020-10-21,4.54775
2020-10-22,3.96874
2020-10-23,3.73826
2020-10-24,0.44409
2020-10-25,0.24172
2020-10-26,6.08241
2020-10-27,3.27168
2020-10-28,3.83382
2020-10-29,3.79447
2020-10-30,3.36724
2020-10-31,0.43847
2020-11-01,0.21923
2020-11-02,3.44594
2020-11-03,3.23795
2020-11-04,4.0643
2020-11-05,4.68829
2020-11-06,4.143
2020-11-07,0.6577
