date,다이렉트자동차보험료비교견적사이트
2020-03-20,7.9395
2020-03-21,3.78071
2020-03-22,3.78071
2020-03-23,12.09829
2020-03-24,11.15311
2020-03-25,6.61625
2020-03-26,5.48204
2020-03-27,8.50661
2020-03-28,5.10396
2020-03-29,8.88468
2020-03-30,11.72022
2020-03-31,8.88468
2020-04-01,10.96408
2020-04-02,8.31758
2020-04-03,10.0189
2020-04-04,9.64083
2020-04-05,10.39697
2020-04-06,17.20226
2020-04-07,12.85444
2020-04-08,10.96408
2020-04-09,11.90926
2020-04-10,9.45179
2020-04-11,5.48204
2020-04-12,6.23818
2020-04-13,9.45179
2020-04-14,11.72022
2020-04-15,7.3724
2020-04-16,10.20793
2020-04-17,8.69565
2020-04-18,4.15879
2020-04-19,5.293
2020-04-20,9.82986
2020-04-21,8.31758
2020-04-22,11.90926
2020-04-23,8.69565
2020-04-24,6.99432
2020-04-25,6.61625
2020-04-26,5.293
2020-04-27,10.39697
2020-04-28,12.85444
2020-04-29,9.07372
2020-04-30,5.67107
2020-05-01,7.18336
2020-05-02,5.48204
2020-05-03,6.04914
2020-05-04,14.36672
2020-05-05,4.91493
2020-05-06,11.34215
2020-05-07,9.26275
2020-05-08,7.56143
2020-05-09,5.48204
2020-05-10,3.96975
2020-05-11,13.61058
2020-05-12,10.58601
2020-05-13,13.79962
2020-05-14,11.34215
2020-05-15,8.50661
2020-05-16,4.34782
2020-05-17,4.53686
2020-05-18,14.17769
2020-05-19,9.64083
2020-05-20,12.6654
2020-05-21,6.61625
2020-05-22,10.96408
2020-05-23,6.23818
2020-05-24,6.99432
2020-05-25,13.23251
2020-05-26,12.47637
2020-05-27,9.82986
2020-05-28,9.45179
2020-05-29,10.0189
2020-05-30,3.78071
2020-05-31,6.04914
2020-06-01,12.28733
2020-06-02,21.36105
2020-06-03,10.77504
2020-06-04,9.64083
2020-06-05,7.75047
2020-06-06,5.10396
2020-06-07,9.45179
2020-06-08,13.42155
2020-06-09,19.09262
2020-06-10,7.56143
2020-06-11,8.50661
2020-06-12,7.75047
2020-06-13,4.72589
2020-06-14,6.61625
2020-06-15,14.17769
2020-06-16,9.45179
2020-06-17,6.04914
2020-06-18,7.56143
2020-06-19,3.59168
2020-06-20,4.53686
2020-06-21,3.40264
2020-06-22,8.88468
2020-06-23,7.3724
2020-06-24,5.86011
2020-06-25,9.82986
2020-06-26,5.67107
2020-06-27,4.15879
2020-06-28,3.02457
