date,2월공모주청약일정
2021-01-21,0.08049
2021-01-25,0.16099
2021-01-26,0.29898
2021-01-27,0.31048
2021-01-28,0.41398
2021-01-29,0.55197
2021-01-30,0.29898
2021-01-31,0.58647
2021-02-01,1.39144
2021-02-02,1.56393
2021-02-03,1.04645
2021-02-04,0.55197
2021-02-05,0.70147
2021-02-06,0.25298
2021-02-07,0.47148
2021-02-08,0.80496
2021-02-09,0.60947
2021-02-10,0.45998
2021-02-11,0.20699
2021-02-12,0.22999
2021-02-13,0.18399
2021-02-14,0.57497
2021-02-15,1.14995
2021-02-16,0.70147
2021-02-17,0.55197
2021-02-18,0.63247
2021-02-19,0.26448
2021-02-20,0.26448
2021-02-21,0.31048
2021-02-22,0.50597
2021-02-23,0.90846
2021-02-24,1.81692
2021-02-25,1.24195
2021-02-26,0.58647
2021-02-27,0.06899
2021-02-28,0.06899
2021-03-02,0.19549
2021-03-03,0.16099
2021-03-04,0.06899
2021-03-05,0.11499
2021-03-07,0.12649
2021-03-08,0.43698
2021-03-09,0.34498
2021-03-10,0.19549
2021-03-11,0.08049
2021-03-15,0.20699
2021-03-16,0.10349
2022-01-13,0.09199
2022-01-14,0.08049
2022-01-15,0.05749
2022-01-16,0.05749
2022-01-17,0.33348
2022-01-18,0.71297
2022-01-19,0.66697
2022-01-20,1.48344
2022-01-21,1.25344
2022-01-22,0.57497
2022-01-23,0.39098
2022-01-24,0.88546
2022-01-25,0.26448
2022-01-26,0.31048
2022-01-27,0.79346
2022-01-28,0.45998
2022-01-29,0.35648
2022-01-30,0.14949
2022-01-31,0.08049
2022-02-01,0.28748
2022-02-02,0.43698
2022-02-03,0.42548
2022-02-04,0.86246
2022-02-05,0.26448
2022-02-06,0.14949
2022-02-07,0.62097
2022-02-08,0.42548
2022-02-09,0.49448
2022-02-10,0.35648
2022-02-11,0.19549
2022-02-12,0.10349
2022-02-13,0.08049
2022-02-14,0.37948
2022-02-15,0.45998
2022-02-16,0.54047
2022-02-17,0.22999
2022-02-18,0.21849
2022-02-19,0.17249
2022-02-20,0.06899
2022-02-21,0.22999
2022-02-22,0.19549
2022-02-23,0.19549
2022-02-24,0.05749
2022-02-25,0.06899
2023-01-25,0.08049
2023-01-27,0.11499
2023-01-28,0.06899
2023-01-29,0.09199
2023-01-30,0.26448
2023-01-31,0.32198
2023-02-01,0.24149
2023-02-02,0.13799
2023-02-03,0.26448
2023-02-04,0.21849
2023-02-05,0.20699
2023-02-06,0.32198
2023-02-07,0.75896
2023-02-08,0.82796
2023-02-09,0.51747
2023-02-10,0.48298
2023-02-11,0.25298
2023-02-12,0.22999
2023-02-13,0.81646
2023-02-14,0.60947
2023-02-15,0.85096
2023-02-16,0.82796
2023-02-17,0.50597
2023-02-18,0.37948
2023-02-19,0.37948
2023-02-20,1.26494
2023-02-21,1.46044
2023-02-22,0.86246
2023-02-23,0.68997
2023-02-24,0.25298
2023-02-25,0.16099
2023-02-26,0.13799
2023-02-27,0.51747
2023-02-28,0.28748
2023-03-02,0.19549
2023-03-03,0.14949
2023-03-06,0.05749
2023-03-09,0.06899
2023-12-18,0.08049
2023-12-19,0.05749
2023-12-22,0.17249
2023-12-23,0.05749
2023-12-25,0.09199
2023-12-26,0.10349
2023-12-27,0.18399
2023-12-28,0.11499
2023-12-29,0.06899
2023-12-30,0.56347
2023-12-31,0.13799
2024-01-01,0.28748
2024-01-02,0.57497
2024-01-03,1.23045
2024-01-04,1.37994
2024-01-05,1.39144
2024-01-06,0.89696
2024-01-07,0.88546
2024-01-08,1.16145
2024-01-09,1.69043
2024-01-10,1.60993
2024-01-11,1.74793
2024-01-12,2.05841
2024-01-13,1.93192
2024-01-14,1.69043
2024-01-15,3.48436
2024-01-16,4.9678
2024-01-17,7.08371
2024-01-18,10.55657
2024-01-19,8.38316
2024-01-20,6.34774
2024-01-21,5.81876
2024-01-22,8.39466
2024-01-23,9.25712
2024-01-24,22.3781
2024-01-25,25.72447
2024-01-26,41.75482
2024-01-27,22.61959
2024-01-28,20.23919
2024-01-29,32.50919
2024-01-30,24.67801
2024-01-31,22.50459
2024-02-01,47.90708
2024-02-02,28.74885
2024-02-03,14.48942
2024-02-04,16.84682
2024-02-05,29.70331
2024-02-06,31.91122
2024-02-07,26.81692
2024-02-08,23.03357
2024-02-09,13.30496
2024-02-10,14.05243
2024-02-11,19.8137
2024-02-12,37.477
2024-02-13,100.0
2024-02-14,73.21757
2024-02-15,42.3183
2024-02-16,25.74747
2024-02-17,11.98252
2024-02-18,11.13155
2024-02-19,28.48436
2024-02-20,22.4701
2024-02-21,18.47976
2024-02-22,22.15961
2024-02-23,22.87258
2024-02-24,8.85464
2024-02-25,11.63753
2024-02-26,29.17433
2024-02-27,20.52667
2024-02-28,10.06209
2024-02-29,7.65869
2024-03-01,2.15041
2024-03-02,1.55243
2024-03-03,1.92042
2024-03-04,5.70377
2024-03-05,5.03679
2024-03-06,3.64535
2024-03-07,3.78334
2024-03-08,0.94296
2024-03-09,0.42548
2024-03-10,0.34498
2024-03-11,0.87396
2024-03-12,0.89696
2024-03-13,1.03495
2024-03-14,0.72447
2024-03-15,0.21849
2024-03-16,0.16099
2024-03-18,0.13799
2024-03-19,0.33348
2024-03-20,0.14949
