date,솔라나시세
2022-02-24,7.79189
2022-02-25,6.57059
2022-02-26,5.66682
2022-02-27,4.29897
2022-02-28,4.59208
2022-03-01,9.15974
2022-03-02,7.81631
2022-03-03,5.56912
2022-03-04,4.66536
2022-03-05,4.27454
2022-03-06,3.39521
2022-03-07,4.03028
2022-03-08,3.88373
2022-03-09,3.02882
2022-03-10,4.68978
2022-03-11,3.61504
2022-03-12,2.66243
2022-03-13,2.78456
2022-03-14,4.03028
2022-03-15,4.49438
2022-03-16,4.49438
2022-03-17,4.90962
2022-03-18,4.03028
2022-03-19,4.44553
2022-03-20,3.88373
2022-03-21,3.39521
2022-03-22,4.86077
2022-03-23,5.88666
2022-03-24,7.6209
2022-03-25,8.23155
2022-03-26,5.32486
2022-03-27,5.91108
2022-03-28,9.57498
2022-03-29,11.48021
2022-03-30,10.45432
2022-03-31,15.33952
2022-04-01,12.9702
2022-04-02,17.92867
2022-04-03,15.21739
2022-04-04,16.31656
2022-04-05,12.87249
2022-04-06,10.03908
2022-04-07,9.20859
2022-04-08,9.06204
2022-04-09,5.95994
2022-04-10,5.32486
2022-04-11,6.79042
2022-04-12,8.03615
2022-04-13,6.37518
2022-04-14,4.73864
2022-04-15,4.59208
2022-04-16,3.54176
2022-04-17,3.83488
2022-04-18,5.20273
2022-04-19,5.0806
2022-04-20,6.08207
2022-04-21,5.59355
2022-04-22,3.68832
2022-04-23,3.73717
2022-04-24,3.98143
2022-04-25,4.86077
2022-04-26,4.93404
2022-04-27,5.22716
2022-04-28,5.76453
2022-04-29,6.2042
2022-04-30,5.59355
2022-05-01,7.25451
2022-05-02,6.64386
2022-05-03,6.17977
2022-05-04,5.15388
2022-05-05,5.7401
2022-05-06,6.00879
2022-05-07,3.71275
2022-05-08,4.81191
2022-05-09,7.79189
2022-05-10,11.57791
2022-05-11,11.50464
2022-05-12,20.29799
2022-05-13,15.48607
2022-05-14,8.76893
2022-05-15,7.66976
2022-05-16,9.84367
2022-05-17,8.1827
2022-05-18,7.84074
2022-05-19,8.03615
2022-05-20,6.64386
2022-05-21,5.25158
2022-05-22,6.37518
2022-05-23,7.69418
2022-05-24,8.6468
2022-05-25,7.27894
2022-05-26,8.98876
2022-05-27,10.47874
2022-05-28,7.13238
2022-05-29,7.37664
2022-05-30,8.86663
2022-05-31,8.085
2022-06-01,5.61797
2022-06-02,8.6468
2022-06-03,7.57205
2022-06-04,7.37664
2022-06-05,5.61797
2022-06-06,8.54909
2022-06-07,7.30337
2022-06-08,7.01025
2022-06-09,6.44846
2022-06-10,6.42403
2022-06-11,5.86223
2022-06-12,7.30337
2022-06-13,12.21299
2022-06-14,14.63116
2022-06-15,10.30776
2022-06-16,12.57938
2022-06-17,9.20859
2022-06-18,6.81485
2022-06-19,8.59794
2022-06-20,10.33219
2022-06-21,10.21006
2022-06-22,8.30483
2022-06-23,7.44992
2022-06-24,8.35368
2022-06-25,6.91255
2022-06-26,6.25305
2022-06-27,6.3996
2022-06-28,6.42403
2022-06-29,5.91108
2022-06-30,5.86223
2022-07-01,7.08353
2022-07-02,4.29897
2022-07-03,4.05471
2022-07-04,4.59208
2022-07-05,5.10503
2022-07-06,4.34782
2022-07-07,4.56765
2022-07-08,4.83634
