date,대출조회
2020-03-20,36.31578
2020-03-21,22.89473
2020-03-22,18.15789
2020-03-23,44.73684
2020-03-24,38.42105
2020-03-25,41.31578
2020-03-26,38.15789
2020-03-27,29.47368
2020-03-28,20.78947
2020-03-29,17.36842
2020-03-30,30.26315
2020-03-31,31.57894
2020-04-01,30.78947
2020-04-02,28.94736
2020-04-03,33.68421
2020-04-04,19.21052
2020-04-05,15.52631
2020-04-06,33.42105
2020-04-07,32.36842
2020-04-08,32.36842
2020-04-09,25.52631
2020-04-10,27.10526
2020-04-11,19.47368
2020-04-12,13.42105
2020-04-13,31.57894
2020-04-14,29.47368
2020-04-15,24.73684
2020-04-16,37.63157
2020-04-17,25.78947
2020-04-18,16.05263
2020-04-19,15.26315
2020-04-20,36.05263
2020-04-21,38.15789
2020-04-22,38.94736
2020-04-23,41.31578
2020-04-24,28.15789
2020-04-25,18.42105
2020-04-26,17.63157
2020-04-27,33.68421
2020-04-28,32.89473
2020-04-29,32.89473
2020-04-30,20.0
2020-05-01,15.78947
2020-05-02,10.78947
2020-05-03,17.89473
2020-05-04,33.94736
2020-05-05,23.68421
2020-05-06,37.89473
2020-05-07,34.73684
2020-05-08,38.42105
2020-05-09,17.36842
2020-05-10,15.52631
2020-05-11,38.15789
2020-05-12,36.05263
2020-05-13,33.94736
2020-05-14,36.05263
2020-05-15,31.31578
2020-05-16,10.78947
2020-05-17,20.0
2020-05-18,35.52631
2020-05-19,29.73684
2020-05-20,33.15789
2020-05-21,26.31578
2020-05-22,31.05263
2020-05-23,18.15789
2020-05-24,14.21052
2020-05-25,38.42105
2020-05-26,32.89473
2020-05-27,38.42105
2020-05-28,30.0
2020-05-29,32.10526
2020-05-30,16.8421
2020-05-31,12.10526
2020-06-01,31.05263
2020-06-02,27.10526
2020-06-03,25.78947
2020-06-04,33.42105
2020-06-05,27.63157
2020-06-06,12.36842
2020-06-07,16.31578
2020-06-08,42.63157
2020-06-09,35.0
2020-06-10,38.42105
2020-06-11,29.73684
2020-06-12,28.42105
2020-06-13,13.15789
2020-06-14,17.63157
2020-06-15,33.68421
2020-06-16,33.68421
2020-06-17,27.10526
2020-06-18,35.78947
2020-06-19,25.26315
2020-06-20,17.89473
2020-06-21,16.31578
2020-06-22,29.47368
2020-06-23,36.57894
2020-06-24,26.8421
2020-06-25,31.05263
2020-06-26,22.36842
2020-06-27,14.73684
2020-06-28,20.52631
2020-06-29,35.26315
2020-06-30,31.31578
2020-07-01,33.15789
2020-07-02,29.21052
2020-07-03,29.21052
2020-07-04,12.10526
2020-07-05,13.94736
2020-07-06,38.42105
2020-07-07,37.10526
2020-07-08,29.21052
2020-07-09,30.78947
2020-07-10,29.47368
2020-07-11,14.47368
2020-07-12,13.68421
2020-07-13,33.68421
2020-07-14,33.42105
2020-07-15,30.52631
2020-07-16,32.89473
2020-07-17,25.0
2020-07-18,17.63157
2020-07-19,13.42105
2020-07-20,33.42105
2020-07-21,28.94736
2020-07-22,35.26315
2020-07-23,33.94736
2020-07-24,25.52631
2020-07-25,12.10526
2020-07-26,18.15789
2020-07-27,33.42105
2020-07-28,31.05263
2020-07-29,30.78947
2020-07-30,31.8421
2020-07-31,28.68421
2020-08-01,12.36842
2020-08-02,11.8421
2020-08-03,31.57894
2020-08-04,38.94736
2020-08-05,31.8421
2020-08-06,27.89473
2020-08-07,27.36842
2020-08-08,18.42105
2020-08-09,13.15789
2020-08-10,34.47368
2020-08-11,37.89473
2020-08-12,31.05263
2020-08-13,32.89473
2020-08-14,32.63157
2020-08-15,15.78947
2020-08-16,13.15789
2020-08-17,15.78947
2020-08-18,36.31578
2020-08-19,26.31578
2020-08-20,30.52631
2020-08-21,25.0
2020-08-22,15.26315
2020-08-23,12.63157
2020-08-24,30.26315
2020-08-25,32.36842
2020-08-26,25.26315
2020-08-27,31.05263
2020-08-28,26.05263
2020-08-29,16.05263
2020-08-30,14.21052
2020-08-31,33.68421
