date,은퇴
2020-03-20,18.22849
2020-03-21,15.27599
2020-03-22,14.89088
2020-03-23,19.76893
2020-03-24,27.34274
2020-03-25,18.87034
2020-03-26,19.25545
2020-03-27,18.10012
2020-03-28,16.04621
2020-03-29,17.32991
2020-03-30,19.12708
2020-03-31,41.59178
2020-04-01,31.19383
2020-04-02,25.03209
2020-04-03,15.6611
2020-04-04,19.38382
2020-04-05,21.30937
2020-04-06,20.66752
2020-04-07,17.97175
2020-04-08,18.48523
2020-04-09,20.41078
2020-04-10,24.51861
2020-04-11,17.20154
2020-04-12,19.51219
2020-04-13,19.76893
2020-04-14,19.12708
2020-04-15,19.64056
2020-04-16,26.70089
2020-04-17,22.97817
2020-04-18,18.10012
2020-04-19,19.12708
2020-04-20,26.31578
2020-04-21,27.086
2020-04-22,24.00513
2020-04-23,18.6136
2020-04-24,21.82284
2020-04-25,14.24903
2020-04-26,18.6136
2020-04-27,23.36328
2020-04-28,21.05263
2020-04-29,16.81643
2020-04-30,18.22849
2020-05-01,16.17458
2020-05-02,14.50577
2020-05-03,16.17458
2020-05-04,21.181
2020-05-05,19.25545
2020-05-06,20.92426
2020-05-07,20.02567
2020-05-08,20.15404
2020-05-09,18.22849
2020-05-10,17.97175
2020-05-11,27.47111
2020-05-12,19.12708
2020-05-13,23.49165
2020-05-14,22.8498
2020-05-15,20.92426
2020-05-16,14.76251
2020-05-17,36.97047
2020-05-18,32.09242
2020-05-19,27.85622
2020-05-20,24.26187
2020-05-21,23.23491
2020-05-22,22.20795
2020-05-23,19.51219
2020-05-24,19.25545
2020-05-25,30.03851
2020-05-26,21.05263
2020-05-27,23.49165
2020-05-28,20.41078
2020-05-29,21.43774
2020-05-30,20.66752
2020-05-31,17.84338
2020-06-01,30.55198
2020-06-02,24.51861
2020-06-03,22.20795
2020-06-04,21.05263
2020-06-05,20.66752
2020-06-06,18.6136
2020-06-07,21.30937
2020-06-08,21.69448
2020-06-09,19.64056
2020-06-10,19.12708
2020-06-11,22.20795
2020-06-12,20.66752
2020-06-13,18.35686
2020-06-14,19.12708
2020-06-15,25.28883
2020-06-16,23.10654
2020-06-17,23.62002
2020-06-18,21.05263
2020-06-19,22.33632
2020-06-20,17.45827
2020-06-21,17.71501
2020-06-22,22.07958
2020-06-23,26.31578
2020-06-24,22.72143
2020-06-25,28.24133
2020-06-26,23.62002
2020-06-27,17.58664
2020-06-28,25.80231
2020-06-29,26.31578
2020-06-30,21.95121
2020-07-01,22.72143
2020-07-02,20.41078
2020-07-03,22.59306
2020-07-04,21.95121
2020-07-05,32.47753
2020-07-06,23.49165
2020-07-07,25.54557
2020-07-08,21.56611
2020-07-09,16.30295
2020-07-10,15.78947
2020-07-11,17.07317
2020-07-12,15.78947
2020-07-13,22.72143
2020-07-14,21.82284
2020-07-15,25.93068
2020-07-16,18.22849
2020-07-17,18.87034
2020-07-18,18.99871
2020-07-19,21.43774
2020-07-20,22.20795
2020-07-21,22.20795
2020-07-22,25.28883
2020-07-23,23.23491
2020-07-24,19.38382
2020-07-25,15.01925
2020-07-26,13.35044
2020-07-27,18.10012
2020-07-28,21.56611
2020-07-29,22.46469
2020-07-30,18.10012
2020-07-31,19.51219
2020-08-01,16.17458
