date,환율계산
2020-03-20,49.78494
2020-03-21,25.48387
2020-03-22,20.86021
2020-03-23,52.41935
2020-03-24,49.62365
2020-03-25,45.10752
2020-03-26,44.62365
2020-03-27,39.94623
2020-03-28,18.76344
2020-03-29,18.49462
2020-03-30,37.31182
2020-03-31,37.58064
2020-04-01,36.66666
2020-04-02,34.13978
2020-04-03,31.98924
2020-04-04,14.24731
2020-04-05,14.67741
2020-04-06,31.93548
2020-04-07,33.38709
2020-04-08,30.16129
2020-04-09,33.97849
2020-04-10,29.46236
2020-04-11,14.78494
2020-04-12,14.08602
2020-04-13,28.87096
2020-04-14,28.76344
2020-04-15,17.09677
2020-04-16,32.90322
2020-04-17,28.11827
2020-04-18,16.39784
2020-04-19,14.62365
2020-04-20,30.32258
2020-04-21,34.08602
2020-04-22,30.75268
2020-04-23,28.60215
2020-04-24,27.09677
2020-04-25,12.90322
2020-04-26,13.70967
2020-04-27,27.79569
2020-04-28,30.64516
2020-04-29,29.8387
2020-04-30,15.69892
2020-05-01,15.05376
2020-05-02,13.01075
2020-05-03,12.84946
2020-05-04,21.66666
2020-05-05,16.45161
2020-05-06,26.6129
2020-05-07,29.62365
2020-05-08,27.47311
2020-05-09,13.33333
2020-05-10,12.58064
2020-05-11,28.27956
2020-05-12,30.32258
2020-05-13,30.4301
2020-05-14,31.45161
2020-05-15,26.98924
2020-05-16,13.92473
2020-05-17,11.98924
2020-05-18,29.73118
2020-05-19,30.86021
2020-05-20,32.68817
2020-05-21,32.2043
2020-05-22,28.27956
2020-05-23,12.04301
2020-05-24,13.87096
2020-05-25,33.27956
2020-05-26,34.03225
2020-05-27,33.11827
2020-05-28,29.67741
2020-05-29,32.09677
2020-05-30,15.75268
2020-05-31,15.75268
2020-06-01,29.67741
2020-06-02,29.67741
2020-06-03,30.75268
2020-06-04,31.34408
2020-06-05,30.05376
2020-06-06,13.38709
2020-06-07,13.87096
2020-06-08,34.8387
2020-06-09,34.73118
2020-06-10,34.03225
2020-06-11,38.01075
2020-06-12,42.95698
2020-06-13,20.4301
2020-06-14,20.91397
2020-06-15,45.32258
2020-06-16,45.05376
2020-06-17,45.05376
2020-06-18,41.45161
2020-06-19,39.03225
2020-06-20,21.0215
2020-06-21,20.4301
2020-06-22,38.33333
2020-06-23,38.2258
2020-06-24,41.07526
2020-06-25,41.50537
2020-06-26,37.15053
2020-06-27,22.47311
2020-06-28,21.0215
2020-06-29,41.6129
2020-06-30,39.78494
2020-07-01,39.94623
2020-07-02,39.13978
2020-07-03,38.87096
2020-07-04,16.88172
2020-07-05,15.37634
2020-07-06,39.4086
2020-07-07,44.30107
2020-07-08,40.16129
2020-07-09,40.64516
2020-07-10,38.60215
2020-07-11,14.78494
2020-07-12,13.17204
2020-07-13,35.32258
2020-07-14,42.36559
2020-07-15,34.56989
2020-07-16,34.56989
2020-07-17,28.49462
2020-07-18,13.44086
2020-07-19,11.0215
2020-07-20,29.4086
2020-07-21,27.90322
2020-07-22,29.67741
2020-07-23,30.48387
2020-07-24,26.50537
2020-07-25,13.01075
2020-07-26,11.82795
2020-07-27,28.49462
2020-07-28,28.92473
2020-07-29,29.19354
2020-07-30,29.8387
2020-07-31,28.17204
2020-08-01,15.53763
2020-08-02,14.13978
2020-08-03,29.30107
2020-08-04,28.06451
2020-08-05,31.18279
2020-08-06,29.46236
2020-08-07,30.69892
2020-08-08,15.86021
2020-08-09,14.30107
2020-08-10,32.25806
2020-08-11,31.77419
2020-08-12,30.26881
2020-08-13,30.0
2020-08-14,26.34408
2020-08-15,12.58064
2020-08-16,13.8172
2020-08-17,16.6129
2020-08-18,31.88172
2020-08-19,33.33333
2020-08-20,31.6129
2020-08-21,31.39784
2020-08-22,17.15053
2020-08-23,15.91397
2020-08-24,38.38709
2020-08-25,38.11827
2020-08-26,35.37634
2020-08-27,33.70967
2020-08-28,32.90322
2020-08-29,16.0215
2020-08-30,17.04301
2020-08-31,34.4086
2020-09-01,39.19354
2020-09-02,45.96774
2020-09-03,43.49462
2020-09-04,45.80645
2020-09-05,24.35483
2020-09-06,24.19354
2020-09-07,44.78494
2020-09-08,40.37634
2020-09-09,42.74193
2020-09-10,41.6129
2020-09-11,35.0
2020-09-12,20.86021
2020-09-13,21.34408
2020-09-14,41.82795
2020-09-15,44.4086
2020-09-16,47.09677
2020-09-17,43.01075
2020-09-18,38.01075
2020-09-19,23.27956
2020-09-20,20.69892
2020-09-21,42.36559
2020-09-22,43.49462
2020-09-23,40.75268
2020-09-24,41.77419
2020-09-25,35.64516
2020-09-26,21.77419
2020-09-27,21.88172
2020-09-28,40.05376
2020-09-29,34.56989
2020-09-30,24.67741
2020-10-01,21.29032
2020-10-02,19.30107
2020-10-03,17.58064
2020-10-04,21.55913
2020-10-05,44.51612
2020-10-06,37.6344
2020-10-07,41.18279
2020-10-08,41.0215
2020-10-09,25.80645
2020-10-10,22.95698
2020-10-11,23.87096
2020-10-12,43.27956
2020-10-13,44.4086
2020-10-14,52.58064
2020-10-15,45.0
2020-10-16,40.32258
2020-10-17,22.15053
2020-10-18,22.41935
2020-10-19,44.35483
2020-10-20,47.09677
2020-10-21,45.96774
2020-10-22,46.23655
