date,순금시세
2020-03-20,26.63943
2020-03-21,15.93932
2020-03-22,12.83547
2020-03-23,21.0385
2020-03-24,22.76546
2020-03-25,24.0315
2020-03-26,22.09451
2020-03-27,18.77479
2020-03-28,12.64294
2020-03-29,10.58343
2020-03-30,17.34539
2020-03-31,17.11785
2020-04-01,16.05017
2020-04-02,16.08518
2020-04-03,16.48774
2020-04-04,11.33022
2020-04-05,9.59159
2020-04-06,16.71528
2020-04-07,17.16452
2020-04-08,17.39206
2020-04-09,16.87281
2020-04-10,18.19136
2020-04-11,12.45624
2020-04-12,15.93932
2020-04-13,21.66277
2020-04-14,22.53208
2020-04-15,15.41423
2020-04-16,22.23453
2020-04-17,21.71528
2020-04-18,13.37806
2020-04-19,10.98016
2020-04-20,17.60793
2020-04-21,19.49241
2020-04-22,19.50408
2020-04-23,20.19836
2020-04-24,21.87864
2020-04-25,14.63243
2020-04-26,12.54959
2020-04-27,23.6056
2020-04-28,19.82497
2020-04-29,16.62777
2020-04-30,12.89381
2020-05-01,12.81796
2020-05-02,11.38856
2020-05-03,10.49008
2020-05-04,16.19603
2020-05-05,11.35939
2020-05-06,17.77712
2020-05-07,14.98833
2020-05-08,14.84247
2020-05-09,11.07934
2020-05-10,9.10151
2020-05-11,14.71411
2020-05-12,14.87164
2020-05-13,14.014
2020-05-14,15.24504
2020-05-15,15.53092
2020-05-16,11.30688
2020-05-17,9.99416
2020-05-18,20.53092
2020-05-19,20.26837
2020-05-20,17.8588
2020-05-21,23.91481
2020-05-22,23.69311
2020-05-23,17.96382
2020-05-24,18.15635
2020-05-25,26.60443
2020-05-26,25.47257
2020-05-27,24.09568
2020-05-28,24.99416
2020-05-29,23.2322
2020-05-30,18.06884
2020-05-31,17.80046
2020-06-01,25.58343
2020-06-02,25.0175
2020-06-03,25.35005
2020-06-04,23.6056
2020-06-05,23.94399
2020-06-06,18.64644
2020-06-07,16.75612
2020-06-08,27.35122
2020-06-09,27.06534
2020-06-10,26.81446
2020-06-11,25.19836
2020-06-12,25.45507
2020-06-13,19.36406
2020-06-14,18.52975
2020-06-15,30.8518
2020-06-16,28.36639
2020-06-17,25.96849
2020-06-18,25.26254
2020-06-19,24.10735
2020-06-20,18.6406
2020-06-21,16.89031
2020-06-22,31.06767
2020-06-23,31.24854
2020-06-24,27.13535
2020-06-25,28.96732
2020-06-26,25.37922
2020-06-27,20.18086
2020-06-28,17.07117
2020-06-29,27.76546
2020-06-30,27.43873
2020-07-01,31.79113
2020-07-02,31.2427
2020-07-03,27.68961
2020-07-04,19.74912
2020-07-05,20.63593
2020-07-06,31.29521
2020-07-07,29.35239
2020-07-08,30.96266
2020-07-09,33.16802
2020-07-10,29.31155
2020-07-11,23.34889
2020-07-12,22.09451
2020-07-13,37.91715
2020-07-14,46.52275
2020-07-15,40.94515
2020-07-16,38.00466
2020-07-17,35.30338
2020-07-18,26.23687
2020-07-19,24.11901
2020-07-20,35.86347
2020-07-21,35.21003
2020-07-22,43.74562
2020-07-23,48.16219
2020-07-24,51.12018
2020-07-25,53.8273
2020-07-26,31.97199
2020-07-27,64.26487
2020-07-28,77.74795
2020-07-29,78.49474
2020-07-30,57.92882
2020-07-31,50.99183
2020-08-01,36.80863
2020-08-02,30.52508
2020-08-03,45.33255
2020-08-04,44.18319
2020-08-05,74.66744
2020-08-06,62.45624
2020-08-07,60.65927
2020-08-08,41.27187
2020-08-09,35.33255
2020-08-10,56.28354
2020-08-11,56.37689
2020-08-12,98.63477
2020-08-13,70.30921
2020-08-14,52.89381
2020-08-15,37.4154
2020-08-16,31.6161
2020-08-17,41.67444
2020-08-18,61.89614
2020-08-19,53.92065
2020-08-20,52.8588
2020-08-21,46.48191
