date,AIG생명보험
2020-03-20,33.42816
2020-03-21,11.94879
2020-03-22,10.81081
2020-03-23,42.38975
2020-03-24,36.69985
2020-03-25,40.11379
2020-03-26,32.57467
2020-03-27,34.56614
2020-03-28,10.66856
2020-03-29,10.95305
2020-03-30,39.11806
2020-03-31,36.8421
2020-04-01,33.00142
2020-04-02,29.16073
2020-04-03,28.59174
2020-04-04,9.38833
2020-04-05,6.97012
2020-04-06,29.72972
2020-04-07,31.43669
2020-04-08,38.12233
2020-04-09,34.1394
2020-04-10,35.13513
2020-04-11,10.95305
2020-04-12,11.0953
2020-04-13,38.83357
2020-04-14,26.03129
2020-04-15,13.94025
2020-04-16,33.00142
2020-04-17,29.16073
2020-04-18,13.94025
2020-04-19,7.68136
2020-04-20,32.85917
2020-04-21,31.57894
2020-04-22,37.69559
2020-04-23,38.40682
2020-04-24,29.72972
2020-04-25,11.94879
2020-04-26,8.53485
2020-04-27,39.5448
2020-04-28,38.12233
2020-04-29,30.01422
2020-04-30,10.09957
2020-05-01,15.07823
2020-05-02,8.53485
2020-05-03,10.66856
2020-05-04,41.25177
2020-05-05,10.38406
2020-05-06,30.15647
2020-05-07,26.31578
2020-05-08,21.76386
2020-05-09,13.51351
2020-05-10,9.24608
2020-05-11,24.75106
2020-05-12,32.43243
2020-05-13,37.41109
2020-05-14,36.41536
2020-05-15,27.88051
2020-05-16,11.80654
2020-05-17,7.39687
2020-05-18,18.77667
2020-05-19,22.61735
2020-05-20,30.15647
2020-05-21,29.01849
2020-05-22,24.18207
2020-05-23,9.10384
2020-05-24,6.97012
2020-05-25,29.01849
2020-05-26,31.00995
2020-05-27,41.39402
2020-05-28,37.1266
2020-05-29,33.28591
2020-05-30,12.09103
2020-05-31,9.95732
2020-06-01,42.38975
2020-06-02,33.28591
2020-06-03,39.11806
2020-06-04,38.54907
2020-06-05,37.26884
2020-06-06,13.22901
2020-06-07,17.0697
2020-06-08,46.51493
2020-06-09,35.13513
2020-06-10,40.82503
2020-06-11,37.69559
2020-06-12,42.95874
2020-06-13,15.93172
2020-06-14,15.78947
2020-06-15,45.2347
2020-06-16,37.1266
2020-06-17,33.00142
2020-06-18,35.13513
2020-06-19,43.10099
2020-06-20,9.38833
2020-06-21,9.53058
2020-06-22,47.08392
2020-06-23,33.42816
2020-06-24,40.54054
2020-06-25,53.48506
2020-06-26,49.78662
2020-06-27,16.92745
2020-06-28,18.20768
2020-06-29,73.82645
2020-06-30,71.97724
2020-07-01,66.99857
2020-07-02,64.29587
2020-07-03,53.05832
2020-07-04,15.93172
2020-07-05,14.22475
2020-07-06,68.84779
2020-07-07,67.99431
2020-07-08,69.98577
2020-07-09,63.86913
2020-07-10,55.76102
2020-07-11,15.36273
2020-07-12,23.32859
2020-07-13,73.11522
2020-07-14,68.99004
2020-07-15,73.9687
2020-07-16,61.73541
2020-07-17,57.89473
2020-07-18,16.50071
2020-07-19,15.50497
2020-07-20,77.09815
2020-07-21,69.27453
2020-07-22,62.01991
2020-07-23,56.18776
2020-07-24,64.29587
2020-07-25,20.05689
2020-07-26,18.34992
2020-07-27,73.11522
2020-07-28,63.15789
2020-07-29,63.58463
2020-07-30,66.42958
2020-07-31,60.31294
2020-08-01,20.05689
2020-08-02,15.50497
2020-08-03,56.18776
2020-08-04,68.99004
2020-08-05,67.14082
2020-08-06,67.42532
2020-08-07,67.70981
2020-08-08,22.7596
2020-08-09,19.06116
2020-08-10,75.67567
2020-08-11,67.85206
2020-08-12,65.5761
2020-08-13,62.73115
2020-08-14,62.01991
2020-08-15,15.22048
2020-08-16,15.50497
2020-08-17,28.02275
2020-08-18,76.6714
2020-08-19,70.27027
2020-08-20,71.97724
2020-08-21,52.34708
2020-08-22,17.92318
2020-08-23,19.20341
2020-08-24,73.11522
2020-08-25,74.96443
2020-08-26,51.06685
2020-08-27,43.66998
2020-08-28,43.81223
2020-08-29,10.95305
2020-08-30,14.93598
2020-08-31,73.11522
2020-09-01,72.11948
2020-09-02,66.28733
2020-09-03,69.41678
2020-09-04,57.61024
2020-09-05,17.35419
2020-09-06,19.4879
2020-09-07,70.12802
2020-09-08,63.72688
2020-09-09,62.44665
2020-09-10,76.24466
2020-09-11,59.45945
2020-09-12,23.18634
2020-09-13,15.93172
2020-09-14,70.41251
2020-09-15,75.81792
2020-09-16,65.5761
2020-09-17,60.59743
2020-09-18,59.17496
2020-09-19,18.34992
2020-09-20,15.93172
2020-09-21,73.82645
2020-09-22,65.00711
2020-09-23,56.899
2020-09-24,56.899
2020-09-25,69.27453
2020-09-26,20.62588
2020-09-27,17.49644
2020-09-28,65.14935
2020-09-29,51.77809
2020-09-30,13.37126
2020-10-01,13.37126
2020-10-02,13.37126
2020-10-03,15.93172
2020-10-04,24.32432
2020-10-05,83.07254
2020-10-06,74.39544
2020-10-07,68.84779
2020-10-08,57.04125
2020-10-09,21.19487
2020-10-10,22.90184
2020-10-11,19.91465
2020-10-12,88.62019
2020-10-13,70.27027
2020-10-14,67.14082
2020-10-15,69.27453
2020-10-16,62.01991
2020-10-17,18.63442
2020-10-18,16.7852
2020-10-19,66.99857
2020-10-20,75.39118
2020-10-21,63.01564
2020-10-22,53.9118
2020-10-23,59.6017
2020-10-24,18.06543
2020-10-25,20.19914
2020-10-26,76.10241
2020-10-27,81.79231
2020-10-28,85.49075
2020-10-29,62.73115
2020-10-30,53.76955
2020-10-31,20.91038
2020-11-01,15.93172
2020-11-02,79.51635
2020-11-03,64.86486
2020-11-04,59.74395
2020-11-05,59.31721
2020-11-06,49.35988
2020-11-07,16.64295
2020-11-08,19.4879
2020-11-09,67.28307
2020-11-10,67.99431
2020-11-11,67.85206
2020-11-12,55.19203
2020-11-13,57.18349
2020-11-14,14.65149
2020-11-15,17.35419
2020-11-16,66.85633
2020-11-17,67.56756
2020-11-18,66.99857
2020-11-19,64.29587
2020-11-20,62.01991
2020-11-21,21.33712
2020-11-22,17.0697
2020-11-23,73.54196
2020-11-24,65.86059
2020-11-25,69.13229
2020-11-26,71.55049
2020-11-27,69.13229
2020-11-28,19.34566
2020-11-29,22.04836
2020-11-30,86.34423
2020-12-01,65.86059
2020-12-02,61.16642
2020-12-03,62.44665
2020-12-04,56.04551
2020-12-05,20.05689
2020-12-06,21.05263
2020-12-07,76.9559
2020-12-08,68.42105
2020-12-09,63.30014
2020-12-10,66.99857
2020-12-11,63.86913
2020-12-12,20.76813
2020-12-13,20.48364
2020-12-14,76.24466
2020-12-15,73.54196
2020-12-16,72.97297
2020-12-17,67.42532
2020-12-18,69.84352
2020-12-19,23.18634
2020-12-20,24.18207
2020-12-21,81.22332
2020-12-22,73.9687
2020-12-23,74.53769
2020-12-24,64.29587
2020-12-25,24.89331
2020-12-26,23.75533
2020-12-27,20.05689
2020-12-28,100.0
2020-12-29,77.66714
2020-12-30,67.14082
2020-12-31,62.44665
2021-01-01,14.50924
2021-01-02,19.34566
2021-01-03,19.7724
2021-01-04,81.65007
2021-01-05,73.9687
2021-01-06,70.69701
2021-01-07,70.83926
2021-01-08,61.87766
2021-01-09,19.91465
2021-01-10,18.91891
2021-01-11,71.69274
2021-01-12,65.14935
