date,자동차보험조회
2020-03-20,23.57859
2020-03-21,17.22408
2020-03-22,17.72575
2020-03-23,34.44816
2020-03-24,25.58528
2020-03-25,21.73913
2020-03-26,23.24414
2020-03-27,24.08026
2020-03-28,15.88628
2020-03-29,16.22073
2020-03-30,24.91638
2020-03-31,29.43143
2020-04-01,24.91638
2020-04-02,21.73913
2020-04-03,25.7525
2020-04-04,14.88294
2020-04-05,16.22073
2020-04-06,24.91638
2020-04-07,21.90635
2020-04-08,23.41137
2020-04-09,26.25418
2020-04-10,24.58193
2020-04-11,17.89297
2020-04-12,13.54515
2020-04-13,25.58528
2020-04-14,22.40802
2020-04-15,20.40133
2020-04-16,24.24749
2020-04-17,20.40133
2020-04-18,11.8729
2020-04-19,14.71571
2020-04-20,30.43478
2020-04-21,25.25083
2020-04-22,24.91638
2020-04-23,26.08695
2020-04-24,24.91638
2020-04-25,16.88963
2020-04-26,15.55183
2020-04-27,32.77591
2020-04-28,24.91638
2020-04-29,26.75585
2020-04-30,19.56521
2020-05-01,22.90969
2020-05-02,15.88628
2020-05-03,19.23076
2020-05-04,34.28093
2020-05-05,21.90635
2020-05-06,34.61538
2020-05-07,34.44816
2020-05-08,25.41806
2020-05-09,19.23076
2020-05-10,20.40133
2020-05-11,42.47491
2020-05-12,34.94983
2020-05-13,37.95986
2020-05-14,28.42809
2020-05-15,30.93645
2020-05-16,20.56856
2020-05-17,19.56521
2020-05-18,29.93311
2020-05-19,29.59866
2020-05-20,28.09364
2020-05-21,34.28093
2020-05-22,24.91638
2020-05-23,20.06688
2020-05-24,16.22073
2020-05-25,29.09698
2020-05-26,27.0903
2020-05-27,21.5719
2020-05-28,25.41806
2020-05-29,20.40133
2020-05-30,17.05685
2020-05-31,15.05016
2020-06-01,25.7525
2020-06-02,30.76923
2020-06-03,28.42809
2020-06-04,23.57859
2020-06-05,24.58193
2020-06-06,17.22408
2020-06-07,18.56187
2020-06-08,30.76923
2020-06-09,30.93645
2020-06-10,25.41806
2020-06-11,26.92307
2020-06-12,26.58862
2020-06-13,18.56187
2020-06-14,15.71906
2020-06-15,25.7525
2020-06-16,21.40468
2020-06-17,20.40133
2020-06-18,20.23411
2020-06-19,20.56856
2020-06-20,16.55518
2020-06-21,14.21404
2020-06-22,30.26755
2020-06-23,25.25083
2020-06-24,21.90635
2020-06-25,27.59197
2020-06-26,21.5719
2020-06-27,16.55518
2020-06-28,17.3913
2020-06-29,32.44147
2020-06-30,27.42474
2020-07-01,26.75585
2020-07-02,24.74916
2020-07-03,24.08026
2020-07-04,16.7224
2020-07-05,16.38795
2020-07-06,28.76254
2020-07-07,27.75919
2020-07-08,23.07692
2020-07-09,26.25418
2020-07-10,23.41137
2020-07-11,20.90301
2020-07-12,17.72575
2020-07-13,28.42809
2020-07-14,23.74581
2020-07-15,30.43478
2020-07-16,21.90635
2020-07-17,20.90301
2020-07-18,16.88963
2020-07-19,19.56521
2020-07-20,28.76254
2020-07-21,25.58528
2020-07-22,21.73913
2020-07-23,21.07023
2020-07-24,24.08026
2020-07-25,12.04013
2020-07-26,16.22073
2020-07-27,28.59531
2020-07-28,26.4214
2020-07-29,23.91304
2020-07-30,25.7525
2020-07-31,24.41471
2020-08-01,16.7224
2020-08-02,16.7224
2020-08-03,25.08361
2020-08-04,20.90301
2020-08-05,25.7525
2020-08-06,22.74247
2020-08-07,23.24414
2020-08-08,17.72575
2020-08-09,18.72909
2020-08-10,23.24414
2020-08-11,24.58193
2020-08-12,20.73578
2020-08-13,17.55852
2020-08-14,23.57859
2020-08-15,21.90635
2020-08-16,19.23076
2020-08-17,20.90301
2020-08-18,26.75585
2020-08-19,25.41806
2020-08-20,23.57859
2020-08-21,26.75585
2020-08-22,16.7224
2020-08-23,16.7224
2020-08-24,25.41806
2020-08-25,22.40802
2020-08-26,21.90635
2020-08-27,23.24414
2020-08-28,26.4214
2020-08-29,15.55183
2020-08-30,15.88628
2020-08-31,25.58528
2020-09-01,23.41137
2020-09-02,26.25418
2020-09-03,28.09364
2020-09-04,21.23745
2020-09-05,16.7224
2020-09-06,18.22742
2020-09-07,25.7525
2020-09-08,26.25418
2020-09-09,23.24414
2020-09-10,17.72575
2020-09-11,21.90635
2020-09-12,17.3913
2020-09-13,17.3913
2020-09-14,29.59866
2020-09-15,27.59197
2020-09-16,28.09364
2020-09-17,23.57859
2020-09-18,22.90969
2020-09-19,17.05685
2020-09-20,15.05016
2020-09-21,28.59531
2020-09-22,27.59197
2020-09-23,24.08026
2020-09-24,23.24414
2020-09-25,19.56521
2020-09-26,17.05685
2020-09-27,13.87959
2020-09-28,21.5719
2020-09-29,24.24749
2020-09-30,16.88963
2020-10-01,15.21739
2020-10-02,16.22073
2020-10-03,13.87959
2020-10-04,17.05685
2020-10-05,31.77257
2020-10-06,23.24414
2020-10-07,26.75585
2020-10-08,22.2408
2020-10-09,21.90635
2020-10-10,16.38795
2020-10-11,17.55852
2020-10-12,28.59531
2020-10-13,27.42474
2020-10-14,30.26755
2020-10-15,22.90969
2020-10-16,27.75919
2020-10-17,15.88628
2020-10-18,16.55518
2020-10-19,28.42809
2020-10-20,23.24414
2020-10-21,20.73578
2020-10-22,24.08026
2020-10-23,24.24749
2020-10-24,16.22073
2020-10-25,13.87959
2020-10-26,30.43478
2020-10-27,27.92642
2020-10-28,28.59531
2020-10-29,27.59197
2020-10-30,18.89632
2020-10-31,14.54849
2020-11-01,18.22742
2020-11-02,27.92642
2020-11-03,21.23745
2020-11-04,22.57525
2020-11-05,23.74581
2020-11-06,25.91973
2020-11-07,17.3913
2020-11-08,16.05351
2020-11-09,29.09698
2020-11-10,21.5719
2020-11-11,25.58528
2020-11-12,22.2408
2020-11-13,20.23411
2020-11-14,17.89297
2020-11-15,16.38795
2020-11-16,29.76588
2020-11-17,25.08361
2020-11-18,21.07023
2020-11-19,21.90635
2020-11-20,20.06688
2020-11-21,18.0602
2020-11-22,16.38795
2020-11-23,25.25083
2020-11-24,28.59531
2020-11-25,20.90301
2020-11-26,24.58193
2020-11-27,26.75585
2020-11-28,19.06354
2020-11-29,18.0602
2020-11-30,26.58862
2020-12-01,34.7826
2020-12-02,30.602
2020-12-03,33.11036
2020-12-04,28.26086
2020-12-05,19.56521
2020-12-06,22.74247
2020-12-07,24.08026
2020-12-08,20.06688
2020-12-09,24.41471
2020-12-10,27.42474
2020-12-11,21.23745
2020-12-12,17.05685
2020-12-13,19.39799
2020-12-14,27.0903
2020-12-15,29.26421
2020-12-16,27.92642
2020-12-17,27.0903
2020-12-18,24.58193
2020-12-19,23.24414
2020-12-20,20.23411
2020-12-21,27.42474
2020-12-22,26.75585
2020-12-23,26.25418
2020-12-24,22.90969
2020-12-25,16.88963
2020-12-26,17.05685
2020-12-27,16.05351
2020-12-28,31.2709
2020-12-29,25.08361
2020-12-30,26.08695
2020-12-31,23.74581
2021-01-01,19.23076
2021-01-02,17.22408
2021-01-03,16.7224
2021-01-04,30.76923
2021-01-05,32.77591
2021-01-06,26.75585
2021-01-07,29.43143
2021-01-08,39.96655
2021-01-09,22.74247
2021-01-10,20.73578
2021-01-11,25.41806
2021-01-12,26.58862
2021-01-13,37.29096
2021-01-14,81.60535
2021-01-15,41.13712
2021-01-16,21.73913
2021-01-17,22.40802
2021-01-18,32.10702
2021-01-19,25.25083
2021-01-20,26.75585
2021-01-21,24.91638
2021-01-22,24.41471
2021-01-23,22.2408
