date,코인투자
2020-03-21,1.89393
2020-03-22,1.70454
2020-03-23,3.40909
2020-03-24,1.70454
2020-03-25,1.70454
2020-03-26,2.27272
2020-03-27,0.94696
2020-03-28,2.27272
2020-03-29,1.70454
2020-03-30,2.65151
2020-03-31,3.0303
2020-04-01,1.32575
2020-04-02,1.32575
2020-04-03,3.40909
2020-04-04,2.46212
2020-04-05,2.65151
2020-04-06,1.32575
2020-04-07,2.8409
2020-04-08,2.27272
2020-04-09,1.51515
2020-04-10,2.08333
2020-04-11,1.89393
2020-04-12,1.51515
2020-04-13,2.08333
2020-04-14,1.70454
2020-04-15,2.08333
2020-04-16,1.70454
2020-04-18,1.32575
2020-04-19,2.65151
2020-04-20,3.78787
2020-04-21,1.32575
2020-04-22,2.27272
2020-04-23,1.51515
2020-04-24,1.89393
2020-04-25,2.27272
2020-04-26,2.46212
2020-04-27,1.89393
2020-04-28,0.94696
2020-04-29,1.89393
2020-04-30,2.8409
2020-05-01,1.13636
2020-05-02,1.51515
2020-05-03,4.16666
2020-05-04,1.51515
2020-05-05,1.51515
2020-05-06,0.94696
2020-05-07,0.94696
2020-05-08,1.89393
2020-05-09,2.46212
2020-05-10,1.51515
2020-05-11,3.97727
2020-05-12,1.13636
2020-05-13,1.32575
2020-05-14,1.32575
2020-05-15,1.70454
2020-05-16,2.08333
2020-05-17,0.94696
2020-05-18,1.13636
2020-05-19,2.65151
2020-05-20,3.78787
2020-05-21,3.40909
2020-05-22,2.65151
2020-05-23,2.27272
2020-05-24,3.21969
2020-05-25,4.92424
2020-05-26,6.62878
2020-05-27,4.16666
2020-05-28,3.0303
2020-05-29,2.65151
2020-05-30,3.21969
2020-05-31,3.78787
2020-06-01,1.89393
2020-06-02,3.97727
2020-06-03,5.30303
2020-06-04,3.97727
2020-06-05,3.40909
2020-06-06,2.8409
2020-06-07,5.49242
2020-06-08,9.2803
2020-06-09,4.73484
2020-06-10,3.59848
2020-06-11,3.59848
2020-06-12,3.0303
2020-06-13,1.32575
2020-06-14,4.16666
2020-06-15,4.16666
2020-06-16,5.30303
2020-06-17,3.40909
2020-06-18,3.0303
2020-06-19,2.08333
2020-06-20,3.40909
2020-06-21,3.59848
2020-06-22,3.21969
2020-06-23,4.16666
2020-06-24,6.81818
2020-06-25,5.11363
2020-06-26,5.49242
2020-06-27,2.8409
2020-06-28,1.13636
2020-06-29,2.65151
2020-06-30,5.30303
2020-07-01,5.49242
2020-07-02,4.35606
2020-07-03,6.25
2020-07-04,2.8409
2020-07-05,3.0303
2020-07-06,3.0303
2020-07-07,3.21969
2020-07-08,3.97727
2020-07-09,5.87121
2020-07-11,1.32575
2020-07-12,3.59848
2020-07-13,1.70454
2020-07-14,4.16666
2020-07-15,3.59848
2020-07-16,4.92424
2020-07-17,3.59848
2020-07-18,2.46212
2020-07-19,2.8409
2020-07-20,4.54545
2020-07-21,2.8409
2020-07-22,3.40909
2020-07-23,4.73484
2020-07-24,3.97727
2020-07-25,2.46212
2020-07-26,4.16666
2020-07-27,3.78787
2020-07-28,5.30303
2020-07-29,6.62878
2020-07-30,5.49242
2020-07-31,4.35606
2020-08-01,6.0606
2020-08-02,6.62878
2020-08-03,3.0303
2020-08-04,4.73484
2020-08-05,7.19696
2020-08-06,6.81818
2020-08-07,5.68181
2020-08-08,4.54545
2020-08-09,4.54545
2020-08-10,6.81818
2020-08-11,7.38636
2020-08-12,4.54545
2020-08-13,7.76515
2020-08-14,3.40909
2020-08-15,3.97727
2020-08-16,4.73484
2020-08-17,3.59848
2020-08-18,3.97727
2020-08-19,5.87121
2020-08-20,5.11363
2020-08-21,7.76515
2020-08-22,4.73484
2020-08-23,9.2803
2020-08-24,10.03787
2020-08-25,10.98484
2020-08-26,7.38636
2020-08-27,5.30303
2020-08-28,4.73484
2020-08-29,3.0303
2020-08-30,16.66666
2020-08-31,9.0909
2020-09-01,5.11363
2020-09-02,5.68181
2020-09-03,6.25
2020-09-04,4.54545
2020-09-05,4.16666
2020-09-06,4.73484
2020-09-07,5.11363
2020-09-08,4.54545
2020-09-09,6.43939
2020-09-10,5.30303
2020-09-11,5.11363
2020-09-12,4.35606
2020-09-13,5.68181
2020-09-14,4.54545
2020-09-15,7.19696
2020-09-16,6.0606
2020-09-17,4.54545
2020-09-18,2.65151
2020-09-19,3.78787
2020-09-20,3.78787
2020-09-21,4.16666
2020-09-22,4.35606
2020-09-23,3.78787
2020-09-24,2.8409
2020-09-25,2.08333
2020-09-26,2.8409
2020-09-27,2.27272
2020-09-28,3.97727
2020-09-29,3.78787
2020-09-30,3.21969
2020-10-01,2.27272
2020-10-02,3.59848
2020-10-03,2.65151
2020-10-04,4.73484
2020-10-05,2.8409
2020-10-06,4.54545
2020-10-07,2.27272
2020-10-08,3.40909
2020-10-09,3.0303
2020-10-10,3.0303
2020-10-11,4.35606
2020-10-12,5.68181
2020-10-13,5.30303
2020-10-14,5.68181
2020-10-15,6.25
2020-10-16,3.40909
2020-10-17,3.0303
2020-10-18,5.30303
2020-10-19,4.35606
2020-10-20,4.54545
2020-10-21,6.81818
2020-10-22,4.54545
2020-10-23,1.89393
2020-10-24,2.8409
2020-10-25,4.16666
2020-10-26,4.16666
