date,엘지전자주가
2020-03-20,12.07202
2020-03-21,1.61469
2020-03-22,1.14718
2020-03-23,11.11539
2020-03-24,11.07682
2020-03-25,12.2456
2020-03-26,13.91661
2020-03-27,11.94241
2020-03-28,1.40408
2020-03-29,0.94968
2020-03-30,10.19811
2020-03-31,9.46444
2020-04-01,10.44884
2020-04-02,9.99675
2020-04-03,9.1219
2020-04-04,1.09549
2020-04-05,0.78458
2020-04-06,8.95449
2020-04-07,12.08051
2020-04-08,11.97559
2020-04-09,10.10553
2020-04-10,9.5223
2020-04-11,1.07697
2020-04-12,0.99983
2020-04-13,8.60579
2020-04-14,7.96006
2020-04-15,1.2197
2020-04-16,7.56198
2020-04-17,9.54313
2020-04-18,1.05769
2020-04-19,0.75681
2020-04-20,8.22854
2020-04-21,8.16296
2020-04-22,8.32188
2020-04-23,7.99941
2020-04-24,6.77739
2020-04-25,0.7653
2020-04-26,0.54311
2020-04-27,7.1045
2020-04-28,7.3074
2020-04-29,8.28177
2020-04-30,1.01603
2020-05-01,1.3385
2020-05-02,0.55777
2020-05-03,0.52151
2020-05-04,7.3074
2020-05-05,1.00908
2020-05-06,7.18705
2020-05-07,6.4094
2020-05-08,6.11238
2020-05-09,0.76453
2020-05-10,0.49451
2020-05-11,5.9172
2020-05-12,6.01132
2020-05-13,5.81074
2020-05-14,5.43966
2020-05-15,5.53995
2020-05-16,0.64032
2020-05-17,0.44668
2020-05-18,6.22116
2020-05-19,7.98166
2020-05-20,6.56061
2020-05-21,6.66707
2020-05-22,5.67573
2020-05-23,0.56857
2020-05-24,0.46365
2020-05-25,5.67959
2020-05-26,6.53207
2020-05-27,8.51861
2020-05-28,7.53112
2020-05-29,6.32608
2020-05-30,0.66423
2020-05-31,0.50222
2020-06-01,6.44875
2020-06-02,6.96872
2020-06-03,8.94832
2020-06-04,8.46769
2020-06-05,7.79343
2020-06-06,0.84476
2020-06-07,0.72981
2020-06-08,8.25168
2020-06-09,9.89492
2020-06-10,12.46624
2020-06-11,11.2612
2020-06-12,10.4581
2020-06-13,0.93965
2020-06-14,0.56009
2020-06-15,9.59019
2020-06-16,9.57244
2020-06-17,9.56087
2020-06-18,8.65825
2020-06-19,7.81966
2020-06-20,0.76375
2020-06-21,0.49991
2020-06-22,7.03815
2020-06-23,6.99958
2020-06-24,7.20865
2020-06-25,6.81905
2020-06-26,6.62001
2020-06-27,0.68121
2020-06-28,0.52614
2020-06-29,6.10004
2020-06-30,6.22116
2020-07-01,6.45337
2020-07-02,5.87786
2020-07-03,5.7089
2020-07-04,0.60097
2020-07-05,0.52614
2020-07-06,8.38283
2020-07-07,8.0673
2020-07-08,7.60981
2020-07-09,7.3722
2020-07-10,6.47035
2020-07-11,0.61177
2020-07-12,0.52228
2020-07-13,6.82677
2020-07-14,8.33114
2020-07-15,10.50593
2020-07-16,8.96684
2020-07-17,8.88969
2020-07-18,0.89799
2020-07-19,0.67195
2020-07-20,7.913
2020-07-21,8.06653
2020-07-22,7.34751
2020-07-23,7.14076
2020-07-24,6.30139
2020-07-25,0.64958
2020-07-26,0.74832
2020-07-27,6.8584
2020-07-28,7.60441
2020-07-29,7.59053
2020-07-30,7.32591
2020-07-31,6.66322
2020-08-01,0.77764
2020-08-02,0.60869
2020-08-03,7.92998
2020-08-04,9.12422
2020-08-05,9.29626
2020-08-06,8.48235
2020-08-07,8.08581
2020-08-08,0.84862
2020-08-09,0.72827
2020-08-10,14.26301
2020-08-11,12.43924
2020-08-12,12.56422
2020-08-13,12.46624
2020-08-14,11.4965
2020-08-15,1.00831
2020-08-16,0.72749
2020-08-17,1.87468
2020-08-18,10.09859
