date,20대실비보험
2020-11-07,7.2072
2020-11-08,9.9099
2020-11-09,13.51351
2020-11-10,20.72072
2020-11-11,23.42342
2020-11-12,22.97297
2020-11-13,17.11711
2020-11-14,7.2072
2020-11-15,12.16216
2020-11-16,25.67567
2020-11-17,23.42342
2020-11-18,21.17117
2020-11-19,22.07207
2020-11-20,22.97297
2020-11-21,5.4054
2020-11-22,4.05405
2020-11-23,19.36936
2020-11-24,24.77477
2020-11-25,23.87387
2020-11-26,18.46846
2020-11-27,24.32432
2020-11-28,7.2072
2020-11-29,11.26126
2020-11-30,20.27027
2020-12-01,38.28828
2020-12-02,27.47747
2020-12-03,26.57657
2020-12-04,23.42342
2020-12-05,6.3063
2020-12-06,14.41441
2020-12-07,19.81981
2020-12-08,29.27927
2020-12-09,27.47747
2020-12-10,30.63063
2020-12-11,32.43243
2020-12-12,12.16216
2020-12-13,16.66666
2020-12-14,18.46846
2020-12-15,40.99099
2020-12-16,50.0
2020-12-17,34.23423
2020-12-18,45.04504
2020-12-19,8.1081
2020-12-20,17.11711
2020-12-21,31.53153
2020-12-22,39.63963
2020-12-23,34.23423
2020-12-24,27.92792
2020-12-25,13.96396
2020-12-26,14.41441
2020-12-27,24.77477
2020-12-28,38.28828
2020-12-29,60.81081
2020-12-30,42.79279
2020-12-31,25.22522
2021-01-01,9.45945
2021-01-02,18.01801
2021-01-03,16.66666
2021-01-04,31.98198
2021-01-05,30.63063
2021-01-06,27.92792
2021-01-07,36.93693
2021-01-08,22.97297
2021-01-09,7.2072
2021-01-10,21.17117
2021-01-11,21.62162
2021-01-12,29.72972
2021-01-13,35.13513
2021-01-14,36.93693
2021-01-15,29.27927
2021-01-16,9.45945
2021-01-17,16.21621
2021-01-18,23.87387
2021-01-19,36.93693
2021-01-20,33.33333
2021-01-21,29.72972
2021-01-22,26.12612
2021-01-23,11.71171
2021-01-24,13.96396
2021-01-25,26.12612
2021-01-26,36.48648
2021-01-27,28.37837
2021-01-28,33.78378
2021-01-29,27.47747
2021-01-30,11.71171
2021-01-31,23.87387
2021-02-01,24.32432
2021-02-02,26.12612
2021-02-03,26.12612
2021-02-04,21.62162
2021-02-05,24.32432
2021-02-06,13.06306
2021-02-07,16.21621
2021-02-08,34.23423
2021-02-09,27.47747
2021-02-10,27.92792
2021-02-11,9.45945
2021-02-12,7.65765
2021-02-13,11.71171
2021-02-14,10.36036
2021-02-15,26.57657
2021-02-16,31.98198
2021-02-17,30.63063
2021-02-18,25.67567
2021-02-19,28.82882
2021-02-20,19.81981
2021-02-21,17.56756
2021-02-22,23.42342
2021-02-23,27.02702
2021-02-24,31.98198
2021-02-25,30.63063
2021-02-26,24.77477
2021-02-27,17.11711
2021-02-28,6.75675
2021-03-01,19.36936
2021-03-02,19.81981
2021-03-03,28.82882
2021-03-04,35.58558
2021-03-05,30.63063
2021-03-06,19.81981
2021-03-07,13.06306
2021-03-08,27.47747
2021-03-09,31.53153
2021-03-10,35.13513
2021-03-11,36.93693
2021-03-12,36.03603
2021-03-13,18.91891
2021-03-14,13.51351
2021-03-15,22.07207
2021-03-16,33.33333
2021-03-17,33.33333
2021-03-18,37.83783
2021-03-19,36.93693
2021-03-20,28.82882
2021-03-21,24.77477
2021-03-22,40.54054
2021-03-23,35.58558
2021-03-24,41.89189
2021-03-25,37.38738
2021-03-26,26.12612
2021-03-27,18.91891
2021-03-28,17.11711
2021-03-29,27.02702
2021-03-30,23.87387
2021-03-31,27.02702
2021-04-01,26.57657
2021-04-02,22.52252
2021-04-03,17.11711
2021-04-04,16.66666
2021-04-05,15.76576
2021-04-06,29.27927
2021-04-07,24.77477
2021-04-08,29.72972
2021-04-09,25.67567
2021-04-10,16.21621
2021-04-11,18.91891
2021-04-12,22.07207
2021-04-13,31.98198
2021-04-14,27.47747
2021-04-15,31.08108
2021-04-16,22.07207
2021-04-17,13.51351
2021-04-18,13.96396
2021-04-19,31.53153
2021-04-20,25.67567
2021-04-21,20.72072
2021-04-22,26.57657
2021-04-23,26.57657
2021-04-24,7.2072
2021-04-25,9.9099
2021-04-26,26.57657
2021-04-27,24.32432
2021-04-28,21.62162
2021-04-29,22.52252
2021-04-30,24.32432
2021-05-01,7.65765
2021-05-02,11.26126
2021-05-03,30.63063
2021-05-04,23.87387
2021-05-05,13.51351
2021-05-06,32.43243
2021-05-07,26.57657
2021-05-08,12.61261
2021-05-09,16.66666
2021-05-10,25.67567
2021-05-11,36.03603
2021-05-12,27.92792
2021-05-13,25.22522
2021-05-14,27.92792
2021-05-15,16.66666
2021-05-16,14.86486
2021-05-17,31.53153
2021-05-18,27.47747
2021-05-19,10.81081
2021-05-20,33.78378
2021-05-21,32.88288
2021-05-22,14.86486
2021-05-23,15.76576
2021-05-24,28.82882
2021-05-25,32.43243
2021-05-26,24.32432
2021-05-27,36.03603
2021-05-28,28.82882
2021-05-29,15.31531
2021-05-30,18.46846
2021-05-31,27.02702
2021-06-01,31.08108
2021-06-02,30.18018
2021-06-03,32.88288
2021-06-04,29.27927
2021-06-05,18.46846
2021-06-06,21.17117
2021-06-07,30.18018
2021-06-08,31.98198
2021-06-09,32.88288
2021-06-10,39.18918
2021-06-11,39.18918
2021-06-12,12.16216
2021-06-13,15.31531
2021-06-14,37.38738
2021-06-15,35.58558
2021-06-16,39.63963
2021-06-17,34.68468
2021-06-18,30.18018
2021-06-19,16.66666
2021-06-20,34.68468
2021-06-21,53.15315
2021-06-22,49.54954
2021-06-23,70.72072
2021-06-24,54.95495
2021-06-25,46.84684
2021-06-26,22.52252
2021-06-27,28.37837
2021-06-28,59.9099
2021-06-29,73.42342
2021-06-30,100.0
2021-07-01,28.82882
2021-07-02,22.07207
2021-07-03,14.86486
2021-07-04,15.31531
2021-07-05,28.37837
2021-07-06,22.52252
2021-07-07,24.32432
2021-07-08,18.91891
2021-07-09,7.2072
2021-07-10,7.2072
2021-07-11,9.009
2021-07-12,15.31531
2021-07-13,23.42342
2021-07-14,27.47747
2021-07-15,18.01801
2021-07-16,22.07207
2021-07-17,14.86486
2021-07-18,8.1081
2021-07-19,14.86486
2021-07-20,18.01801
2021-07-21,26.12612
2021-07-22,19.36936
2021-07-23,13.51351
2021-07-24,10.81081
2021-07-25,13.51351
2021-07-26,20.27027
2021-07-27,23.87387
2021-07-28,13.06306
2021-07-29,9.009
2021-07-30,11.26126
2021-07-31,8.1081
