date,코덱스2차전지산업
2020-03-20,0.11416
2020-03-22,0.0761
2020-03-23,0.12177
2020-03-24,0.42621
2020-03-25,0.28921
2020-03-26,0.19788
2020-03-27,0.23593
2020-03-28,0.12177
2020-03-29,0.06088
2020-03-30,0.22832
2020-03-31,0.46426
2020-04-01,0.31965
2020-04-02,0.24354
2020-04-03,0.16744
2020-04-04,0.06088
2020-04-05,0.0761
2020-04-06,0.28921
2020-04-07,0.2816
2020-04-08,0.32726
2020-04-09,0.44143
2020-04-10,0.26638
2020-04-11,0.0761
2020-04-12,0.06849
2020-04-13,0.38815
2020-04-14,0.45665
2020-04-15,0.15221
2020-04-16,0.46426
2020-04-17,0.46426
2020-04-18,0.12938
2020-04-19,0.09894
2020-04-20,0.52515
2020-04-21,0.18266
2020-04-22,0.2131
2020-04-23,0.2131
2020-04-24,0.18266
2020-04-26,0.06849
2020-04-27,0.22832
2020-04-28,0.15982
2020-04-29,0.22071
2020-04-30,0.04566
2020-05-01,0.06088
2020-05-04,0.23593
2020-05-05,0.09894
2020-05-06,0.15982
2020-05-07,0.1446
2020-05-08,0.18266
2020-05-09,0.03805
2020-05-11,0.25116
2020-05-12,0.12938
2020-05-13,0.12177
2020-05-14,0.16744
2020-05-15,0.19027
2020-05-18,0.32726
2020-05-19,0.35771
2020-05-20,0.16744
2020-05-21,0.15221
2020-05-22,0.17505
2020-05-25,0.19027
2020-05-26,0.55559
2020-05-27,0.49471
2020-05-28,0.42621
2020-05-29,0.49471
2020-05-30,0.04566
2020-05-31,0.10655
2020-06-01,0.49471
2020-06-02,0.63931
2020-06-03,0.86764
2020-06-04,0.63931
2020-06-05,0.68498
2020-06-06,0.09133
2020-06-07,0.09133
2020-06-08,0.38054
2020-06-09,0.57081
2020-06-10,0.67737
2020-06-11,0.61648
2020-06-12,0.55559
2020-06-13,0.06088
2020-06-14,0.06849
2020-06-15,0.72303
2020-06-16,0.68498
2020-06-17,0.82959
2020-06-18,0.80675
2020-06-19,0.53276
2020-06-20,0.05327
2020-06-22,0.25116
2020-06-23,0.35771
2020-06-24,0.45665
2020-06-25,0.50993
2020-06-26,0.49471
2020-06-28,0.05327
2020-06-29,0.41099
2020-06-30,0.41099
2020-07-01,0.41099
2020-07-02,0.37293
2020-07-03,0.40337
2020-07-05,0.06088
2020-07-06,0.30443
2020-07-07,0.36532
2020-07-08,0.2816
2020-07-09,0.32726
2020-07-10,0.50993
2020-07-11,0.06849
2020-07-12,0.09894
2020-07-13,0.32726
2020-07-14,0.37293
2020-07-15,0.25877
2020-07-16,0.2131
2020-07-17,0.54798
2020-07-18,0.0761
2020-07-19,0.04566
2020-07-20,0.59365
2020-07-21,0.61648
2020-07-22,0.50993
2020-07-23,0.79914
2020-07-24,0.55559
2020-07-25,0.03805
2020-07-27,0.7002
2020-07-28,0.68498
2020-07-29,0.51754
2020-07-30,0.50993
2020-07-31,0.75348
2020-08-01,0.17505
2020-08-02,0.10655
2020-08-03,1.27102
2020-08-04,1.43085
2020-08-05,2.72471
2020-08-06,3.36403
2020-08-07,4.44478
2020-08-08,1.03508
2020-08-09,0.98942
2020-08-10,4.96232
2020-08-11,5.19065
2020-08-12,4.62744
2020-08-13,4.91666
2020-08-14,4.52089
2020-08-15,0.71542
2020-08-16,0.50993
2020-08-17,0.5632
2020-08-18,4.89382
2020-08-19,4.00334
2020-08-20,3.6913
2020-08-21,3.81307
2020-08-22,0.54037
2020-08-23,0.50232
2020-08-24,3.8359
2020-08-25,4.62744
2020-08-26,4.67311
2020-08-27,5.07648
2020-08-28,4.65027
2020-08-29,0.69259
2020-08-30,0.47187
2020-08-31,4.93188
2020-09-01,4.71877
2020-09-02,4.23928
2020-09-03,5.38092
2020-09-04,4.49044
2020-09-05,0.47948
2020-09-06,0.44143
2020-09-07,3.6913
2020-09-08,3.95007
2020-09-09,3.5543
2020-09-10,3.46297
2020-09-11,3.63041
2020-09-12,0.43382
2020-09-13,0.43382
2020-09-14,3.88157
2020-09-15,4.38389
2020-09-16,4.11751
2020-09-17,4.07184
2020-09-18,3.66085
2020-09-19,0.46426
2020-09-20,0.35771
2020-09-21,3.63041
2020-09-22,4.12512
2020-09-23,4.62744
2020-09-24,4.87099
2020-09-25,4.9471
2020-09-26,0.38815
2020-09-27,0.32726
2020-09-28,3.96529
2020-09-29,3.37164
2020-09-30,0.4186
2020-10-01,0.22071
2020-10-02,0.26638
2020-10-03,0.31204
2020-10-04,0.30443
2020-10-05,4.34584
2020-10-06,4.0414
2020-10-07,3.94246
2020-10-08,3.68368
2020-10-09,0.69259
2020-10-10,0.24354
2020-10-11,0.39576
2020-10-12,3.26508
2020-10-13,2.98348
2020-10-14,2.97587
2020-10-15,3.21942
2020-10-16,3.38686
2020-10-17,0.29682
2020-10-18,0.31965
2020-10-19,3.03676
2020-10-20,3.51624
2020-10-21,3.0672
2020-10-22,2.69426
2020-10-23,3.00631
2020-10-24,0.2131
2020-10-25,0.2816
2020-10-26,2.83126
2020-10-27,2.7171
2020-10-28,2.75515
2020-10-29,2.51921
2020-10-30,2.60293
2020-10-31,0.30443
2020-11-01,0.23593
2020-11-02,2.45071
2020-11-03,3.21942
2020-11-04,3.51624
2020-11-05,5.44942
2020-11-06,5.97457
2020-11-07,1.57546
2020-11-08,2.13867
2020-11-09,10.30519
2020-11-10,8.32635
2020-11-11,6.4084
2020-11-12,5.7843
2020-11-13,5.28959
2020-11-14,0.86764
2020-11-15,0.65453
