date,신탁등기
2020-03-20,7.61245
2020-03-21,3.66782
2020-03-22,3.11418
2020-03-23,7.68166
2020-03-24,8.4429
2020-03-25,7.54325
2020-03-26,7.61245
2020-03-27,7.33564
2020-03-28,4.35986
2020-03-29,2.90657
2020-03-30,8.92733
2020-03-31,8.02768
2020-04-01,8.02768
2020-04-02,7.26643
2020-04-03,7.47404
2020-04-04,3.52941
2020-04-05,3.04498
2020-04-06,7.54325
2020-04-07,8.02768
2020-04-08,7.33564
2020-04-09,7.33564
2020-04-10,8.02768
2020-04-11,4.63667
2020-04-12,2.69896
2020-04-13,9.27335
2020-04-14,9.20415
2020-04-15,3.87543
2020-04-16,10.51903
2020-04-17,10.24221
2020-04-18,4.29065
2020-04-19,3.87543
2020-04-20,9.13494
2020-04-21,9.20415
2020-04-22,9.55017
2020-04-23,9.48096
2020-04-24,7.88927
2020-04-25,4.49826
2020-04-26,5.32871
2020-04-27,10.86505
2020-04-28,9.89619
2020-04-29,8.30449
2020-04-30,4.15224
2020-05-01,4.35986
2020-05-02,4.70588
2020-05-03,3.66782
2020-05-04,7.88927
2020-05-05,4.01384
2020-05-06,6.85121
2020-05-07,7.82006
2020-05-08,7.33564
2020-05-09,4.42906
2020-05-10,3.80622
2020-05-11,6.57439
2020-05-12,10.0346
2020-05-13,6.782
2020-05-14,7.95847
2020-05-15,7.75086
2020-05-16,4.84429
2020-05-17,3.94463
2020-05-18,8.16608
2020-05-19,6.15916
2020-05-20,6.43598
2020-05-21,5.39792
2020-05-22,6.36678
2020-05-23,3.18339
2020-05-24,4.35986
2020-05-25,8.65051
2020-05-26,7.26643
2020-05-27,7.19723
2020-05-28,6.85121
2020-05-29,5.67474
2020-05-30,3.391
2020-05-31,3.11418
2020-06-01,7.05882
2020-06-02,7.12802
2020-06-03,5.67474
2020-06-04,5.95155
2020-06-05,4.35986
2020-06-06,3.11418
2020-06-07,2.83737
2020-06-08,6.50519
2020-06-09,7.95847
2020-06-10,6.92041
2020-06-11,7.54325
