date,유니슨주가
2020-03-20,3.19928
2020-03-21,0.46731
2020-03-22,0.2696
2020-03-23,2.39047
2020-03-24,2.69152
2020-03-25,3.10941
2020-03-26,3.44641
2020-03-27,3.0465
2020-03-28,0.41788
2020-03-29,0.31004
2020-03-30,3.17232
2020-03-31,3.02853
2020-04-01,3.32958
2020-04-02,2.77241
2020-04-03,3.00157
2020-04-04,0.39092
2020-04-05,0.25162
2020-04-06,2.63311
2020-04-07,2.68703
2020-04-08,2.5702
2020-04-09,2.81285
2020-04-10,2.42642
2020-04-11,0.35048
2020-04-12,0.27409
2020-04-13,2.44888
2020-04-14,2.48932
2020-04-15,0.337
2020-04-16,3.47787
2020-04-17,6.54235
2020-04-18,0.70096
2020-04-19,0.75039
2020-04-20,4.18782
2020-04-21,3.36104
2020-04-22,3.02403
2020-04-23,2.92518
2020-04-24,2.42642
2020-04-25,0.26061
2020-04-26,0.25162
2020-04-27,3.04201
2020-04-28,2.47135
2020-04-29,2.60166
2020-04-30,0.37744
2020-05-01,0.43585
2020-05-02,0.30105
2020-05-03,0.1977
2020-05-04,2.08043
2020-05-05,0.42687
2020-05-06,3.0465
2020-05-07,4.87081
2020-05-08,5.10447
2020-05-09,2.01752
2020-05-10,1.46034
2020-05-11,6.60076
2020-05-12,4.92473
2020-05-13,4.47989
2020-05-14,4.745
2020-05-15,3.94068
2020-05-16,0.44035
2020-05-17,0.36396
2020-05-18,4.6776
2020-05-19,3.92271
2020-05-20,6.6412
2020-05-21,22.79937
2020-05-22,13.65535
2020-05-23,2.04897
2020-05-24,2.67355
2020-05-25,12.14109
2020-05-26,15.68636
2020-05-27,32.99033
2020-05-28,36.05481
2020-05-29,24.10694
2020-05-30,4.70456
2020-05-31,3.32958
2020-06-01,21.37047
2020-06-02,19.33498
2020-06-03,17.47472
2020-06-04,15.55156
2020-06-05,12.3388
2020-06-06,2.15681
2020-06-07,1.71646
2020-06-08,12.78813
2020-06-09,11.20647
2020-06-10,11.2514
2020-06-11,9.97079
2020-06-12,9.38665
2020-06-13,1.40642
2020-06-14,1.34801
2020-06-15,8.46101
2020-06-16,9.40013
2020-06-17,8.01168
2020-06-18,9.54841
2020-06-19,8.29027
2020-06-20,1.0829
2020-06-21,0.87171
2020-06-22,13.86205
2020-06-23,11.88047
2020-06-24,10.99078
2020-06-25,9.52145
2020-06-26,16.02785
2020-06-27,2.52976
2020-06-28,1.77937
2020-06-29,12.21747
2020-06-30,11.84902
2020-07-01,9.62031
2020-07-02,9.23388
2020-07-03,8.50146
2020-07-04,1.33453
2020-07-05,1.11435
2020-07-06,7.98472
2020-07-07,8.68568
2020-07-08,7.76454
2020-07-09,15.38081
2020-07-10,10.28982
2020-07-11,1.39743
2020-07-12,1.56369
2020-07-13,16.8097
2020-07-14,20.04942
2020-07-15,13.60143
2020-07-16,14.22152
2020-07-17,18.38687
2020-07-18,4.2687
2020-07-19,3.69804
2020-07-20,21.10986
2020-07-21,26.75803
2020-07-22,35.63693
2020-07-23,27.05908
2020-07-24,19.42484
2020-07-25,2.4354
2020-07-26,2.51179
2020-07-27,19.29903
2020-07-28,18.82273
2020-07-29,15.79869
2020-07-30,14.28443
2020-07-31,12.07818
2020-08-01,1.6895
2020-08-02,1.42889
2020-08-03,12.541
2020-08-04,12.99033
2020-08-05,12.65782
2020-08-06,11.61536
2020-08-07,10.60885
2020-08-08,1.47831
2020-08-09,1.11884
2020-08-10,12.04223
2020-08-11,11.30532
2020-08-12,13.74522
2020-08-13,11.55695
2020-08-14,10.1685
2020-08-15,1.27162
2020-08-16,0.98854
2020-08-17,2.22421
2020-08-18,9.80453
2020-08-19,16.64794
2020-08-20,22.61963
2020-08-21,20.29656
2020-08-22,3.16782
2020-08-23,2.10289
2020-08-24,30.89642
2020-08-25,29.88092
2020-08-26,45.83239
2020-08-27,62.48034
2020-08-28,45.20781
2020-08-29,6.26376
2020-08-30,5.07301
2020-08-31,41.37497
2020-09-01,32.85104
2020-09-02,31.66479
2020-09-03,41.75241
2020-09-04,72.76117
2020-09-05,14.0328
2020-09-06,10.95933
2020-09-07,44.25073
2020-09-08,100.0
2020-09-09,81.15479
2020-09-10,65.15839
2020-09-11,52.21298
2020-09-12,7.3871
2020-09-13,6.41204
2020-09-14,50.06515
2020-09-15,51.97034
2020-09-16,54.14513
2020-09-17,46.3716
2020-09-18,40.73241
2020-09-19,6.29521
2020-09-20,5.80993
2020-09-21,41.02448
2020-09-22,40.07638
2020-09-23,37.87463
2020-09-24,37.72186
2020-09-25,34.73376
2020-09-26,5.05055
2020-09-27,4.64165
2020-09-28,39.83823
2020-09-29,33.50258
2020-09-30,3.30712
2020-10-01,2.87126
2020-10-02,3.02403
2020-10-03,3.00157
2020-10-04,3.26218
2020-10-05,43.80588
2020-10-06,40.79982
2020-10-07,43.90474
2020-10-08,46.9827
2020-10-09,7.64322
2020-10-10,5.25275
2020-10-11,5.18085
2020-10-12,47.24331
2020-10-13,40.7414
2020-10-14,36.65693
2020-10-15,59.40687
2020-10-16,47.26128
2020-10-17,5.27971
2020-10-18,4.33161
2020-10-19,42.56571
2020-10-20,42.78589
2020-10-21,35.56953
2020-10-22,31.27387
2020-10-23,29.21141
2020-10-24,4.35407
2020-10-25,3.01055
2020-10-26,28.23185
2020-10-27,28.91035
2020-10-28,37.97348
2020-10-29,32.94091
2020-10-30,26.79847
2020-10-31,3.46888
2020-11-01,2.74994
2020-11-02,30.47405
2020-11-03,29.36418
2020-11-04,36.91305
2020-11-05,43.83284
2020-11-06,45.93574
2020-11-07,5.51786
2020-11-08,7.01415
2020-11-09,55.49314
2020-11-10,49.20691
2020-11-11,37.33093
2020-11-12,32.28487
2020-11-13,30.32576
2020-11-14,3.3835
2020-11-15,3.27117
2020-11-16,27.53538
2020-11-17,27.22534
2020-11-18,31.76814
2020-11-19,29.29229
2020-11-20,25.41451
2020-11-21,2.79038
2020-11-22,2.81734
2020-11-23,24.93372
2020-11-24,34.37879
2020-11-25,26.54235
2020-11-26,23.50033
2020-11-27,27.20736
2020-11-28,3.68007
2020-11-29,2.97461
2020-11-30,26.11098
2020-12-01,24.83936
2020-12-02,21.93215
2020-12-03,21.67602
2020-12-04,21.91866
