date,증여세계산
2020-03-20,25.79281
2020-03-21,17.12473
2020-03-22,18.39323
2020-03-23,28.75264
2020-03-24,27.48414
2020-03-25,37.84355
2020-03-26,34.24947
2020-03-27,27.69556
2020-03-28,17.12473
2020-03-29,17.12473
2020-03-30,29.17547
2020-03-31,24.31289
2020-04-01,23.67864
2020-04-02,26.21564
2020-04-03,24.10147
2020-04-04,15.4334
2020-04-05,12.68498
2020-04-06,24.52431
2020-04-07,21.14164
2020-04-08,24.10147
2020-04-09,24.94714
2020-04-10,19.45031
2020-04-11,15.64482
2020-04-12,12.26215
2020-04-13,33.19238
2020-04-14,26.63847
2020-04-15,19.2389
2020-04-16,33.82663
2020-04-17,24.94714
2020-04-18,17.54756
2020-04-19,17.9704
2020-04-20,39.95771
2020-04-21,43.55179
2020-04-22,31.28964
2020-04-23,33.19238
2020-04-24,23.25581
2020-04-25,18.18181
2020-04-26,16.49048
2020-04-27,34.03805
2020-04-28,33.19238
2020-04-29,30.65539
2020-04-30,13.31923
2020-05-01,19.45031
2020-05-02,15.01057
2020-05-03,16.06765
2020-05-04,29.5983
2020-05-05,21.77589
2020-05-06,33.4038
2020-05-07,31.71247
2020-05-08,26.00422
2020-05-09,18.60465
2020-05-10,18.18181
2020-05-11,32.76955
2020-05-12,30.65539
2020-05-13,27.27272
2020-05-14,30.23255
2020-05-15,25.36997
2020-05-16,13.10782
2020-05-17,19.87315
2020-05-18,33.82663
2020-05-19,30.8668
2020-05-20,29.17547
2020-05-21,30.02114
2020-05-22,23.89006
2020-05-23,18.39323
2020-05-24,19.45031
2020-05-25,34.46088
2020-05-26,27.90697
2020-05-27,24.52431
2020-05-28,26.84989
2020-05-29,22.19873
2020-05-30,13.74207
2020-05-31,19.66173
2020-06-01,28.54122
2020-06-02,31.28964
2020-06-03,28.11839
2020-06-04,25.36997
2020-06-05,21.56448
2020-06-06,15.85623
2020-06-07,15.22198
2020-06-08,31.92389
2020-06-09,32.34672
2020-06-10,25.58139
2020-06-11,27.27272
2020-06-12,28.75264
2020-06-13,24.31289
2020-06-14,21.98731
2020-06-15,38.68921
2020-06-16,32.1353
2020-06-17,49.68287
2020-06-18,51.3742
2020-06-19,45.03171
2020-06-20,30.44397
2020-06-21,24.73572
2020-06-22,51.58562
2020-06-23,49.04862
2020-06-24,46.51162
2020-06-25,36.15221
2020-06-26,34.88372
2020-06-27,26.42706
2020-06-28,27.90697
2020-06-29,44.39746
2020-06-30,37.42071
2020-07-01,33.4038
2020-07-02,34.6723
2020-07-03,33.61522
2020-07-04,25.36997
2020-07-05,27.69556
2020-07-06,45.24312
2020-07-07,45.24312
2020-07-08,63.00211
2020-07-09,64.48202
2020-07-10,83.08668
2020-07-11,71.67019
2020-07-12,60.88794
2020-07-13,100.0
2020-07-14,86.89217
2020-07-15,63.42494
2020-07-16,55.60253
2020-07-17,52.6427
2020-07-18,34.6723
2020-07-19,28.54122
2020-07-20,55.39112
2020-07-21,49.26004
2020-07-22,46.08879
2020-07-23,47.14587
2020-07-24,39.53488
2020-07-25,31.71247
2020-07-26,29.38689
2020-07-27,49.26004
2020-07-28,47.35729
2020-07-29,49.04862
2020-07-30,48.62579
2020-07-31,44.60887
2020-08-01,26.63847
2020-08-02,21.98731
2020-08-03,36.57505
2020-08-04,45.87737
2020-08-05,39.11205
2020-08-06,37.84355
2020-08-07,34.46088
2020-08-08,26.00422
2020-08-09,25.36997
2020-08-10,41.22621
2020-08-11,37.2093
2020-08-12,38.90063
2020-08-13,35.9408
2020-08-14,34.6723
2020-08-15,17.33615
2020-08-16,16.06765
2020-08-17,22.19873
2020-08-18,35.09513
2020-08-19,29.80972
2020-08-20,34.6723
2020-08-21,31.92389
2020-08-22,20.71881
2020-08-23,27.69556
2020-08-24,41.43763
2020-08-25,36.78646
2020-08-26,37.63213
2020-08-27,27.69556
2020-08-28,33.19238
2020-08-29,21.98731
2020-08-30,20.71881
2020-08-31,33.82663
2020-09-01,31.50105
2020-09-02,31.28964
2020-09-03,30.44397
2020-09-04,26.84989
2020-09-05,16.49048
2020-09-06,18.60465
2020-09-07,32.76955
2020-09-08,27.90697
2020-09-09,31.50105
2020-09-10,28.11839
2020-09-11,30.23255
2020-09-12,21.35306
2020-09-13,14.79915
2020-09-14,34.88372
2020-09-15,38.68921
2020-09-16,38.4778
2020-09-17,36.36363
2020-09-18,33.82663
2020-09-19,17.54756
2020-09-20,20.50739
2020-09-21,30.65539
2020-09-22,30.23255
2020-09-23,28.75264
2020-09-24,27.69556
2020-09-25,20.50739
2020-09-26,12.47357
2020-09-27,15.64482
2020-09-28,25.58139
2020-09-29,22.19873
2020-09-30,18.39323
2020-10-01,21.77589
2020-10-02,22.19873
2020-10-03,14.79915
2020-10-04,23.04439
2020-10-05,42.49471
2020-10-06,35.09513
2020-10-07,31.92389
2020-10-08,28.11839
2020-10-09,19.2389
2020-10-10,19.87315
2020-10-11,18.60465
2020-10-12,35.51797
2020-10-13,42.28329
2020-10-14,36.78646
2020-10-15,31.71247
2020-10-16,35.51797
2020-10-17,22.62156
2020-10-18,18.60465
2020-10-19,33.82663
2020-10-20,37.84355
2020-10-21,35.30655
2020-10-22,36.78646
2020-10-23,36.57505
2020-10-24,20.29598
2020-10-25,23.67864
2020-10-26,43.55179
2020-10-27,43.76321
2020-10-28,46.30021
2020-10-29,44.18604
2020-10-30,29.5983
2020-10-31,20.93023
2020-11-01,18.60465
2020-11-02,37.84355
2020-11-03,37.42071
2020-11-04,31.71247
2020-11-05,31.50105
2020-11-06,26.84989
2020-11-07,19.2389
2020-11-08,21.14164
2020-11-09,42.07188
2020-11-10,42.49471
2020-11-11,36.36363
2020-11-12,30.23255
2020-11-13,32.98097
2020-11-14,18.39323
2020-11-15,21.77589
2020-11-16,41.43763
2020-11-17,43.12896
2020-11-18,34.6723
2020-11-19,43.55179
2020-11-20,35.9408
2020-11-21,28.54122
2020-11-22,28.75264
2020-11-23,56.87103
2020-11-24,45.24312
2020-11-25,47.78012
2020-11-26,44.60887
2020-11-27,35.9408
2020-11-28,25.15856
2020-11-29,27.69556
2020-11-30,43.12896
2020-12-01,43.55179
2020-12-02,36.78646
2020-12-03,39.32346
2020-12-04,37.42071
2020-12-05,28.11839
2020-12-06,31.28964
2020-12-07,57.50528
2020-12-08,50.73995
2020-12-09,44.60887
2020-12-10,50.73995
2020-12-11,45.87737
2020-12-12,31.50105
2020-12-13,25.15856
2020-12-14,38.4778
2020-12-15,38.05496
2020-12-16,49.26004
2020-12-17,40.59196
2020-12-18,38.05496
2020-12-19,34.24947
2020-12-20,30.02114
2020-12-21,44.82029
2020-12-22,48.41437
2020-12-23,48.8372
2020-12-24,34.46088
2020-12-25,31.28964
2020-12-26,32.98097
2020-12-27,30.8668
2020-12-28,56.65961
2020-12-29,49.47145
2020-12-30,49.47145
2020-12-31,41.64904
2021-01-01,35.09513
2021-01-02,37.2093
2021-01-03,34.24947
2021-01-04,53.48837
2021-01-05,53.06553
2021-01-06,46.51162
2021-01-07,41.22621
2021-01-08,37.63213
2021-01-09,28.54122
2021-01-10,26.84989
2021-01-11,51.58562
2021-01-12,47.99154
2021-01-13,47.14587
2021-01-14,50.31712
2021-01-15,40.59196
2021-01-16,39.11205
2021-01-17,32.98097
2021-01-18,52.85412
2021-01-19,55.81395
2021-01-20,53.9112
2021-01-21,50.73995
2021-01-22,42.28329
2021-01-23,32.55813
2021-01-24,31.71247
2021-01-25,43.55179
2021-01-26,44.82029
2021-01-27,46.72304
2021-01-28,49.04862
2021-01-29,45.03171
2021-01-30,33.19238
