date,다우존스
2020-03-20,15.93151
2020-03-21,10.75568
2020-03-22,2.54574
2020-03-23,9.99274
2020-03-24,19.21862
2020-03-25,17.88102
2020-03-26,17.75158
2020-03-27,12.66205
2020-03-28,8.1609
2020-03-29,1.99658
2020-03-30,5.5367
2020-03-31,8.23543
2020-04-01,8.70614
2020-04-02,9.1435
2020-04-03,7.14888
2020-04-04,3.98532
2020-04-05,1.19834
2020-04-06,3.62053
2020-04-07,7.21948
2020-04-08,6.3624
2020-04-09,5.85443
2020-04-10,4.65608
2020-04-11,2.22998
2020-04-12,0.98848
2020-04-13,2.66538
2020-04-14,4.7365
2020-04-15,3.54207
2020-04-16,3.93433
2020-04-17,3.82842
2020-04-18,2.11622
2020-04-19,0.85315
2020-04-20,2.20056
2020-04-21,4.61294
2020-04-22,4.61882
2020-04-23,3.52638
2020-04-24,3.01645
2020-04-25,1.61805
2020-04-26,0.54523
2020-04-27,1.25914
2020-04-28,2.39865
2020-04-29,2.44572
2020-04-30,2.03189
2020-05-01,1.87498
2020-05-02,1.83772
2020-05-03,0.52758
2020-05-04,1.47488
2020-05-05,2.49671
2020-05-06,2.4163
2020-05-07,2.67323
2020-05-08,2.10249
2020-05-09,1.30621
2020-05-10,0.44521
2020-05-11,1.20226
2020-05-12,2.20252
2020-05-13,2.46925
2020-05-14,3.09294
2020-05-15,2.61046
2020-05-16,1.16108
2020-05-17,0.40402
2020-05-18,1.21011
2020-05-19,2.86347
2020-05-20,2.99684
2020-05-21,2.34569
2020-05-22,2.16329
2020-05-23,1.30817
2020-05-24,0.44717
2020-05-25,0.99829
2020-05-26,2.02404
2020-05-27,2.76933
2020-05-28,2.83797
2020-05-29,2.0162
2020-05-30,1.17088
2020-05-31,0.36479
2020-06-01,1.05124
2020-06-02,1.73377
2020-06-03,1.98285
2020-06-04,2.22605
2020-06-05,2.29274
2020-06-06,1.46507
2020-06-07,0.42952
2020-06-08,1.11204
2020-06-09,2.1123
2020-06-10,2.22213
2020-06-11,3.07137
2020-06-12,7.36658
2020-06-13,3.14589
2020-06-14,0.60995
2020-06-15,3.35771
2020-06-16,5.00715
2020-06-17,3.3636
2020-06-18,2.92035
2020-06-19,2.41826
2020-06-20,1.48469
2020-06-21,0.45305
2020-06-22,1.12773
2020-06-23,2.25351
2020-06-24,2.22998
2020-06-25,4.17361
2020-06-26,3.23808
2020-06-27,2.39668
2020-06-28,0.66487
2020-06-29,2.27116
2020-06-30,3.99121
2020-07-01,2.96742
2020-07-02,2.86151
2020-07-03,2.27508
2020-07-04,0.91003
2020-07-05,0.45109
2020-07-06,1.16892
2020-07-07,2.22605
2020-07-08,2.35157
2020-07-09,2.3045
2020-07-10,2.44572
2020-07-11,1.34544
2020-07-12,0.3746
2020-07-13,0.99829
2020-07-14,2.68892
2020-07-15,2.53397
2020-07-16,2.25939
2020-07-17,1.73181
2020-07-18,0.97083
2020-07-19,0.3491
2020-07-20,0.86884
2020-07-21,1.90636
2020-07-22,1.78869
2020-07-23,1.66709
2020-07-24,1.93774
2020-07-25,0.95906
2020-07-26,0.33341
2020-07-27,0.81785
2020-07-28,1.45135
2020-07-29,1.68278
2020-07-30,1.82987
2020-07-31,1.90636
2020-08-01,0.95514
2020-08-02,0.2883
2020-08-03,0.69037
2020-08-04,1.2611
2020-08-05,1.25914
2020-08-06,1.61217
2020-08-07,1.6004
2020-08-08,1.06889
2020-08-09,0.47266
2020-08-10,1.06105
2020-08-11,2.54378
2020-08-12,2.50652
2020-08-13,2.12603
2020-08-14,1.8436
2020-08-15,1.12185
2020-08-16,0.39617
2020-08-17,1.03751
2020-08-18,2.32804
2020-08-19,2.23194
2020-08-20,2.18487
2020-08-21,2.43591
2020-08-22,1.13558
2020-08-23,0.57465
2020-08-24,1.06889
2020-08-25,2.5477
2020-08-26,3.01645
2020-08-27,2.66146
2020-08-28,2.14368
2020-08-29,1.07674
2020-08-30,0.4707
2020-08-31,1.09047
2020-09-01,2.10641
2020-09-02,1.79849
2020-09-03,2.46729
2020-09-04,6.40359
2020-09-05,2.76148
2020-09-06,0.73744
2020-09-07,1.44938
2020-09-08,3.04391
2020-09-09,4.47368
2020-09-10,3.48912
2020-09-11,3.09098
2020-09-12,1.85733
2020-09-13,0.60015
2020-09-14,1.38074
2020-09-15,2.03581
2020-09-16,2.19075
2020-09-17,2.97526
2020-09-18,2.37511
2020-09-19,1.27679
2020-09-20,0.45501
2020-09-21,1.95147
2020-09-22,4.72473
2020-09-23,3.99317
2020-09-24,4.63843
2020-09-25,3.7382
2020-09-26,1.5651
2020-09-27,0.4707
2020-09-28,1.12381
2020-09-29,1.76711
2020-09-30,1.31994
2020-10-01,1.39055
2020-10-02,2.71245
2020-10-03,2.5379
2020-10-04,0.78255
2020-10-05,1.12577
2020-10-06,1.90244
2020-10-07,2.48102
2020-10-08,1.74358
2020-10-09,1.23757
2020-10-10,0.84531
2020-10-11,0.34322
2020-10-12,0.85708
2020-10-13,1.65336
2020-10-14,1.60236
2020-10-15,1.91421
2020-10-16,1.77496
2020-10-17,1.25718
2020-10-18,0.48247
2020-10-19,0.99437
2020-10-20,2.0005
2020-10-21,1.79457
2020-10-22,1.83968
2020-10-23,1.59256
2020-10-24,0.98456
2020-10-25,0.33537
2020-10-26,1.1748
2020-10-27,2.68499
2020-10-28,2.83601
2020-10-29,3.75193
2020-10-30,2.44768
2020-10-31,1.49057
2020-11-01,0.4707
2020-11-02,1.21403
2020-11-03,2.0005
2020-11-04,2.23782
2020-11-05,2.18094
2020-11-06,1.87106
2020-11-07,1.18853
2020-11-08,0.43148
2020-11-09,3.42832
2020-11-10,5.20917
2020-11-11,3.5558
2020-11-12,2.46337
2020-11-13,1.88479
2020-11-14,1.2003
2020-11-15,0.44325
2020-11-16,1.14342
2020-11-17,2.47121
2020-11-18,2.10445
2020-11-19,2.13976
2020-11-20,1.69651
2020-11-21,1.05124
2020-11-22,0.41579
2020-11-23,0.73352
2020-11-24,1.8436
2020-11-25,2.45748
2020-11-26,2.05738
2020-11-27,1.48076
2020-11-28,0.87865
2020-11-29,0.4001
2020-11-30,0.88257
2020-12-01,1.86518
2020-12-02,1.62002
2020-12-03,1.64747
2020-12-04,1.54941
2020-12-05,0.89238
2020-12-06,0.42755
2020-12-07,0.80804
2020-12-08,1.86125
2020-12-09,1.7475
2020-12-10,2.02992
2020-12-11,1.71416
2020-12-12,1.12577
2020-12-13,0.47266
2020-12-14,0.93945
2020-12-15,1.87498
2020-12-16,1.74554
2020-12-17,1.75927
2020-12-18,1.56314
2020-12-19,1.05517
2020-12-20,0.42167
2020-12-21,1.165
2020-12-22,2.634
2020-12-23,2.29862
2020-12-24,1.67101
2020-12-25,0.95122
2020-12-26,0.41383
2020-12-27,0.37264
2020-12-28,0.76686
2020-12-29,1.5906
2020-12-30,1.45331
2020-12-31,1.11989
2021-01-01,0.64918
2021-01-02,0.40206
2021-01-03,0.42559
2021-01-04,0.87669
2021-01-05,2.68303
2021-01-06,2.15545
2021-01-07,3.02037
2021-01-08,2.31039
2021-01-09,1.40035
2021-01-10,0.64918
2021-01-11,1.38074
2021-01-12,2.7811
2021-01-13,2.37707
2021-01-14,2.28293
2021-01-15,2.2339
2021-01-16,1.60433
2021-01-17,0.60211
2021-01-18,1.19638
2021-01-19,2.09661
2021-01-20,1.97893
2021-01-21,2.32216
2021-01-22,2.15937
2021-01-23,1.34151
2021-01-24,0.59426
2021-01-25,1.07674
