date,IRP연금저축
2020-03-20,5.57184
2020-03-21,3.51906
2020-03-22,3.81231
2020-03-23,9.97067
2020-03-24,9.38416
2020-03-25,6.15835
2020-03-26,8.21114
2020-03-27,11.14369
2020-03-28,6.45161
2020-03-29,4.69208
2020-03-30,15.83577
2020-03-31,12.31671
2020-04-01,15.54252
2020-04-02,8.21114
2020-04-03,7.62463
2020-04-04,4.69208
2020-04-05,3.2258
2020-04-06,9.97067
2020-04-07,7.33137
2020-04-08,11.43695
2020-04-09,9.38416
2020-04-10,7.62463
2020-04-11,4.98533
2020-04-12,6.74486
2020-04-13,6.15835
2020-04-14,8.50439
2020-04-15,5.8651
2020-04-16,8.50439
2020-04-17,6.15835
2020-04-18,7.91788
2020-04-19,7.33137
2020-04-20,10.26392
2020-04-21,6.74486
2020-04-22,8.79765
2020-04-23,7.62463
2020-04-24,6.15835
2020-04-25,3.51906
2020-04-26,4.98533
2020-04-27,7.62463
2020-04-28,7.33137
2020-04-29,7.62463
2020-04-30,4.10557
2020-05-01,3.81231
2020-05-02,5.8651
2020-05-03,4.39882
2020-05-04,13.48973
2020-05-05,6.45161
2020-05-06,10.26392
2020-05-07,8.21114
2020-05-08,9.97067
2020-05-09,3.51906
2020-05-10,5.57184
2020-05-11,5.57184
2020-05-12,8.79765
2020-05-13,7.33137
2020-05-14,8.21114
2020-05-15,11.43695
2020-05-16,7.03812
2020-05-17,7.91788
2020-05-18,11.43695
2020-05-19,17.30205
2020-05-20,16.42228
2020-05-21,18.76832
2020-05-22,12.90322
2020-05-23,3.81231
2020-05-24,5.27859
2020-05-25,15.54252
2020-05-26,14.07624
2020-05-27,14.07624
2020-05-28,14.07624
2020-05-29,10.85043
2020-05-30,4.98533
2020-05-31,5.8651
2020-06-01,9.67741
2020-06-02,8.79765
2020-06-03,11.43695
2020-06-04,8.50439
2020-06-05,12.02346
2020-06-06,6.74486
2020-06-07,8.79765
2020-06-08,8.21114
2020-06-09,9.0909
2020-06-10,9.97067
2020-06-11,11.43695
2020-06-12,7.03812
2020-06-13,3.81231
2020-06-14,2.63929
2020-06-15,8.79765
2020-06-16,10.55718
2020-06-17,10.85043
2020-06-18,7.91788
2020-06-19,8.50439
2020-06-20,3.81231
2020-06-21,7.03812
2020-06-22,6.45161
2020-06-23,7.33137
2020-06-24,5.8651
2020-06-25,11.7302
2020-06-26,7.33137
2020-06-27,3.2258
2020-06-28,8.79765
2020-06-29,10.85043
2020-06-30,12.02346
2020-07-01,8.21114
2020-07-02,9.97067
2020-07-03,5.8651
2020-07-04,4.39882
2020-07-05,3.81231
2020-07-06,13.48973
2020-07-07,11.7302
2020-07-08,14.66275
2020-07-09,13.19648
2020-07-10,10.26392
