date,공공분양
2020-03-20,11.67749
2020-03-21,8.71242
2020-03-22,9.8294
2020-03-23,12.08367
2020-03-24,12.79447
2020-03-25,16.97806
2020-03-26,13.20064
2020-03-27,12.67262
2020-03-28,8.73273
2020-03-29,11.25101
2020-03-30,13.01787
2020-03-31,13.83021
2020-04-01,11.90089
2020-04-02,10.84484
2020-04-03,10.84484
2020-04-04,19.06986
2020-04-05,11.65718
2020-04-06,12.93663
2020-04-07,12.46953
2020-04-08,11.35255
2020-04-09,9.60601
2020-04-10,9.54508
2020-04-11,8.24532
2020-04-12,8.36718
2020-04-13,12.10398
2020-04-14,11.65718
2020-04-15,9.74817
2020-04-16,12.89601
2020-04-17,12.61169
2020-04-18,8.83428
2020-04-19,11.71811
2020-04-20,13.68805
2020-04-21,12.44922
2020-04-22,12.91632
2020-04-23,11.43379
2020-04-24,9.87002
2020-04-25,7.92038
2020-04-26,11.53533
2020-04-27,14.05361
2020-04-28,13.58651
2020-04-29,11.19008
2020-04-30,9.52477
2020-05-01,10.31681
2020-05-02,8.83428
2020-05-03,10.25588
2020-05-04,13.16003
2020-05-05,18.58245
2020-05-06,23.92363
2020-05-07,20.69455
2020-05-08,15.51584
2020-05-09,11.75873
2020-05-10,11.79935
2020-05-11,24.28919
2020-05-12,20.26807
2020-05-13,15.25182
2020-05-14,15.96263
2020-05-15,14.86596
2020-05-16,11.19008
2020-05-17,14.31762
2020-05-18,21.44597
2020-05-19,18.66368
2020-05-20,17.85134
2020-05-21,17.34362
2020-05-22,15.63769
2020-05-23,10.66206
2020-05-24,13.89114
2020-05-25,17.42485
2020-05-26,45.51177
2020-05-27,46.85215
2020-05-28,27.41673
2020-05-29,19.82128
2020-05-30,12.22583
2020-05-31,20.43054
2020-06-01,24.93907
2020-06-02,38.01787
2020-06-03,31.41754
2020-06-04,25.52802
2020-06-05,21.5069
2020-06-06,18.80584
2020-06-07,18.03411
2020-06-08,24.18765
2020-06-09,24.18765
2020-06-10,24.24857
2020-06-11,20.22745
2020-06-12,17.303
2020-06-13,15.21121
2020-06-14,18.29813
2020-06-15,31.76279
2020-06-16,26.52315
2020-06-17,21.54752
2020-06-18,20.30869
2020-06-19,28.16815
2020-06-20,14.01299
2020-06-21,14.15515
2020-06-22,20.22745
2020-06-23,17.46547
2020-06-24,20.69455
2020-06-25,18.9277
2020-06-26,23.25345
2020-06-27,15.23151
2020-06-28,17.14053
2020-06-29,23.35499
2020-06-30,22.29894
2020-07-01,22.64419
2020-07-02,23.63931
2020-07-03,20.5727
2020-07-04,15.31275
2020-07-05,21.18196
2020-07-06,24.47197
2020-07-07,23.33468
2020-07-08,24.45166
2020-07-09,20.95857
2020-07-10,18.41998
2020-07-11,15.63769
2020-07-12,16.99837
2020-07-13,22.07554
2020-07-14,21.2835
2020-07-15,20.18683
2020-07-16,17.89195
2020-07-17,19.00893
2020-07-18,14.13484
2020-07-19,14.98781
2020-07-20,22.15678
2020-07-21,23.92363
2020-07-22,20.71486
2020-07-23,17.97319
2020-07-24,16.34849
2020-07-25,13.28188
2020-07-26,16.5922
2020-07-27,20.04467
2020-07-28,23.88302
2020-07-29,24.51259
2020-07-30,19.1714
2020-07-31,17.40454
2020-08-01,15.12997
2020-08-02,16.20633
2020-08-03,23.67993
2020-08-04,100.0
2020-08-05,43.07473
2020-08-06,27.1121
2020-08-07,26.62469
2020-08-08,19.04955
2020-08-09,21.16165
2020-08-10,30.6255
2020-08-11,33.16409
2020-08-12,30.8489
2020-08-13,26.03574
2020-08-14,21.85215
2020-08-15,17.07961
2020-08-16,14.70349
2020-08-17,15.658
2020-08-18,18.13566
2020-08-19,17.9935
2020-08-20,21.46628
2020-08-21,15.61738
2020-08-22,13.28188
2020-08-23,13.62713
2020-08-24,17.44516
2020-08-25,17.26238
2020-08-26,20.41023
2020-08-27,18.52152
2020-08-28,14.29731
2020-08-29,12.10398
2020-08-30,13.54589
2020-08-31,20.18683
2020-09-01,26.03574
2020-09-02,21.44597
2020-09-03,17.91226
2020-09-04,18.25751
2020-09-05,18.15597
2020-09-06,18.68399
2020-09-07,22.05523
2020-09-08,76.54346
2020-09-09,51.645
2020-09-10,25.30463
2020-09-11,18.86677
2020-09-12,16.69374
2020-09-13,15.57676
2020-09-14,18.29813
2020-09-15,19.3948
2020-09-16,17.48578
2020-09-17,15.31275
2020-09-18,19.4151
2020-09-19,19.74004
2020-09-20,16.87652
2020-09-21,20.7961
2020-09-22,17.81072
2020-09-23,16.24695
2020-09-24,15.92201
2020-09-25,15.51584
2020-09-26,10.987
2020-09-27,12.06336
2020-09-28,17.74979
2020-09-29,16.89683
2020-09-30,13.24126
2020-10-01,18.19658
2020-10-02,15.31275
2020-10-03,20.36961
2020-10-04,20.04467
2020-10-05,27.37611
2020-10-06,24.35012
2020-10-07,24.12672
2020-10-08,22.52233
2020-10-09,16.04386
2020-10-10,16.81559
2020-10-11,17.18115
2020-10-12,24.79691
2020-10-13,22.29894
2020-10-14,29.46791
2020-10-15,22.60357
2020-10-16,17.26238
2020-10-17,13.85052
2020-10-18,16.49065
2020-10-19,32.35174
2020-10-20,33.91551
2020-10-21,34.46385
2020-10-22,31.74248
2020-10-23,22.52233
2020-10-24,14.86596
2020-10-25,16.47034
2020-10-26,23.88302
2020-10-27,22.29894
2020-10-28,23.23314
2020-10-29,19.47603
2020-10-30,17.56701
2020-10-31,12.75385
2020-11-01,16.61251
2020-11-02,31.33631
2020-11-03,32.0268
2020-11-04,25.85296
2020-11-05,22.25832
2020-11-06,21.2835
2020-11-07,19.23233
2020-11-08,16.73436
2020-11-09,26.54346
2020-11-10,25.99512
2020-11-11,26.48253
2020-11-12,33.77335
2020-11-13,26.19821
2020-11-14,20.12591
2020-11-15,21.52721
2020-11-16,30.46303
2020-11-17,29.85377
2020-11-18,34.42323
2020-11-19,90.17059
2020-11-20,61.33225
2020-11-21,32.10804
2020-11-22,33.44841
2020-11-23,46.87246
2020-11-24,31.7831
2020-11-25,28.37124
2020-11-26,27.90414
2020-11-27,28.22908
2020-11-28,19.8822
2020-11-29,25.12185
2020-11-30,56.316
2020-12-01,38.3225
2020-12-02,33.54995
2020-12-03,28.29
2020-12-04,23.619
2020-12-05,20.5727
2020-12-06,22.01462
2020-12-07,27.80259
2020-12-08,28.69618
2020-12-09,33.6515
2020-12-10,78.67587
