date,아시아나항공주가
2020-03-20,35.51948
2020-03-21,7.23638
2020-03-22,5.8689
2020-03-23,34.24498
2020-03-24,32.31192
2020-03-25,35.43813
2020-03-26,37.16975
2020-03-27,31.85868
2020-03-28,6.10134
2020-03-29,4.78035
2020-03-30,25.21499
2020-03-31,24.49446
2020-04-01,29.40652
2020-04-02,25.92004
2020-04-03,22.06941
2020-04-04,5.76431
2020-04-05,3.82738
2020-04-06,23.14248
2020-04-07,26.05562
2020-04-08,23.58797
2020-04-09,26.77616
2020-04-10,27.48895
2020-04-11,5.21422
2020-04-12,3.78476
2020-04-13,21.38761
2020-04-14,21.02734
2020-04-15,4.0908
2020-04-16,17.48663
2020-04-17,23.57248
2020-04-18,4.33485
2020-04-19,5.36917
2020-04-20,27.17905
2020-04-21,28.48454
2020-04-22,47.45099
2020-04-23,32.84264
2020-04-24,26.02463
2020-04-25,4.96242
2020-04-26,3.36251
2020-04-27,23.76229
2020-04-28,21.40311
2020-04-29,21.13969
2020-04-30,4.88107
2020-05-01,4.42782
2020-05-02,2.21197
2020-05-03,2.56449
2020-05-04,18.64492
2020-05-05,3.31603
2020-05-06,17.9205
2020-05-07,16.7196
2020-05-08,14.71682
2020-05-09,2.2817
2020-05-10,2.20423
2020-05-11,14.69745
2020-05-12,13.60889
2020-05-13,15.11195
2020-05-14,12.9697
2020-05-15,14.48826
2020-05-16,2.96738
2020-05-17,1.88657
2020-05-18,13.33384
2020-05-19,20.14798
2020-05-20,15.93321
2020-05-21,15.01123
2020-05-22,12.42349
2020-05-23,2.03378
2020-05-24,1.65414
2020-05-25,13.15952
2020-05-26,14.40691
2020-05-27,15.82087
2020-05-28,16.88231
2020-05-29,14.36429
2020-05-30,2.07639
2020-05-31,1.60378
2020-06-01,14.13961
2020-06-02,14.47276
2020-06-03,17.5951
2020-06-04,18.32726
2020-06-05,21.60068
2020-06-06,3.19981
2020-06-07,2.59936
2020-06-08,18.09095
2020-06-09,22.34059
2020-06-10,20.64771
2020-06-11,20.16735
2020-06-12,16.01456
2020-06-13,1.97179
2020-06-14,1.47594
2020-06-15,16.64987
2020-06-16,15.99132
2020-06-17,14.097
2020-06-18,12.86511
2020-06-19,12.34213
2020-06-20,1.55729
2020-06-21,1.30161
2020-06-22,11.8734
2020-06-23,12.59781
2020-06-24,12.13682
2020-06-25,11.30006
2020-06-26,11.78042
2020-06-27,1.91756
2020-06-28,1.36747
2020-06-29,10.8352
2020-06-30,11.087
2020-07-01,9.93646
2020-07-02,9.49484
2020-07-03,10.7461
2020-07-04,1.63089
2020-07-05,1.35197
2020-07-06,10.87394
2020-07-07,10.18826
2020-07-08,9.19656
2020-07-09,8.78205
2020-07-10,7.9453
2020-07-11,1.30549
2020-07-12,1.32486
2020-07-13,9.58782
2020-07-14,8.88277
2020-07-15,9.33601
2020-07-16,9.3825
2020-07-17,8.3443
2020-07-18,1.32098
2020-07-19,1.04981
2020-07-20,8.82466
2020-07-21,9.76601
2020-07-22,8.63097
2020-07-23,9.11133
2020-07-24,8.45665
2020-07-25,1.47594
2020-07-26,1.89044
2020-07-27,10.91655
2020-07-28,30.20841
2020-07-29,39.50182
2020-07-30,25.54815
2020-07-31,19.84969
2020-08-01,2.63035
2020-08-02,2.51026
2020-08-03,15.99907
2020-08-04,20.07825
2020-08-05,16.38645
2020-08-06,15.18168
2020-08-07,21.58906
2020-08-08,3.28116
2020-08-09,3.03711
2020-08-10,18.11807
2020-08-11,20.19446
2020-08-12,19.8032
2020-08-13,16.74672
2020-08-14,13.11303
2020-08-15,2.14999
2020-08-16,1.61152
2020-08-17,3.35089
2020-08-18,13.0743
2020-08-19,11.92376
2020-08-20,11.63709
2020-08-21,11.61772
2020-08-22,1.59603
2020-08-23,1.34035
2020-08-24,10.38196
2020-08-25,10.98241
2020-08-26,23.15797
2020-08-27,18.57519
2020-08-28,14.91051
2020-08-29,1.9408
2020-08-30,1.92143
2020-08-31,12.73727
2020-09-01,11.6952
2020-09-02,16.06492
2020-09-03,16.84357
2020-09-04,15.49159
2020-09-05,2.44053
2020-09-06,2.43278
2020-09-07,14.77492
2020-09-08,13.61276
2020-09-09,13.69799
2020-09-10,13.26024
2020-09-11,19.1369
2020-09-12,6.03548
2020-09-13,2.93251
2020-09-14,14.65483
2020-09-15,12.93096
2020-09-16,12.46222
2020-09-17,10.88169
2020-09-18,9.86286
2020-09-19,1.67351
2020-09-20,1.34035
2020-09-21,9.23529
2020-09-22,8.8789
2020-09-23,8.81692
2020-09-24,8.90214
2020-09-25,11.22646
2020-09-26,1.37522
2020-09-27,1.32486
2020-09-28,9.85124
2020-09-29,8.25521
2020-09-30,1.28224
2020-10-01,0.9917
2020-10-02,1.04207
2020-10-03,1.11567
2020-10-04,1.05756
2020-10-05,9.61881
2020-10-06,13.82583
2020-10-07,11.54024
2020-10-08,11.21097
2020-10-09,1.97567
2020-10-10,1.259
2020-10-11,1.46044
2020-10-12,13.83745
2020-10-13,11.3543
2020-10-14,10.64926
2020-10-15,9.91322
2020-10-16,9.23142
2020-10-17,1.34423
2020-10-18,1.04207
2020-10-19,9.4716
2020-10-20,8.68908
2020-10-21,9.11133
2020-10-22,8.61547
2020-10-23,14.80204
2020-10-24,2.07251
2020-10-25,2.57224
2020-10-26,12.56295
2020-10-27,9.1152
2020-10-28,9.52196
2020-10-29,8.46827
2020-10-30,7.7516
2020-10-31,1.24738
