date,KODEX글로벌비만치료제TOP2PLUSETF
2024-02-07,2.36686
2024-02-08,4.43786
2024-02-11,1.47928
2024-02-12,2.66272
2024-02-13,9.46745
2024-02-14,24.85207
2024-02-15,19.82248
2024-02-16,61.53846
2024-02-17,34.91124
2024-02-18,23.07692
2024-02-19,44.67455
2024-02-20,31.95266
2024-02-21,41.42011
2024-02-22,33.43195
2024-02-23,30.76923
2024-02-24,17.75147
2024-02-25,21.59763
2024-02-26,31.6568
2024-02-27,36.68639
2024-02-28,100.0
2024-02-29,63.3136
2024-03-01,31.06508
2024-03-02,30.76923
2024-03-03,23.66863
2024-03-04,50.59171
2024-03-05,33.72781
2024-03-06,22.4852
2024-03-07,35.2071
2024-03-08,41.71597
2024-03-09,17.15976
2024-03-10,12.42603
2024-03-11,17.15976
2024-03-12,14.20118
2024-03-13,15.97633
2024-03-14,21.00591
2024-03-15,11.83431
2024-03-16,7.10059
2024-03-17,10.65088
2024-03-18,12.72189
2024-03-19,18.04733
2024-03-20,13.90532
