date,적금이율높은곳
2020-11-09,4.00616
2020-11-10,4.62249
2020-11-11,2.15716
2020-11-12,3.23574
2020-11-13,2.92758
2020-11-14,2.15716
2020-11-15,1.54083
2020-11-16,3.23574
2020-11-17,3.54391
2020-11-18,5.08474
2020-11-19,5.23882
2020-11-20,4.16024
2020-11-21,3.54391
2020-11-22,4.77657
2020-11-23,8.93682
2020-11-24,5.23882
2020-11-25,10.0154
2020-11-26,3.54391
2020-11-27,4.77657
2020-11-28,3.08166
2020-11-29,2.46533
2020-11-30,8.01232
2020-12-01,9.39907
2020-12-02,7.85824
2020-12-03,9.0909
2020-12-04,5.70107
2020-12-05,5.39291
2020-12-06,5.08474
2020-12-07,6.47149
2020-12-08,7.24191
2020-12-09,7.08782
2020-12-10,7.70416
2020-12-11,8.01232
2020-12-12,2.15716
2020-12-13,3.08166
2020-12-14,5.85516
2020-12-15,4.93066
2020-12-16,3.85208
2020-12-17,5.08474
2020-12-18,5.70107
2020-12-19,3.54391
2020-12-20,1.07858
2020-12-21,5.70107
2020-12-22,6.77966
2020-12-23,6.62557
2020-12-24,7.08782
2020-12-25,6.00924
2020-12-26,5.08474
2020-12-27,5.39291
2020-12-28,11.55624
2020-12-29,17.4114
2020-12-30,14.6379
2020-12-31,14.94607
2021-01-01,9.86132
2021-01-02,10.9399
2021-01-03,13.25115
2021-01-04,23.26656
2021-01-05,22.49614
2021-01-06,24.03697
2021-01-07,14.17565
2021-01-08,18.64406
2021-01-09,10.16949
2021-01-10,10.0154
2021-01-11,24.80739
2021-01-12,10.78582
2021-01-13,16.02465
2021-01-14,16.02465
2021-01-15,17.25731
2021-01-16,9.86132
2021-01-17,13.09707
2021-01-18,14.32973
2021-01-19,14.32973
2021-01-20,20.80123
2021-01-21,16.64098
2021-01-22,19.2604
2021-01-23,11.40215
2021-01-24,10.63174
2021-01-25,26.65639
2021-01-26,21.10939
2021-01-27,17.25731
2021-01-28,18.18181
2021-01-29,20.95531
2021-01-30,9.70724
2021-01-31,8.78274
2021-02-01,19.72265
2021-02-02,19.10631
2021-02-03,19.87673
2021-02-04,19.10631
2021-02-05,20.03081
2021-02-06,7.39599
2021-02-07,11.40215
2021-02-08,16.33281
2021-02-09,16.64098
2021-02-10,12.7889
2021-02-11,8.47457
2021-02-12,6.93374
2021-02-13,7.08782
2021-02-14,11.71032
2021-02-15,22.65023
2021-02-16,22.49614
2021-02-17,18.3359
2021-02-18,19.56856
2021-02-19,16.02465
2021-02-20,9.0909
2021-02-21,11.24807
2021-02-22,18.48998
2021-02-23,16.64098
2021-02-24,16.33281
2021-02-25,16.4869
2021-02-26,16.4869
2021-02-27,8.47457
2021-02-28,5.85516
2021-03-01,15.25423
2021-03-02,15.25423
2021-03-03,14.02157
2021-03-04,13.09707
2021-03-05,11.55624
2021-03-06,7.39599
2021-03-07,9.86132
2021-03-08,14.6379
2021-03-09,15.10015
2021-03-10,16.79506
2021-03-11,16.94915
2021-03-12,9.24499
2021-03-13,4.62249
2021-03-14,8.01232
2021-03-15,14.02157
2021-03-16,13.7134
2021-03-17,14.02157
2021-03-18,11.8644
2021-03-19,14.32973
2021-03-20,8.47457
2021-03-21,8.1664
2021-03-22,13.09707
2021-03-23,11.55624
2021-03-24,17.56548
2021-03-25,16.94915
2021-03-26,13.09707
2021-03-27,6.00924
2021-03-28,8.01232
2021-03-29,12.63482
2021-03-30,16.4869
2021-03-31,13.55932
2021-04-01,19.72265
2021-04-02,9.86132
2021-04-03,4.77657
2021-04-04,7.39599
2021-04-05,12.7889
2021-04-06,10.32357
2021-04-07,11.40215
2021-04-08,12.94298
2021-04-09,16.64098
2021-04-10,6.77966
2021-04-11,6.93374
2021-04-12,12.94298
2021-04-13,15.10015
2021-04-14,12.94298
2021-04-15,8.47457
2021-04-16,12.7889
2021-04-17,6.31741
2021-04-18,6.16332
2021-04-19,14.17565
2021-04-20,14.48382
2021-04-21,14.17565
2021-04-22,10.0154
2021-04-23,12.94298
2021-04-24,6.00924
2021-04-25,7.39599
2021-04-26,12.63482
2021-04-27,13.7134
2021-04-28,13.25115
2021-04-29,11.55624
2021-04-30,11.09399
2021-05-01,5.54699
2021-05-02,7.70416
2021-05-03,11.09399
2021-05-04,12.01848
2021-05-05,7.85824
2021-05-06,12.94298
2021-05-07,10.63174
2021-05-08,4.93066
2021-05-09,4.46841
2021-05-10,12.17257
2021-05-11,13.55932
2021-05-12,10.0154
2021-05-13,9.39907
2021-05-14,8.01232
2021-05-15,4.46841
2021-05-16,6.93374
2021-05-17,10.78582
2021-05-18,11.55624
2021-05-19,6.31741
2021-05-20,13.7134
2021-05-21,13.40523
2021-05-22,7.24191
2021-05-23,8.32049
2021-05-24,13.09707
2021-05-25,17.10323
2021-05-26,15.25423
2021-05-27,12.7889
2021-05-28,12.01848
2021-05-29,3.38983
2021-05-30,5.08474
2021-05-31,15.71648
2021-06-01,14.02157
2021-06-02,12.63482
2021-06-03,12.32665
2021-06-04,11.40215
2021-06-05,4.77657
2021-06-06,5.08474
2021-06-07,12.01848
2021-06-08,10.78582
2021-06-09,10.32357
2021-06-10,12.7889
2021-06-11,8.78274
2021-06-12,4.16024
2021-06-13,3.23574
2021-06-14,11.09399
2021-06-15,13.25115
2021-06-16,7.85824
2021-06-17,8.01232
2021-06-18,10.0154
2021-06-19,2.31124
2021-06-20,3.38983
2021-06-21,11.40215
2021-06-22,13.09707
2021-06-23,11.55624
2021-06-24,10.47765
2021-06-25,13.7134
2021-06-26,5.08474
2021-06-27,4.77657
2021-06-28,12.32665
2021-06-29,14.17565
2021-06-30,11.8644
2021-07-01,11.24807
2021-07-02,8.93682
2021-07-03,4.16024
2021-07-04,5.70107
2021-07-05,13.7134
2021-07-06,10.78582
2021-07-07,9.0909
2021-07-08,10.78582
2021-07-09,8.01232
2021-07-10,5.70107
2021-07-11,6.31741
2021-07-12,10.16949
2021-07-13,10.9399
2021-07-14,10.63174
2021-07-15,9.70724
2021-07-16,10.78582
2021-07-17,6.62557
2021-07-18,7.24191
2021-07-19,11.71032
2021-07-20,6.93374
2021-07-21,8.93682
2021-07-22,13.86748
2021-07-23,9.0909
2021-07-24,4.77657
2021-07-25,7.85824
2021-07-26,9.86132
2021-07-27,3.08166
2021-07-28,9.0909
2021-07-29,7.85824
2021-07-30,7.39599
2021-07-31,6.31741
2021-08-01,6.47149
2021-08-02,6.77966
2021-08-03,11.24807
2021-08-04,10.32357
2021-08-05,5.85516
2021-08-06,8.62865
2021-08-07,2.61941
2021-08-08,0.77041
2021-08-09,1.54083
2021-08-10,2.00308
2021-08-11,1.84899
2021-08-12,1.07858
2021-08-13,2.61941
2021-08-14,1.54083
2021-08-17,3.69799
2021-08-18,1.38674
2021-08-19,1.84899
2021-08-20,0.77041
2021-08-21,1.69491
2021-08-23,2.00308
2021-08-24,2.15716
2021-08-25,13.25115
2021-08-26,14.94607
2021-08-27,2.61941
2021-08-28,1.84899
2021-08-29,0.92449
2021-08-30,0.92449
2021-08-31,3.54391
2021-09-01,2.92758
2021-09-02,0.92449
2021-09-04,0.77041
2021-09-05,0.92449
2021-09-06,2.92758
2021-09-07,0.92449
2021-09-08,2.00308
2021-09-09,1.23266
2021-09-10,1.54083
2021-09-11,1.38674
2021-09-12,0.92449
2021-09-13,2.15716
2021-09-14,0.92449
2021-09-15,1.23266
2021-09-16,0.92449
2021-09-17,2.61941
2021-09-18,1.23266
2021-09-19,0.77041
2021-09-21,1.69491
2021-09-22,1.69491
2021-09-23,4.00616
2021-09-24,1.54083
2021-09-26,1.07858
2021-09-27,4.31432
2021-09-28,2.15716
2021-09-29,3.85208
2021-09-30,2.46533
2021-10-01,0.77041
2021-10-02,1.07858
2021-10-03,1.38674
2021-10-05,0.92449
2021-10-06,1.38674
2021-10-07,3.23574
2021-10-08,0.77041
2021-10-09,0.77041
2021-10-12,2.00308
2021-10-13,3.23574
2021-10-14,3.23574
2021-10-15,1.84899
2021-10-16,0.77041
2021-10-17,1.07858
2021-10-18,3.38983
2021-10-21,1.07858
2021-10-23,0.77041
2021-10-24,0.92449
2021-10-25,2.00308
2021-10-26,0.77041
2021-10-27,1.54083
2021-10-28,2.61941
2021-10-29,3.38983
2021-10-30,0.77041
2021-10-31,1.69491
2021-11-01,1.84899
2021-11-02,3.08166
2021-11-04,1.38674
2021-11-05,1.07858
2021-11-06,0.92449
2021-11-07,2.46533
2021-11-08,1.38674
2021-11-09,1.38674
2021-11-10,1.23266
2021-11-12,1.38674
2021-11-15,2.31124
2021-11-16,1.84899
2021-11-17,0.77041
2021-11-18,1.54083
2021-11-19,2.31124
2021-11-20,1.23266
2021-11-21,1.54083
2021-11-22,2.46533
2021-11-23,1.84899
2021-11-24,2.00308
2021-11-25,3.08166
2021-11-26,2.77349
2021-11-28,2.31124
2021-11-29,2.77349
2021-11-30,1.38674
2021-12-01,3.08166
2021-12-02,2.00308
2021-12-04,1.23266
2021-12-05,1.84899
2021-12-06,2.46533
2021-12-07,2.77349
2021-12-08,2.15716
2021-12-09,3.54391
2021-12-10,2.61941
2021-12-11,1.54083
2021-12-12,1.84899
2021-12-13,0.92449
2021-12-14,2.46533
2021-12-15,3.23574
2021-12-16,2.31124
2021-12-17,1.07858
2021-12-18,2.15716
2021-12-19,1.69491
2021-12-20,3.54391
2021-12-21,2.46533
2021-12-23,1.84899
2021-12-24,3.08166
2021-12-25,1.07858
2021-12-27,3.23574
2021-12-28,3.69799
2021-12-29,2.46533
2021-12-30,2.46533
2021-12-31,1.69491
2022-01-01,1.54083
2022-01-02,2.46533
2022-01-03,1.38674
2022-01-04,3.23574
2022-01-05,3.23574
2022-01-06,3.38983
2022-01-07,2.77349
2022-01-08,1.69491
2022-01-09,1.54083
2022-01-10,4.31432
2022-01-11,4.93066
2022-01-12,4.93066
2022-01-13,2.61941
2022-01-14,2.31124
2022-01-15,2.92758
2022-01-16,3.23574
2022-01-17,5.85516
2022-01-18,3.85208
2022-01-19,3.08166
2022-01-20,3.08166
2022-01-21,3.08166
2022-01-22,7.24191
2022-01-23,12.32665
2022-01-24,21.57164
2022-01-25,26.34822
2022-01-26,22.34206
2022-01-27,23.72881
2022-01-28,18.95223
2022-01-29,14.02157
2022-01-30,10.78582
2022-01-31,9.55315
2022-02-01,15.10015
2022-02-02,20.49306
2022-02-03,30.50847
2022-02-04,11.09399
2022-02-05,16.33281
2022-02-06,4.46841
2022-02-07,27.58089
2022-02-08,25.57781
2022-02-09,30.2003
2022-02-10,29.89214
2022-02-11,24.65331
2022-02-12,14.48382
2022-02-13,15.87057
2022-02-14,26.34822
2022-02-15,25.88597
2022-02-16,24.03697
2022-02-17,23.26656
2022-02-18,21.57164
2022-02-19,11.71032
2022-02-20,20.33898
2022-02-21,39.59938
2022-02-22,37.28813
2022-02-23,35.43913
2022-02-24,33.59013
2022-02-25,25.73189
2022-02-26,14.94607
2022-02-27,16.79506
2022-02-28,31.1248
2022-03-01,21.10939
2022-03-02,24.65331
2022-03-03,23.72881
2022-03-04,25.42372
2022-03-05,9.55315
2022-03-06,14.79198
2022-03-07,20.95531
2022-03-08,21.41756
2022-03-09,10.47765
2022-03-10,19.56856
2022-03-11,19.56856
2022-03-12,12.94298
2022-03-13,11.09399
2022-03-14,19.41448
2022-03-15,21.26348
2022-03-16,19.56856
2022-03-17,19.2604
2022-03-18,17.10323
2022-03-19,9.24499
2022-03-20,1.38674
2022-03-21,6.47149
2022-03-22,2.92758
2022-03-23,3.08166
2022-03-24,2.92758
2022-03-25,4.16024
2022-03-26,1.38674
2022-03-27,1.84899
2022-03-28,3.54391
2022-03-29,2.46533
2022-03-30,8.1664
2022-03-31,11.40215
2022-04-01,6.77966
2022-04-02,2.77349
2022-04-03,3.23574
2022-04-04,7.39599
2022-04-05,10.47765
2022-04-06,4.62249
2022-04-07,8.01232
2022-04-08,5.70107
2022-04-09,3.23574
2022-04-10,4.16024
2022-04-11,8.93682
2022-04-12,5.39291
2022-04-13,9.24499
2022-04-14,7.24191
2022-04-15,7.08782
2022-04-16,8.1664
2022-04-17,5.70107
2022-04-18,11.40215
2022-04-19,11.40215
2022-04-20,11.40215
2022-04-21,9.86132
2022-04-22,11.55624
2022-04-23,6.77966
2022-04-24,6.00924
2022-04-25,11.8644
2022-04-26,12.48073
2022-04-27,10.78582
2022-04-28,11.71032
2022-04-29,10.32357
2022-04-30,4.16024
2022-05-01,6.47149
2022-05-02,9.86132
2022-05-03,12.01848
2022-05-04,12.32665
2022-05-05,5.23882
2022-05-06,11.24807
2022-05-07,3.23574
2022-05-08,9.24499
2022-05-09,11.09399
2022-05-10,14.94607
2022-05-11,13.7134
2022-05-12,14.6379
2022-05-13,12.63482
2022-05-14,2.92758
2022-05-15,6.62557
2022-05-16,8.1664
2022-05-17,13.25115
2022-05-18,8.78274
2022-05-19,6.47149
2022-05-20,8.01232
2022-05-21,3.38983
2022-05-22,3.08166
2022-05-23,13.55932
2022-05-24,17.56548
2022-05-25,23.57473
2022-05-26,7.55007
2022-05-27,10.0154
2022-05-28,3.85208
2022-05-29,6.31741
2022-05-30,13.55932
2022-05-31,10.9399
2022-06-01,9.0909
2022-06-02,24.19106
2022-06-03,28.19722
2022-06-04,11.09399
2022-06-05,10.9399
2022-06-06,13.86748
2022-06-07,10.32357
2022-06-08,22.95839
2022-06-09,23.26656
2022-06-10,24.34514
2022-06-11,12.7889
2022-06-12,9.86132
2022-06-13,20.18489
2022-06-14,25.57781
2022-06-15,28.3513
2022-06-16,27.88906
2022-06-17,24.03697
2022-06-18,13.7134
2022-06-19,14.94607
2022-06-20,26.50231
2022-06-21,23.88289
2022-06-22,26.96456
2022-06-23,27.73497
2022-06-24,25.73189
2022-06-25,14.02157
2022-06-26,12.32665
2022-06-27,30.97072
2022-06-28,21.87981
2022-06-29,28.19722
2022-06-30,25.42372
2022-07-01,23.88289
2022-07-02,10.47765
2022-07-03,15.71648
2022-07-04,22.03389
2022-07-05,23.72881
2022-07-06,17.71956
2022-07-07,19.72265
2022-07-08,23.88289
2022-07-09,10.9399
2022-07-10,8.78274
2022-07-11,24.03697
2022-07-12,23.26656
2022-07-13,32.35747
2022-07-14,36.20955
2022-07-15,29.2758
2022-07-16,22.49614
2022-07-17,19.2604
2022-07-18,40.67796
2022-07-19,33.28197
2022-07-20,33.8983
2022-07-21,36.6718
2022-07-22,33.28197
2022-07-23,13.55932
2022-07-24,19.2604
2022-07-25,37.13405
2022-07-26,36.51771
2022-07-27,33.59013
2022-07-28,28.50539
2022-07-29,28.50539
2022-07-30,15.71648
2022-07-31,22.34206
2022-08-01,40.06163
2022-08-02,32.9738
2022-08-03,33.59013
2022-08-04,25.73189
2022-08-05,28.96764
2022-08-06,15.5624
2022-08-07,18.48998
2022-08-08,30.2003
2022-08-09,28.19722
2022-08-10,34.05238
2022-08-11,27.58089
2022-08-12,29.89214
2022-08-13,12.01848
2022-08-14,15.40832
2022-08-15,23.11248
2022-08-16,30.97072
2022-08-17,30.81664
2022-08-18,31.89522
2022-08-19,22.65023
2022-08-20,12.63482
2022-08-21,16.33281
2022-08-22,34.05238
2022-08-23,30.81664
2022-08-24,26.34822
2022-08-25,34.05238
2022-08-26,26.96456
2022-08-27,14.32973
2022-08-28,17.4114
2022-08-29,28.65947
2022-08-30,29.12172
2022-08-31,31.74114
2022-09-01,26.50231
2022-09-02,24.80739
2022-09-03,13.09707
2022-09-04,14.02157
2022-09-05,27.27272
2022-09-06,23.11248
2022-09-07,23.11248
2022-09-08,22.03389
2022-09-09,9.70724
2022-09-10,11.8644
2022-09-11,11.8644
2022-09-12,20.49306
2022-09-13,43.75963
2022-09-14,34.66872
2022-09-15,38.36671
2022-09-16,29.2758
2022-09-17,15.87057
2022-09-18,19.41448
2022-09-19,29.12172
2022-09-20,27.58089
2022-09-21,27.58089
2022-09-22,31.89522
2022-09-23,35.90138
2022-09-24,18.95223
2022-09-25,21.10939
2022-09-26,31.89522
2022-09-27,32.9738
2022-09-28,29.73805
2022-09-29,36.82588
2022-09-30,39.59938
2022-10-01,26.34822
2022-10-02,22.03389
2022-10-03,29.42989
2022-10-04,45.45454
2022-10-05,34.8228
2022-10-06,38.82896
2022-10-07,44.99229
2022-10-08,28.96764
2022-10-09,26.81047
2022-10-10,39.90755
2022-10-11,54.69953
2022-10-12,68.56702
2022-10-13,85.51617
2022-10-14,83.51309
2022-10-15,44.68412
2022-10-16,58.85978
