date,INDEX
2020-03-20,16.07204
2020-03-21,9.82847
2020-03-22,10.70325
2020-03-23,17.61578
2020-03-24,18.62778
2020-03-25,18.16466
2020-03-26,18.52487
2020-03-27,15.24871
2020-03-28,10.0343
2020-03-29,12.21269
2020-03-30,17.82161
2020-03-31,17.61578
2020-04-01,17.65008
2020-04-02,16.98113
2020-04-03,15.09433
2020-04-04,10.48027
2020-04-05,11.40651
2020-04-06,19.74271
2020-04-07,19.34819
2020-04-08,17.40994
2020-04-09,16.98113
2020-04-10,15.04288
2020-04-11,10.96054
2020-04-12,11.80102
2020-04-13,17.95883
2020-04-14,16.82675
2020-04-15,11.35506
2020-04-16,17.34133
2020-04-17,14.32246
2020-04-18,11.012
2020-04-19,10.01715
2020-04-20,18.64493
2020-04-21,18.45626
2020-04-22,18.59348
2020-04-23,17.20411
2020-04-24,15.31732
2020-04-25,10.89193
2020-04-26,9.96569
2020-04-27,17.47855
2020-04-28,15.96912
2020-04-29,14.28816
2020-04-30,10.58319
2020-05-01,11.14922
2020-05-02,8.49056
2020-05-03,11.45797
2020-05-04,13.39622
2020-05-05,11.64665
2020-05-06,17.95883
2020-05-07,17.11835
2020-05-08,15.48885
2020-05-09,10.60034
2020-05-10,11.69811
2020-05-11,17.97598
2020-05-12,17.44425
2020-05-13,17.03259
2020-05-14,16.87821
2020-05-15,15.07718
2020-05-16,9.36535
2020-05-17,10.41166
2020-05-18,16.34648
2020-05-19,16.26072
2020-05-20,16.44939
2020-05-21,16.89536
2020-05-22,14.01372
2020-05-23,9.91423
2020-05-24,12.12692
2020-05-25,16.34648
2020-05-26,15.84905
2020-05-27,16.89536
2020-05-28,16.24356
2020-05-29,14.69982
2020-05-30,9.82847
2020-05-31,12.86449
2020-06-01,16.46655
2020-06-02,17.51286
2020-06-03,16.53516
2020-06-04,17.34133
2020-06-05,14.93996
2020-06-06,12.3156
2020-06-07,13.80789
2020-06-08,15.81475
2020-06-09,17.97598
2020-06-10,17.11835
2020-06-11,15.81475
2020-06-12,16.91252
2020-06-13,11.93825
2020-06-14,13.92795
2020-06-15,16.91252
2020-06-16,17.73584
2020-06-17,17.99313
2020-06-18,16.20926
2020-06-19,15.55746
2020-06-20,11.90394
2020-06-21,12.95025
2020-06-22,17.40994
2020-06-23,19.03945
2020-06-24,16.07204
2020-06-25,16.1921
2020-06-26,12.9331
2020-06-27,9.36535
2020-06-28,10.6518
2020-06-29,14.75128
2020-06-30,14.80274
2020-07-01,13.56775
2020-07-02,12.98456
2020-07-03,12.71012
2020-07-04,6.56946
2020-07-05,9.79416
2020-07-06,13.10463
2020-07-07,12.65866
2020-07-08,12.24699
2020-07-09,13.03602
2020-07-10,11.09777
2020-07-11,7.08404
2020-07-12,8.01029
2020-07-13,13.36192
2020-07-14,12.65866
2020-07-15,13.259
2020-07-16,11.74957
2020-07-17,11.13207
2020-07-18,6.24356
2020-07-19,6.74099
2020-07-20,11.57804
2020-07-21,11.9554
2020-07-22,11.73241
2020-07-23,11.44082
2020-07-24,9.58833
2020-07-25,6.89536
2020-07-26,6.24356
2020-07-27,11.68096
2020-07-28,11.13207
2020-07-29,11.35506
2020-07-30,12.07547
2020-07-31,9.33104
2020-08-01,5.36878
2020-08-02,6.46655
2020-08-03,9.74271
2020-08-04,10.9777
2020-08-05,11.9554
2020-08-06,11.59519
2020-08-07,10.0343
2020-08-08,6.32933
2020-08-09,8.09605
2020-08-10,11.9554
2020-08-11,14.37392
2020-08-12,12.89879
2020-08-13,11.86963
2020-08-14,10.15437
2020-08-15,5.67753
