date,가자고
2020-11-19,1.4754
2020-11-20,1.14754
2020-11-21,1.4754
2020-11-22,1.14754
2020-11-23,1.14754
2020-11-24,0.81967
2020-11-26,1.96721
2020-11-28,0.81967
2020-11-29,1.14754
2020-12-01,0.9836
2020-12-02,1.80327
2020-12-03,0.81967
2020-12-04,0.81967
2020-12-05,1.14754
2020-12-06,0.81967
2020-12-07,1.14754
2020-12-09,1.31147
2020-12-12,0.9836
2020-12-14,1.80327
2020-12-15,0.9836
2020-12-16,0.9836
2020-12-17,1.63934
2020-12-22,0.9836
2020-12-23,1.14754
2020-12-24,0.81967
2020-12-26,1.31147
2020-12-28,1.4754
2020-12-29,1.80327
2020-12-30,0.81967
2020-12-31,1.31147
2021-01-03,0.81967
2021-01-04,1.96721
2021-01-05,0.81967
2021-01-06,1.80327
2021-01-07,0.81967
2021-01-08,1.96721
2021-01-09,0.81967
2021-01-11,0.81967
2021-01-12,2.45901
2021-01-13,1.80327
2021-01-14,0.9836
2021-01-16,1.14754
2021-01-18,0.81967
2021-01-19,1.63934
2021-01-21,0.81967
2021-01-23,1.31147
2021-01-24,1.14754
2021-01-25,0.81967
2021-01-27,2.29508
2021-01-29,0.81967
2021-01-31,0.9836
2021-02-01,1.4754
2021-02-04,1.31147
2021-02-05,1.63934
2021-02-06,1.80327
2021-02-07,1.4754
2021-02-08,0.81967
2021-02-09,1.14754
2021-02-10,0.9836
2021-02-12,0.9836
2021-02-13,2.62295
2021-02-14,0.81967
2021-02-15,2.13114
2021-02-16,1.31147
2021-02-19,1.14754
2021-02-20,1.31147
2021-02-21,1.63934
2021-02-22,0.9836
2021-02-23,2.13114
2021-02-24,2.45901
2021-02-25,1.96721
2021-02-27,0.81967
2021-02-28,1.4754
2021-03-01,1.63934
2021-03-02,0.81967
2021-03-03,0.9836
2021-03-04,0.81967
2021-03-05,0.9836
2021-03-09,1.14754
2021-03-11,0.9836
2021-03-12,1.31147
2021-03-13,1.4754
2021-03-15,2.13114
2021-03-17,0.81967
2021-03-18,0.81967
2021-03-20,1.14754
2021-03-21,0.81967
2021-03-24,0.9836
2021-03-25,1.14754
2021-03-26,1.80327
2021-03-27,1.14754
2021-03-29,0.81967
2021-03-30,1.80327
2021-03-31,1.4754
2021-04-01,1.14754
2021-04-02,0.9836
2021-04-03,0.81967
2021-04-04,1.96721
2021-04-05,1.63934
2021-04-07,3.27868
2021-04-08,1.31147
2021-04-09,1.14754
2021-04-10,1.63934
2021-04-11,2.13114
2021-04-12,0.81967
2021-04-13,0.9836
2021-04-14,0.9836
2021-04-15,0.81967
2021-04-16,0.81967
2021-04-18,1.14754
2021-04-19,1.14754
2021-04-23,2.13114
2021-04-24,1.80327
2021-04-25,1.63934
2021-04-28,1.63934
2021-04-29,1.96721
2021-04-30,1.4754
2021-05-01,0.9836
2021-05-02,0.81967
2021-05-03,1.96721
2021-05-04,2.62295
2021-05-05,2.95081
2021-05-06,1.96721
2021-05-07,1.14754
2021-05-08,0.81967
2021-05-10,0.9836
2021-05-11,0.9836
2021-05-12,2.78688
2021-05-13,2.29508
2021-05-16,0.9836
2021-05-18,1.31147
2021-05-19,2.29508
2021-05-20,2.45901
2021-05-22,1.96721
2021-05-23,0.9836
2021-05-24,1.4754
2021-05-25,2.45901
2021-05-26,3.27868
2021-05-27,1.14754
2021-05-28,2.13114
2021-05-29,4.09836
2021-05-30,0.9836
2021-05-31,0.81967
2021-06-01,2.45901
2021-06-02,3.11475
2021-06-03,2.95081
2021-06-04,1.80327
2021-06-05,0.81967
2021-06-06,0.9836
2021-06-07,1.96721
2021-06-08,1.96721
2021-06-09,1.96721
2021-06-10,1.96721
2021-06-13,1.14754
2021-06-14,2.13114
2021-06-15,1.96721
2021-06-16,1.14754
2021-06-18,1.63934
2021-06-19,1.31147
2021-06-20,2.62295
2021-06-21,2.29508
2021-06-22,1.63934
2021-06-23,3.11475
2021-06-24,1.80327
2021-06-27,1.63934
2021-06-28,1.31147
2021-06-29,1.31147
2021-06-30,0.9836
2021-07-01,1.80327
2021-07-02,3.11475
2021-07-03,0.9836
2021-07-04,0.81967
2021-07-05,1.31147
2021-07-06,1.31147
2021-07-09,1.14754
2021-07-11,0.9836
2021-07-12,2.78688
2021-07-13,1.96721
2021-07-14,2.29508
2021-07-15,2.95081
2021-07-16,1.4754
2021-07-17,1.31147
2021-07-18,1.63934
2021-07-19,1.14754
2021-07-20,3.11475
2021-07-21,2.13114
2021-07-22,1.14754
2021-07-23,1.31147
2021-07-25,0.81967
2021-07-27,1.63934
2021-07-28,0.81967
2021-07-29,2.62295
2021-07-30,1.80327
2021-07-31,1.96721
2021-08-01,2.13114
2021-08-02,1.63934
2021-08-05,1.80327
2021-08-06,1.63934
2021-08-07,1.31147
2021-08-08,1.63934
2021-08-09,1.80327
2021-08-11,1.63934
2021-08-12,1.96721
2021-08-13,1.80327
2021-08-16,1.80327
2021-08-17,0.81967
2021-08-18,0.9836
2021-08-19,1.96721
2021-08-22,1.31147
2021-08-23,1.31147
2021-08-25,1.31147
2021-08-26,1.63934
2021-08-27,2.78688
2021-08-28,1.31147
2021-08-29,0.9836
2021-08-30,2.95081
2021-08-31,0.81967
2021-09-01,1.63934
2021-09-02,2.13114
2021-09-04,1.14754
2021-09-05,1.63934
2021-09-06,1.31147
2021-09-07,0.9836
2021-09-11,2.13114
2021-09-12,1.4754
2021-09-13,1.14754
2021-09-15,1.96721
