date,순금1돈
2020-03-20,7.69838
2020-03-21,6.39557
2020-03-22,5.29016
2020-03-23,6.98776
2020-03-24,7.06671
2020-03-25,7.26411
2020-03-26,6.23766
2020-03-27,5.4086
2020-03-28,4.54007
2020-03-29,4.02684
2020-03-30,5.09277
2020-03-31,5.48756
2020-04-01,5.44808
2020-04-02,5.09277
2020-04-03,5.05329
2020-04-04,5.76391
2020-04-05,4.81642
2020-04-06,5.80339
2020-04-07,4.8559
2020-04-08,5.606
2020-04-09,6.04026
2020-04-10,6.35609
2020-04-11,4.50059
2020-04-12,5.56652
2020-04-13,6.79036
2020-04-14,7.69838
2020-04-15,5.44808
2020-04-16,7.42202
2020-04-17,6.59297
2020-04-18,6.35609
2020-04-19,5.29016
2020-04-20,5.88235
2020-04-21,7.02724
2020-04-22,7.77733
2020-04-23,7.81681
2020-04-24,8.25108
2020-04-25,5.64547
2020-04-26,5.72443
2020-04-27,7.54046
2020-04-28,7.97473
2020-04-29,6.7114
2020-04-30,6.98776
2020-05-01,6.51401
2020-05-02,5.17173
2020-05-03,5.84287
2020-05-04,8.29056
2020-05-05,5.92183
2020-05-06,7.89577
2020-05-07,6.55349
2020-05-08,6.43505
2020-05-09,5.48756
2020-05-10,4.54007
2020-05-11,5.36912
2020-05-12,5.52704
2020-05-13,4.50059
2020-05-14,4.69798
2020-05-15,5.21121
2020-05-16,4.18476
2020-05-17,3.86893
2020-05-18,6.23766
2020-05-19,4.77694
2020-05-20,5.25069
2020-05-21,5.4086
2020-05-22,5.80339
2020-05-23,4.22424
2020-05-24,4.73746
2020-05-25,5.52704
2020-05-26,5.52704
2020-05-27,6.51401
2020-05-28,6.31662
2020-05-29,5.05329
2020-05-30,5.48756
2020-05-31,3.78997
2020-06-01,5.4086
2020-06-02,5.92183
2020-06-03,5.44808
2020-06-04,5.01381
2020-06-05,5.48756
2020-06-06,3.86893
2020-06-07,4.61902
2020-06-08,5.25069
2020-06-09,6.04026
2020-06-10,7.18515
2020-06-11,5.92183
2020-06-12,5.44808
2020-06-13,5.4086
2020-06-14,3.94788
2020-06-15,7.26411
2020-06-16,5.21121
2020-06-17,5.13225
2020-06-18,5.32964
2020-06-19,5.25069
2020-06-20,4.46111
2020-06-21,5.01381
2020-06-22,6.47453
2020-06-23,6.39557
2020-06-24,5.92183
2020-06-25,6.55349
2020-06-26,6.07974
2020-06-27,4.97433
2020-06-28,4.34267
2020-06-29,6.9088
2020-06-30,6.9088
2020-07-01,7.69838
2020-07-02,7.14567
2020-07-03,6.98776
2020-07-04,4.89538
2020-07-05,5.09277
2020-07-06,6.23766
2020-07-07,6.63245
2020-07-08,7.38255
2020-07-09,7.18515
2020-07-10,6.11922
2020-07-11,4.97433
2020-07-12,5.21121
2020-07-13,7.54046
2020-07-14,10.65929
2020-07-15,8.84326
2020-07-16,6.67193
2020-07-17,6.51401
2020-07-18,4.77694
2020-07-19,6.31662
2020-07-20,6.11922
2020-07-21,6.07974
2020-07-22,6.9088
2020-07-23,7.38255
2020-07-24,7.73786
2020-07-25,8.48795
2020-07-26,6.63245
2020-07-27,9.55388
2020-07-28,9.15909
2020-07-29,10.97512
2020-07-30,6.23766
2020-07-31,6.94828
2020-08-01,5.36912
2020-08-02,5.92183
2020-08-03,6.11922
2020-08-04,7.30359
2020-08-05,9.67232
2020-08-06,8.13264
2020-08-07,6.75088
2020-08-08,6.55349
2020-08-09,5.84287
2020-08-10,6.75088
2020-08-11,6.82984
2020-08-12,10.93564
2020-08-13,8.13264
2020-08-14,5.84287
2020-08-15,5.64547
2020-08-16,4.97433
2020-08-17,5.44808
2020-08-18,6.51401
2020-08-19,7.26411
2020-08-20,8.29056
2020-08-21,7.06671
2020-08-22,4.38215
2020-08-23,5.80339
2020-08-24,6.43505
2020-08-25,6.00078
2020-08-26,6.31662
2020-08-27,6.04026
2020-08-28,5.72443
2020-08-29,4.8559
2020-08-30,5.01381
2020-08-31,5.36912
2020-09-01,6.67193
2020-09-02,5.96131
2020-09-03,6.67193
2020-09-04,9.47493
2020-09-05,7.81681
2020-09-06,7.42202
2020-09-07,6.1587
2020-09-08,6.27714
2020-09-09,6.75088
2020-09-10,5.606
2020-09-11,5.72443
2020-09-12,5.05329
2020-09-13,4.46111
2020-09-14,6.75088
2020-09-15,6.11922
2020-09-16,5.84287
2020-09-17,5.606
2020-09-18,6.07974
2020-09-19,6.1587
2020-09-20,5.4086
2020-09-21,5.36912
2020-09-22,5.29016
2020-09-23,6.1587
2020-09-24,5.72443
2020-09-25,5.17173
2020-09-26,4.38215
2020-09-27,4.46111
2020-09-28,6.23766
2020-09-29,5.92183
2020-09-30,5.88235
2020-10-01,5.29016
2020-10-02,5.25069
2020-10-03,4.50059
2020-10-04,4.8559
2020-10-05,6.55349
2020-10-06,5.36912
2020-10-07,6.47453
2020-10-08,5.80339
