date,DEX거래소
2020-04-06,1.19904
2020-07-31,1.19904
2020-09-12,1.43884
2020-09-22,2.15827
2020-10-02,1.19904
2020-10-19,1.43884
2021-01-17,1.19904
2021-01-27,1.67865
2021-01-28,1.19904
2021-02-03,1.19904
2021-02-05,1.43884
2021-02-06,1.19904
2021-02-13,1.67865
2021-02-14,1.19904
2021-02-16,1.67865
2021-02-17,1.19904
2021-02-19,1.43884
2021-02-21,1.19904
2021-02-26,1.19904
2021-03-03,2.15827
2021-03-04,1.91846
2021-03-05,4.31654
2021-03-06,3.59712
2021-03-07,3.1175
2021-03-08,1.19904
2021-03-09,4.07673
2021-03-10,1.19904
2021-03-12,1.19904
2021-03-14,1.19904
2021-03-15,1.19904
2021-03-16,1.67865
2021-03-24,2.39808
2021-03-26,3.35731
2021-03-27,1.67865
2021-03-29,1.19904
2021-03-30,1.19904
2021-03-31,1.43884
2021-04-01,1.91846
2021-04-02,2.39808
2021-04-05,1.43884
2021-04-07,2.39808
2021-04-08,2.39808
2021-04-09,1.19904
2021-04-10,1.43884
2021-04-11,1.91846
2021-04-12,1.43884
2021-04-13,1.19904
2021-04-14,3.1175
2021-04-15,1.67865
2021-04-16,3.83693
2021-04-17,3.35731
2021-04-18,1.19904
2021-04-20,5.03597
2021-04-21,3.1175
2021-04-22,2.63788
2021-04-23,1.43884
2021-04-24,1.43884
2021-04-25,2.15827
2021-04-26,3.59712
2021-04-27,4.07673
2021-04-28,3.1175
2021-04-29,3.1175
2021-04-30,6.23501
2021-05-01,3.83693
2021-05-02,3.59712
2021-05-03,3.83693
2021-05-04,2.39808
2021-05-06,1.91846
2021-05-07,1.43884
2021-05-08,1.67865
2021-05-10,5.9952
2021-05-11,3.35731
2021-05-12,4.31654
2021-05-13,3.35731
2021-05-14,4.79616
2021-05-15,1.91846
2021-05-16,1.67865
2021-05-17,4.07673
2021-05-18,2.63788
2021-05-19,2.87769
2021-05-20,3.59712
2021-05-21,2.15827
2021-05-24,1.19904
2021-05-27,1.19904
2021-05-28,1.43884
2021-05-30,1.43884
2021-05-31,3.83693
2021-06-02,6.71462
2021-06-03,2.39808
2021-06-04,1.19904
2021-06-05,4.79616
2021-06-06,3.35731
2021-06-07,2.15827
2021-06-08,1.19904
2021-06-09,1.19904
2021-06-10,3.1175
2021-06-15,1.19904
2021-06-16,1.67865
2021-06-17,4.31654
2021-06-18,1.67865
2021-06-24,1.43884
2021-06-25,1.43884
2021-06-28,1.91846
2021-06-29,17.98561
2021-06-30,6.47482
2021-07-01,4.55635
2021-07-02,6.47482
2021-07-03,4.55635
2021-07-04,5.27577
2021-07-05,4.55635
2021-07-06,2.87769
2021-07-07,3.59712
2021-07-08,20.38369
2021-07-09,4.07673
2021-07-10,2.39808
2021-07-11,1.91846
2021-07-12,9.83213
2021-07-13,2.63788
2021-07-15,4.79616
2021-07-16,1.91846
2021-07-17,3.83693
2021-07-19,1.43884
2021-07-20,2.87769
2021-07-21,1.19904
2021-07-23,1.91846
2021-07-24,2.39808
2021-07-25,2.39808
2021-07-26,1.19904
2021-07-27,3.35731
2021-07-28,4.55635
2021-07-29,1.67865
2021-07-30,3.1175
2021-07-31,1.19904
2021-08-01,1.43884
2021-08-02,1.43884
2021-08-03,2.39808
2021-08-04,1.67865
2021-08-05,1.19904
2021-08-08,1.43884
2021-08-09,3.35731
2021-08-10,3.35731
2021-08-11,4.31654
2021-08-12,1.67865
2021-08-13,2.87769
2021-08-14,1.91846
2021-08-15,2.39808
2021-08-16,2.39808
2021-08-17,3.35731
2021-08-18,3.83693
2021-08-19,3.35731
2021-08-20,1.67865
2021-08-21,1.67865
2021-08-22,1.43884
2021-08-23,5.75539
2021-08-24,2.87769
2021-08-25,3.35731
2021-08-26,1.67865
2021-08-27,2.87769
2021-08-28,4.55635
2021-08-29,5.75539
2021-08-30,6.47482
2021-08-31,8.15347
2021-09-01,4.31654
2021-09-02,6.71462
2021-09-03,6.71462
2021-09-04,1.67865
2021-09-05,4.79616
2021-09-06,3.59712
2021-09-07,3.1175
2021-09-08,1.43884
2021-09-09,5.75539
2021-09-10,3.59712
2021-09-11,3.83693
2021-09-12,5.27577
2021-09-13,7.19424
2021-09-14,8.15347
2021-09-15,3.83693
2021-09-16,4.07673
2021-09-17,4.31654
2021-09-18,4.07673
2021-09-19,4.31654
2021-09-20,2.87769
2021-09-21,2.63788
2021-09-22,1.67865
2021-09-23,10.07194
2021-09-24,7.43405
2021-09-25,10.55155
2021-09-26,12.70983
2021-09-27,17.50599
2021-09-28,13.66906
2021-09-29,31.17505
2021-09-30,22.54196
2021-10-01,8.63309
2021-10-02,9.35251
2021-10-03,10.07194
2021-10-04,8.8729
2021-10-05,11.75059
2021-10-06,7.67386
2021-10-07,9.1127
2021-10-08,5.27577
2021-10-09,4.07673
2021-10-10,3.35731
2021-10-11,4.07673
2021-10-12,3.83693
2021-10-13,6.23501
2021-10-14,6.23501
2021-10-15,4.31654
2021-10-16,5.75539
2021-10-17,5.75539
2021-10-18,6.47482
2021-10-19,9.35251
2021-10-20,6.47482
2021-10-21,5.03597
2021-10-22,8.39328
2021-10-23,6.71462
2021-10-24,6.71462
2021-10-25,8.39328
2021-10-26,8.39328
2021-10-27,6.95443
2021-10-28,12.47002
2021-10-29,12.47002
2021-10-30,6.95443
2021-10-31,4.31654
2021-11-01,10.55155
