date,부동산시세조회
2020-03-20,15.46391
2020-03-21,7.73195
2020-03-22,8.50515
2020-03-23,25.77319
2020-03-24,17.52577
2020-03-25,20.10309
2020-03-26,17.52577
2020-03-27,20.10309
2020-03-28,8.24742
2020-03-29,5.6701
2020-03-30,23.4536
2020-03-31,15.72164
2020-04-01,17.52577
2020-04-02,19.58762
2020-04-03,17.0103
2020-04-04,5.15463
2020-04-05,6.44329
2020-04-06,16.49484
2020-04-07,15.46391
2020-04-08,20.36082
2020-04-09,16.75257
2020-04-10,13.65979
2020-04-11,6.18556
2020-04-12,9.53608
2020-04-13,19.58762
2020-04-14,19.32989
2020-04-15,10.30927
2020-04-16,19.07216
2020-04-17,19.07216
2020-04-18,4.38144
2020-04-19,9.79381
2020-04-20,17.26804
2020-04-21,19.84536
2020-04-22,26.03092
2020-04-23,22.42268
2020-04-24,15.46391
2020-04-25,12.37113
2020-04-26,9.79381
2020-04-27,22.42268
2020-04-28,25.25773
2020-04-29,19.84536
2020-04-30,9.02061
2020-05-01,13.14432
2020-05-02,7.73195
2020-05-03,9.27835
2020-05-04,20.10309
2020-05-05,10.82474
2020-05-06,33.76288
2020-05-07,37.62886
2020-05-08,31.18556
2020-05-09,24.48453
2020-05-10,24.2268
2020-05-11,36.59793
2020-05-12,36.3402
2020-05-13,42.0103
2020-05-14,38.14432
2020-05-15,42.52577
2020-05-16,32.73195
2020-05-17,25.0
2020-05-18,42.52577
2020-05-19,46.13402
2020-05-20,42.0103
2020-05-21,36.3402
2020-05-22,42.26804
2020-05-23,27.57731
2020-05-24,22.93814
2020-05-25,47.16494
2020-05-26,41.49484
2020-05-27,38.91752
2020-05-28,40.72164
2020-05-29,32.73195
2020-05-30,26.03092
2020-05-31,24.48453
2020-06-01,43.29896
2020-06-02,37.88659
2020-06-03,38.40206
2020-06-04,28.09278
2020-06-05,33.76288
2020-06-06,23.96907
2020-06-07,31.70103
2020-06-08,51.28865
2020-06-09,37.37113
2020-06-10,39.94845
2020-06-11,48.19587
2020-06-12,43.81443
2020-06-13,32.47422
2020-06-14,36.08247
2020-06-15,55.92783
2020-06-16,46.90721
2020-06-17,58.50515
2020-06-18,50.25773
2020-06-19,43.29896
2020-06-20,36.3402
2020-06-21,34.53608
2020-06-22,59.27835
2020-06-23,51.03092
2020-06-24,42.26804
2020-06-25,46.90721
2020-06-26,40.46391
2020-06-27,31.95876
2020-06-28,41.49484
2020-06-29,58.76288
2020-06-30,42.7835
2020-07-01,54.12371
2020-07-02,56.18556
2020-07-03,43.29896
2020-07-04,33.50515
2020-07-05,37.62886
2020-07-06,57.47422
2020-07-07,48.4536
2020-07-08,51.54639
2020-07-09,61.3402
2020-07-10,53.86597
2020-07-11,39.17525
2020-07-12,29.63917
2020-07-13,52.06185
2020-07-14,59.02061
2020-07-15,63.14432
2020-07-16,59.02061
