date,비과세보험
2021-01-16,20.40816
2021-01-17,10.20408
2021-01-18,26.53061
2021-01-19,40.81632
2021-01-20,44.89795
2021-01-21,46.93877
2021-01-22,12.24489
2021-01-23,10.20408
2021-01-25,16.32653
2021-01-26,38.77551
2021-01-27,20.40816
2021-01-28,32.65306
2021-01-30,14.28571
2021-02-01,36.73469
2021-02-03,22.44897
2021-02-04,10.20408
2021-02-05,36.73469
2021-02-08,30.61224
2021-02-09,16.32653
2021-02-10,14.28571
2021-02-15,14.28571
2021-02-16,22.44897
2021-02-17,16.32653
2021-02-18,24.48979
2021-02-19,16.32653
2021-02-20,14.28571
2021-02-21,24.48979
2021-02-22,40.81632
2021-02-23,30.61224
2021-02-24,10.20408
2021-02-25,12.24489
2021-02-28,14.28571
2021-03-01,10.20408
2021-03-02,14.28571
2021-03-03,12.24489
2021-03-04,26.53061
2021-03-05,24.48979
2021-03-06,12.24489
2021-03-10,12.24489
2021-03-13,10.20408
2021-03-15,12.24489
2021-03-16,14.28571
2021-03-17,32.65306
2021-03-18,34.69387
2021-03-20,12.24489
2021-03-22,12.24489
2021-03-24,12.24489
2021-03-26,14.28571
2021-03-29,14.28571
2021-04-01,12.24489
2021-04-04,10.20408
2021-04-05,12.24489
2021-04-07,18.36734
2021-04-08,22.44897
2021-04-09,16.32653
2021-04-12,16.32653
2021-04-13,10.20408
2021-04-14,20.40816
2021-04-15,10.20408
2021-04-16,14.28571
2021-04-18,16.32653
2021-04-19,14.28571
2021-04-21,10.20408
2021-04-22,12.24489
2021-04-23,30.61224
2021-04-25,16.32653
2021-04-26,10.20408
2021-04-27,10.20408
2021-04-28,20.40816
2021-04-30,16.32653
2021-05-04,10.20408
2021-05-05,10.20408
2021-05-06,12.24489
2021-05-17,18.36734
2021-05-21,14.28571
2021-05-23,20.40816
2021-05-24,12.24489
2021-05-25,38.77551
2021-05-27,24.48979
2021-05-29,12.24489
2021-05-31,26.53061
2021-06-02,10.20408
2021-06-04,10.20408
2021-06-08,10.20408
2021-06-09,22.44897
2021-06-11,16.32653
2021-06-14,22.44897
2021-06-16,12.24489
2021-06-18,20.40816
2021-06-19,16.32653
2021-06-21,16.32653
2021-06-22,28.57142
2021-06-23,38.77551
2021-06-24,26.53061
2021-06-25,24.48979
2021-06-28,32.65306
2021-06-29,12.24489
2021-06-30,10.20408
2021-07-09,14.28571
2021-07-10,10.20408
2021-07-13,10.20408
2021-07-15,10.20408
2021-07-19,24.48979
2021-07-20,14.28571
2021-07-21,10.20408
2021-07-23,14.28571
2021-07-26,16.32653
2021-07-27,14.28571
2021-07-28,16.32653
2021-07-29,10.20408
2021-07-30,12.24489
2021-08-02,16.32653
2021-08-03,14.28571
2021-08-09,10.20408
2021-08-10,16.32653
2021-08-11,20.40816
2021-08-12,22.44897
2021-08-17,10.20408
2021-08-19,14.28571
2021-08-25,16.32653
2021-08-26,34.69387
2021-08-27,16.32653
2021-08-28,16.32653
2021-09-01,10.20408
2021-09-02,10.20408
2021-09-03,10.20408
2021-09-05,14.28571
2021-09-07,14.28571
2021-09-08,22.44897
2021-09-09,10.20408
2021-09-10,10.20408
2021-09-14,14.28571
2021-09-15,10.20408
2021-09-16,10.20408
2021-09-23,28.57142
2021-09-24,28.57142
2021-09-28,12.24489
2021-10-13,10.20408
2021-10-14,22.44897
2021-10-15,20.40816
2021-10-19,12.24489
2021-10-20,10.20408
2021-10-21,10.20408
2021-10-22,16.32653
2021-10-30,12.24489
2021-11-01,10.20408
2021-11-03,12.24489
2021-11-05,10.20408
2021-11-08,14.28571
2021-11-10,14.28571
2021-11-11,10.20408
2021-11-15,10.20408
2021-11-17,24.48979
2021-11-22,12.24489
2021-11-23,10.20408
2021-11-24,14.28571
2021-11-25,22.44897
2021-11-26,10.20408
