date,비갱신형보험
2020-03-20,33.33333
2020-03-21,18.18181
2020-03-23,51.51515
2020-03-24,30.30303
2020-03-25,21.21212
2020-03-26,84.84848
2020-03-27,100.0
2020-03-28,21.21212
2020-03-30,39.39393
2020-03-31,42.42424
2020-04-02,27.27272
2020-04-04,21.21212
2020-04-05,15.15151
2020-04-06,27.27272
2020-04-07,30.30303
2020-04-08,48.48484
2020-04-09,39.39393
2020-04-10,39.39393
2020-04-11,15.15151
2020-04-12,24.24242
2020-04-13,54.54545
2020-04-15,18.18181
2020-04-16,33.33333
2020-04-17,21.21212
2020-04-18,24.24242
2020-04-20,69.69696
2020-04-21,42.42424
2020-04-22,27.27272
2020-04-24,45.45454
2020-04-25,15.15151
2020-04-26,30.30303
2020-04-27,54.54545
2020-04-28,51.51515
2020-04-29,84.84848
2020-04-30,30.30303
2020-05-01,15.15151
2020-05-02,33.33333
2020-05-03,36.36363
2020-05-04,66.66666
2020-05-06,15.15151
2020-05-07,21.21212
2020-05-08,18.18181
2020-05-09,27.27272
2020-05-10,18.18181
2020-05-11,24.24242
2020-05-12,39.39393
2020-05-13,39.39393
2020-05-14,30.30303
2020-05-15,27.27272
2020-05-16,39.39393
2020-05-18,51.51515
2020-05-19,60.60606
2020-05-20,30.30303
2020-05-21,36.36363
2020-05-22,21.21212
2020-05-23,42.42424
2020-05-24,27.27272
2020-05-25,48.48484
2020-05-26,27.27272
2020-05-27,21.21212
2020-05-28,48.48484
2020-05-29,27.27272
2020-06-01,51.51515
2020-06-02,30.30303
2020-06-03,36.36363
2020-06-04,36.36363
2020-06-05,42.42424
2020-06-06,18.18181
2020-06-07,21.21212
2020-06-08,24.24242
2020-06-09,18.18181
2020-06-12,30.30303
2020-06-15,54.54545
2020-06-16,30.30303
2020-06-17,15.15151
2020-06-18,42.42424
2020-06-19,45.45454
2020-06-20,18.18181
2020-06-22,54.54545
2020-06-23,18.18181
2020-06-24,15.15151
2020-06-26,24.24242
2020-06-27,27.27272
2020-06-29,27.27272
2020-06-30,15.15151
2020-07-02,18.18181
2020-07-03,15.15151
2020-07-04,21.21212
2020-07-05,18.18181
2020-07-06,36.36363
2020-07-07,72.72727
2020-07-08,57.57575
2020-07-09,15.15151
2020-07-10,18.18181
2020-07-11,33.33333
2020-07-13,18.18181
2020-07-14,42.42424
2020-07-15,27.27272
2020-07-16,60.60606
2020-07-18,21.21212
2020-07-19,15.15151
2020-07-20,24.24242
2020-07-21,18.18181
2020-07-22,42.42424
2020-07-24,24.24242
2020-07-25,24.24242
2020-07-27,72.72727
2020-07-28,75.75757
2020-07-29,30.30303
