date,초전도체관련주
2020-04-22,0.00355
2020-06-10,0.00304
2020-07-17,0.00355
2020-07-29,0.00355
2020-07-31,0.00253
2020-09-09,0.00405
2020-10-16,0.00862
2020-10-17,0.01471
2020-10-21,0.00253
2020-10-22,0.00507
2020-10-24,0.00405
2020-10-25,0.00405
2020-10-27,0.00405
2020-10-28,0.00253
2020-10-29,0.00304
2020-10-30,0.00304
2020-10-31,0.00253
2020-11-11,0.00253
2020-11-17,0.00253
2020-11-19,0.00659
2020-11-20,0.00355
2020-11-25,0.00253
2020-11-27,0.00355
2020-11-28,0.00405
2020-11-29,0.00405
2020-12-03,0.00405
2020-12-04,0.00253
2020-12-06,0.00253
2020-12-08,0.00253
2020-12-30,0.00355
2020-12-31,0.00355
2021-01-06,0.00507
2021-01-07,0.00608
2021-01-08,0.00507
2021-01-09,0.00355
2021-01-10,0.00405
2021-01-11,0.00253
2021-01-12,0.00355
2021-01-13,0.00355
2021-01-14,0.00608
2021-01-16,0.00456
2021-01-17,0.00304
2021-01-18,0.00608
2021-01-19,0.00304
2021-01-20,0.00405
2021-01-22,0.00355
2021-01-25,0.00253
2021-01-27,0.00355
2021-01-28,0.00304
2021-02-15,0.00253
2021-02-16,0.00405
2021-03-03,0.01014
2021-03-04,0.00608
2021-03-10,0.00253
2021-03-18,0.00304
2021-03-25,0.00355
2021-03-26,0.00253
2021-04-12,0.00507
2021-04-15,0.00304
2021-04-19,0.00355
2021-04-28,0.00304
2021-05-27,0.00304
2021-06-07,0.00253
2021-06-10,0.00355
2021-06-30,0.00253
2021-07-03,0.00507
2021-07-12,0.00253
2021-08-05,0.00253
2021-09-07,0.00355
2021-10-07,0.00355
2021-10-12,0.00405
2021-10-13,0.00304
2021-10-15,0.0071
2021-10-18,0.00405
2021-10-19,0.00608
2021-10-22,0.00304
2021-10-28,0.00405
2021-12-03,0.00253
2021-12-14,0.00253
2021-12-30,0.00405
2021-12-31,0.00507
2022-01-04,0.00304
2022-01-06,0.00355
2022-04-02,0.00304
2022-04-03,0.00405
2022-04-24,0.00304
2022-04-29,0.01065
2022-04-30,0.00456
2022-05-01,0.0071
2022-06-10,0.0076
2022-08-03,0.00304
2022-12-11,0.00253
2023-01-10,0.00355
2023-01-11,0.00608
2023-01-12,0.0076
2023-01-13,0.00405
2023-01-14,0.00304
2023-01-15,0.00405
2023-01-21,0.00304
2023-02-25,0.00253
2023-03-09,0.00355
2023-03-11,0.11769
2023-03-12,0.07051
2023-03-13,0.04464
2023-03-14,0.02536
2023-03-15,0.01876
2023-03-16,0.0279
2023-03-17,0.0142
2023-03-18,0.01369
2023-03-19,0.01014
2023-03-20,0.01623
2023-03-21,0.00507
2023-03-22,0.00608
2023-03-23,0.00405
2023-03-24,0.00913
2023-03-25,0.00304
2023-03-26,0.00253
2023-03-27,0.04311
2023-03-28,0.03195
2023-03-29,0.01268
2023-03-30,0.01318
2023-03-31,0.00507
2023-04-01,0.01166
2023-04-02,0.01572
2023-04-03,0.01674
2023-04-04,0.01065
2023-04-05,0.00456
2023-04-06,0.00913
2023-04-07,0.00405
2023-04-08,0.00355
2023-04-09,0.00355
2023-04-10,0.0071
2023-04-11,0.01065
2023-04-12,0.00507
2023-04-14,0.00862
2023-04-15,0.00253
2023-04-16,0.00304
2023-04-17,0.01217
2023-04-18,0.00507
2023-04-20,0.01014
2023-04-21,0.00304
2023-04-23,0.00253
2023-04-24,0.00304
2023-04-25,0.00405
2023-04-26,0.00405
2023-04-28,0.00355
2023-05-03,0.00253
2023-05-04,0.00355
2023-05-07,0.00355
2023-05-08,0.00405
2023-05-16,0.00355
2023-07-26,0.07406
2023-07-27,0.67266
2023-07-28,10.45366
2023-07-29,6.23405
2023-07-30,6.78344
2023-07-31,11.47737
2023-08-01,47.6368
2023-08-02,100.0
2023-08-03,73.35068
2023-08-04,38.28445
2023-08-05,12.92161
2023-08-06,10.16704
2023-08-07,24.05707
2023-08-08,25.08027
2023-08-09,13.11844
2023-08-10,11.05378
2023-08-11,8.31798
2023-08-12,4.62442
2023-08-13,4.67262
2023-08-14,12.55079
2023-08-15,6.1331
2023-08-16,16.90382
2023-08-17,19.60056
2023-08-18,9.82919
2023-08-19,3.28772
2023-08-20,2.87834
2023-08-21,5.47515
2023-08-22,5.98446
2023-08-23,5.28796
2023-08-24,2.59122
2023-08-25,1.84652
2023-08-26,0.93087
2023-08-27,1.0724
2023-08-28,1.84753
2023-08-29,1.84246
2023-08-30,1.19212
2023-08-31,1.53961
2023-09-01,1.02218
2023-09-02,0.5778
2023-09-03,0.55547
2023-09-04,0.9126
2023-09-05,1.82674
2023-09-06,1.03283
2023-09-07,0.74317
2023-09-08,0.76955
2023-09-09,0.54228
2023-09-10,1.4904
2023-09-11,0.88217
2023-09-12,0.73404
2023-09-13,0.60113
2023-09-14,1.75927
2023-09-15,0.81318
2023-09-16,0.44133
2023-09-17,0.38097
2023-09-18,0.61331
2023-09-19,0.57526
2023-09-20,0.63968
2023-09-21,0.57221
2023-09-22,0.46112
2023-09-23,0.28306
2023-09-24,0.28154
2023-09-25,0.46213
2023-09-26,0.4251
2023-09-27,0.31603
2023-09-28,0.27292
2023-09-29,0.24654
2023-09-30,0.22878
2023-10-01,0.32364
2023-10-02,0.33379
2023-10-03,0.3764
2023-10-04,0.60316
2023-10-05,0.38046
2023-10-06,0.63613
2023-10-07,0.4317
2023-10-08,0.36423
2023-10-09,0.37387
2023-10-10,0.69447
2023-10-11,0.4875
2023-10-12,0.45706
2023-10-13,0.33328
2023-10-14,0.20595
2023-10-15,0.23639
2023-10-16,0.31857
2023-10-17,0.42409
2023-10-18,0.35307
2023-10-19,0.30741
2023-10-20,0.28661
2023-10-21,0.21914
2023-10-22,0.19682
2023-10-23,0.28103
2023-10-24,0.32517
2023-10-25,0.28306
2023-10-26,0.31096
2023-10-27,0.23132
2023-10-28,0.16841
2023-10-29,0.15928
2023-10-30,0.2019
2023-10-31,0.33785
2023-11-01,0.24349
2023-11-02,0.30995
2023-11-03,0.31045
2023-11-04,0.19479
2023-11-05,0.16791
2023-11-06,0.38858
2023-11-07,0.32922
2023-11-08,0.33937
2023-11-09,0.29118
2023-11-10,0.23791
2023-11-11,0.14609
2023-11-12,0.13747
2023-11-13,0.65693
2023-11-14,0.32517
2023-11-15,0.28864
