date,자동차보험비교
2020-11-08,11.61057
2020-11-09,20.76923
2020-11-10,21.51442
2020-11-11,19.01442
2020-11-12,18.3173
2020-11-13,18.26923
2020-11-14,9.42307
2020-11-15,13.19711
2020-11-16,23.3173
2020-11-17,21.4423
2020-11-18,18.70192
2020-11-19,19.375
2020-11-20,15.43269
2020-11-21,9.54326
2020-11-22,12.0673
2020-11-23,23.65384
2020-11-24,21.73076
2020-11-25,20.91346
2020-11-26,18.99038
2020-11-27,18.4375
2020-11-28,11.99519
2020-11-29,10.3125
2020-11-30,21.05769
2020-12-01,23.99038
2020-12-02,23.9423
2020-12-03,22.98076
2020-12-04,20.24038
2020-12-05,11.46634
2020-12-06,14.32692
2020-12-07,23.58173
2020-12-08,21.77884
2020-12-09,22.5
2020-12-10,20.16826
2020-12-11,18.58173
2020-12-12,11.29807
2020-12-13,13.0048
2020-12-14,24.0625
2020-12-15,22.76442
2020-12-16,20.96153
2020-12-17,20.28846
2020-12-18,19.08653
2020-12-19,11.58653
2020-12-20,13.58173
2020-12-21,22.62019
2020-12-22,20.33653
2020-12-23,21.22596
2020-12-24,17.1875
2020-12-25,11.03365
2020-12-26,8.84615
2020-12-27,11.4423
2020-12-28,24.35096
2020-12-29,20.5048
2020-12-30,18.84615
2020-12-31,16.99519
2021-01-01,11.68269
2021-01-02,11.1298
2021-01-03,13.36538
2021-01-04,24.49519
2021-01-05,23.79807
2021-01-06,21.27403
2021-01-07,20.28846
2021-01-08,20.07211
2021-01-09,12.59615
2021-01-10,13.24519
2021-01-11,23.96634
2021-01-12,19.95192
2021-01-13,22.88461
2021-01-14,24.73557
2021-01-15,19.66346
2021-01-16,11.61057
2021-01-17,13.84615
2021-01-18,23.41346
2021-01-19,20.60096
2021-01-20,19.5673
2021-01-21,21.37019
2021-01-22,19.30288
2021-01-23,12.30769
2021-01-24,13.125
2021-01-25,22.74038
2021-01-26,20.45673
2021-01-27,20.38461
2021-01-28,19.59134
2021-01-29,17.33173
2021-01-30,9.95192
2021-01-31,12.30769
2021-02-01,23.6298
2021-02-02,20.40865
2021-02-03,19.90384
2021-02-04,18.70192
2021-02-05,17.6923
2021-02-06,12.74038
2021-02-07,12.71634
2021-02-08,21.17788
2021-02-09,18.50961
2021-02-10,15.3125
2021-02-11,11.03365
2021-02-12,8.77403
2021-02-13,9.97596
2021-02-14,12.35576
2021-02-15,25.625
2021-02-16,21.80288
2021-02-17,20.07211
2021-02-18,17.8125
2021-02-19,17.90865
2021-02-20,10.64903
2021-02-21,11.1298
2021-02-22,19.97596
2021-02-23,20.07211
2021-02-24,21.7548
2021-02-25,19.59134
2021-02-26,16.41826
2021-02-27,10.91346
2021-02-28,11.27403
2021-03-01,14.5673
2021-03-02,24.8798
2021-03-03,21.22596
2021-03-04,18.26923
2021-03-05,18.41346
2021-03-06,10.52884
2021-03-07,11.65865
2021-03-08,21.22596
2021-03-09,20.88942
2021-03-10,20.1923
2021-03-11,20.04807
2021-03-12,19.15865
2021-03-13,11.39423
2021-03-14,12.47596
2021-03-15,20.09615
2021-03-16,20.5048
2021-03-17,19.42307
2021-03-18,17.62019
2021-03-19,15.28846
2021-03-20,11.61057
2021-03-21,11.89903
2021-03-22,21.39423
2021-03-23,18.22115
2021-03-24,17.13942
2021-03-25,15.9375
2021-03-26,16.32211
2021-03-27,11.27403
2021-03-28,11.25
2021-03-29,19.18269
2021-03-30,19.42307
2021-03-31,17.21153
2021-04-01,16.89903
2021-04-02,15.3125
2021-04-03,11.17788
2021-04-04,10.74519
2021-04-05,18.53365
2021-04-06,16.73076
2021-04-07,17.23557
2021-04-08,17.59615
2021-04-09,15.02403
2021-04-10,9.35096
2021-04-11,11.05769
2021-04-12,22.23557
2021-04-13,20.09615
2021-04-14,17.45192
2021-04-15,16.37019
2021-04-16,16.34615
2021-04-17,10.69711
2021-04-18,9.63942
2021-04-19,21.4423
2021-04-20,17.95673
2021-04-21,19.51923
2021-04-22,18.0048
2021-04-23,15.43269
2021-04-24,8.34134
2021-04-25,10.14423
2021-04-26,18.9423
2021-04-27,17.86057
2021-04-28,16.99519
2021-04-29,17.76442
2021-04-30,14.66346
2021-05-01,11.63461
2021-05-02,11.34615
2021-05-03,19.78365
2021-05-04,18.79807
2021-05-05,11.03365
2021-05-06,18.17307
2021-05-07,18.02884
2021-05-08,10.21634
2021-05-09,10.16826
2021-05-10,22.16346
2021-05-11,20.76923
2021-05-12,18.38942
2021-05-13,20.72115
2021-05-14,16.46634
2021-05-15,10.43269
2021-05-16,11.1298
2021-05-17,21.22596
2021-05-18,19.47115
2021-05-19,12.35576
2021-05-20,20.74519
2021-05-21,16.92307
2021-05-22,10.57692
2021-05-23,11.51442
2021-05-24,26.41826
2021-05-25,20.33653
2021-05-26,18.17307
2021-05-27,19.92788
2021-05-28,16.1298
2021-05-29,9.30288
2021-05-30,10.57692
2021-05-31,20.24038
2021-06-01,20.14423
2021-06-02,21.25
2021-06-03,18.65384
2021-06-04,16.29807
2021-06-05,9.51923
2021-06-06,10.28846
2021-06-07,24.66346
2021-06-08,19.59134
2021-06-09,18.3173
2021-06-10,18.4375
2021-06-11,17.64423
2021-06-12,9.5673
2021-06-13,10.8173
2021-06-14,20.84134
2021-06-15,19.83173
2021-06-16,17.33173
2021-06-17,18.14903
2021-06-18,15.69711
2021-06-19,9.35096
2021-06-20,11.34615
2021-06-21,20.74519
2021-06-22,19.49519
2021-06-23,17.64423
2021-06-24,17.5
2021-06-25,17.04326
2021-06-26,9.71153
2021-06-27,11.15384
2021-06-28,19.30288
2021-06-29,19.73557
2021-06-30,18.26923
2021-07-01,18.36538
2021-07-02,17.66826
2021-07-03,9.75961
2021-07-04,11.7548
2021-07-05,20.64903
2021-07-06,19.66346
2021-07-07,18.96634
