date,주식양도소득세
2020-03-20,0.2734
2020-03-21,0.19404
2020-03-22,0.18531
2020-03-23,0.25674
2020-03-24,0.32777
2020-03-25,0.32221
2020-03-26,0.33848
2020-03-27,0.29444
2020-03-28,0.17896
2020-03-29,0.14126
2020-03-30,0.28253
2020-03-31,0.26547
2020-04-01,0.3238
2020-04-02,0.55554
2020-04-03,0.29126
2020-04-04,0.17698
2020-04-05,0.15872
2020-04-06,0.25713
2020-04-07,0.28015
2020-04-08,0.23848
2020-04-09,0.2496
2020-04-10,0.20198
2020-04-11,0.11864
2020-04-12,0.13253
2020-04-13,0.18293
2020-04-14,0.21626
2020-04-15,0.14603
2020-04-16,0.23333
2020-04-17,0.20436
2020-04-18,0.13214
2020-04-19,0.11864
2020-04-20,0.18293
2020-04-21,0.15634
2020-04-22,0.17142
2020-04-23,0.19999
2020-04-24,0.15237
2020-04-25,0.1119
2020-04-26,0.10515
2020-04-27,0.16468
2020-04-28,0.17023
2020-04-29,0.15555
2020-04-30,0.12023
2020-05-01,0.10317
2020-05-02,0.08134
2020-05-03,0.07738
2020-05-04,0.10079
2020-05-05,0.08968
2020-05-06,0.13571
2020-05-07,0.12222
2020-05-08,0.11507
2020-05-09,0.08174
2020-05-10,0.08333
2020-05-11,0.1238
2020-05-12,0.1119
2020-05-13,0.21507
2020-05-14,0.2365
2020-05-15,0.18055
2020-05-16,0.1238
2020-05-17,0.13769
2020-05-18,0.17896
2020-05-19,0.20634
2020-05-20,0.2115
2020-05-21,0.23214
2020-05-22,0.19444
2020-05-23,0.11904
2020-05-24,0.13412
2020-05-25,0.18253
2020-05-26,0.23015
2020-05-27,0.21626
2020-05-28,0.17341
2020-05-29,0.13769
2020-05-30,0.10237
2020-05-31,0.10079
2020-06-01,0.28174
2020-06-02,0.21785
2020-06-03,0.19761
2020-06-04,0.18729
2020-06-05,0.2496
2020-06-06,0.1738
2020-06-07,0.12817
2020-06-08,0.20039
2020-06-09,0.20833
2020-06-10,0.19761
2020-06-11,0.2611
2020-06-12,0.19047
2020-06-13,0.12182
2020-06-14,0.0992
2020-06-15,10.06813
2020-06-16,6.08246
2020-06-17,1.75632
2020-06-18,0.73491
2020-06-19,0.57737
2020-06-20,0.38451
2020-06-21,2.70869
2020-06-22,7.77093
2020-06-23,13.58753
2020-06-24,3.62297
2020-06-25,100.0
2020-06-26,15.44148
2020-06-27,2.46306
2020-06-28,2.49877
2020-06-29,2.75949
2020-06-30,2.42378
2020-07-01,2.03251
2020-07-02,1.78093
2020-07-03,1.16347
2020-07-04,1.50514
2020-07-05,1.33847
2020-07-06,1.42696
2020-07-07,1.61069
2020-07-08,1.18173
2020-07-09,0.91983
2020-07-10,0.74364
2020-07-11,0.61983
2020-07-12,0.60316
2020-07-13,0.86546
2020-07-14,0.82459
2020-07-15,0.78133
2020-07-16,0.62935
2020-07-17,3.3313
2020-07-18,1.2976
2020-07-19,0.70753
2020-07-20,1.11665
2020-07-21,1.58252
2020-07-22,12.98952
2020-07-23,2.89917
2020-07-24,1.14324
2020-07-25,0.69522
2020-07-26,0.76467
2020-07-27,0.67142
2020-07-28,0.66626
2020-07-29,0.59324
2020-07-30,0.61784
2020-07-31,0.51983
2020-08-01,0.48412
2020-08-02,0.44047
2020-08-03,0.53015
2020-08-04,0.58253
2020-08-05,0.66784
2020-08-06,0.61427
2020-08-07,0.63451
2020-08-08,0.47261
2020-08-09,0.41229
2020-08-10,0.58848
2020-08-11,0.57777
2020-08-12,0.53451
2020-08-13,0.58412
2020-08-14,0.76983
2020-08-15,0.52618
2020-08-16,0.39682
2020-08-17,0.35793
2020-08-18,0.81308
2020-08-19,0.73372
2020-08-20,0.59086
2020-08-21,0.49721
2020-08-22,0.35078
2020-08-23,0.3238
2020-08-24,0.48094
2020-08-25,0.61904
2020-08-26,0.58848
2020-08-27,0.57856
2020-08-28,0.51705
2020-08-29,0.42737
2020-08-30,0.45951
2020-08-31,0.60277
2020-09-01,0.59999
2020-09-02,0.96109
2020-09-03,0.76864
2020-09-04,0.62935
2020-09-05,0.48094
2020-09-06,0.54245
2020-09-07,0.62181
2020-09-08,0.75435
2020-09-09,0.56983
2020-09-10,0.65951
2020-09-11,0.54404
2020-09-12,0.48888
2020-09-13,0.48689
2020-09-14,0.55792
2020-09-15,0.64721
2020-09-16,0.63927
2020-09-17,0.57419
2020-09-18,0.72261
2020-09-19,0.57499
2020-09-20,0.60872
2020-09-21,0.57737
2020-09-22,0.63729
2020-09-23,0.87419
2020-09-24,1.38569
2020-09-25,1.38887
2020-09-26,0.93213
2020-09-27,0.78094
2020-09-28,1.07538
2020-09-29,0.90713
2020-09-30,0.94483
2020-10-01,0.60713
2020-10-02,0.43253
2020-10-03,0.41269
2020-10-04,0.57419
2020-10-05,0.75118
2020-10-06,0.76903
2020-10-07,1.69918
2020-10-08,1.25673
2020-10-09,0.74403
2020-10-10,0.55435
2020-10-11,0.56308
2020-10-12,0.95078
2020-10-13,0.65078
2020-10-14,0.59642
2020-10-15,0.52777
2020-10-16,0.5738
2020-10-17,0.34999
2020-10-18,0.30039
2020-10-19,0.58848
2020-10-20,1.1357
2020-10-21,1.10078
2020-10-22,1.16704
2020-10-23,0.67816
2020-10-24,0.36348
2020-10-25,0.40316
2020-10-26,2.00672
2020-10-27,1.28212
2020-10-28,0.77538
2020-10-29,0.83967
2020-10-30,0.82935
2020-10-31,0.43253
2020-11-01,0.59602
