date,리플전망
2020-03-20,1.3056
2020-03-21,0.95564
2020-03-22,1.12053
2020-03-23,1.23157
2020-03-24,1.27868
2020-03-25,1.24167
2020-03-26,1.21475
2020-03-27,1.5647
2020-03-28,1.08688
2020-03-29,1.02631
2020-03-30,1.10034
2020-03-31,1.07005
2020-04-01,0.87489
2020-04-02,0.93882
2020-04-03,0.8547
2020-04-04,0.93545
2020-04-05,0.98929
2020-04-06,1.3157
2020-04-07,1.7767
2020-04-08,1.25849
2020-04-09,1.17773
2020-04-10,0.94891
2020-04-11,0.7201
2020-04-12,0.78403
2020-04-13,0.92536
2020-04-14,0.73356
2020-04-15,0.76721
2020-04-16,0.84797
2020-04-17,0.80086
2020-04-18,0.69991
2020-04-19,0.59896
2020-04-20,0.89171
2020-04-21,0.89508
2020-04-22,0.80759
2020-04-23,0.80759
2020-04-24,1.02967
2020-04-25,0.89171
2020-04-26,0.85133
2020-04-27,1.08351
2020-04-28,1.64546
2020-04-29,2.85348
2020-04-30,2.65159
2020-05-01,1.23157
2020-05-02,0.99939
2020-05-03,1.39982
2020-05-04,1.12389
2020-05-05,0.94555
2020-05-06,1.06332
2020-05-07,1.13062
2020-05-08,1.3729
2020-05-09,1.09697
2020-05-10,1.15081
2020-05-11,1.19456
2020-05-12,1.11716
2020-05-13,0.87825
2020-05-14,0.90854
2020-05-15,0.92873
2020-05-16,0.63597
2020-05-17,0.72346
2020-05-18,0.96237
2020-05-19,0.99939
2020-05-20,1.09697
2020-05-21,0.70327
2020-05-22,0.80759
2020-05-23,0.6528
2020-05-24,0.67635
2020-05-25,0.96237
2020-05-26,0.95228
2020-05-27,0.92536
2020-05-28,0.78067
2020-05-29,0.73019
2020-05-30,0.79076
2020-05-31,0.83787
2020-06-01,0.8547
2020-06-02,1.13735
2020-06-03,0.87489
2020-06-04,0.9119
2020-06-05,0.75375
2020-06-06,0.81432
2020-06-07,0.66626
2020-06-08,0.90854
2020-06-09,0.74029
2020-06-10,1.1138
2020-06-11,0.89844
2020-06-12,0.74029
2020-06-13,0.5081
2020-06-14,0.66289
2020-06-15,0.92873
2020-06-16,0.99266
2020-06-17,0.83114
2020-06-18,0.7773
2020-06-19,1.00275
2020-06-20,0.66626
2020-06-21,0.97583
2020-06-22,1.36617
2020-06-23,1.26186
2020-06-24,1.22148
2020-06-25,0.94218
2020-06-26,1.07342
2020-06-27,0.62924
2020-06-28,0.9119
2020-06-29,0.99602
2020-06-30,0.98593
2020-07-01,1.06332
2020-07-02,0.90181
2020-07-03,0.8547
2020-07-04,0.63597
2020-07-05,0.67972
2020-07-06,1.09024
2020-07-07,0.89508
