date,상가임대
2020-11-08,47.06911
2020-11-09,67.1916
2020-11-10,66.31671
2020-11-11,68.7664
2020-11-12,65.09186
2020-11-13,58.18022
2020-11-14,52.66841
2020-11-15,60.10498
2020-11-16,73.84076
2020-11-17,79.26509
2020-11-18,79.44006
2020-11-19,72.09098
2020-11-20,63.1671
2020-11-21,45.49431
2020-11-22,49.34383
2020-11-23,61.76727
2020-11-24,64.39195
2020-11-25,63.34208
2020-11-26,60.62992
2020-11-27,48.38145
2020-11-28,43.56955
2020-11-29,43.04461
2020-11-30,61.32983
2020-12-01,55.38057
2020-12-02,63.1671
2020-12-03,55.55555
2020-12-04,52.14348
2020-12-05,43.39457
2020-12-06,46.28171
2020-12-07,57.5678
2020-12-08,56.34295
2020-12-09,61.41732
2020-12-10,58.09273
2020-12-11,53.28083
2020-12-12,41.03237
2020-12-13,47.33158
2020-12-14,62.02974
2020-12-15,60.54243
2020-12-16,64.91688
2020-12-17,55.03062
2020-12-18,50.21872
2020-12-19,42.16972
2020-12-20,41.90726
2020-12-21,55.55555
2020-12-22,56.95538
2020-12-23,56.16797
2020-12-24,41.46981
2020-12-25,37.5328
2020-12-26,47.1566
2020-12-27,50.91863
2020-12-28,61.85476
2020-12-29,55.46806
2020-12-30,54.06824
2020-12-31,40.7699
2021-01-01,41.29483
2021-01-02,52.93088
2021-01-03,52.7559
2021-01-04,66.66666
2021-01-05,66.22922
2021-01-06,62.99212
2021-01-07,58.09273
2021-01-08,54.59317
2021-01-09,46.10673
2021-01-10,54.50568
2021-01-11,69.29133
2021-01-12,66.05424
2021-01-13,66.05424
2021-01-14,66.75415
2021-01-15,65.96675
2021-01-16,57.91776
2021-01-17,59.05511
2021-01-18,75.85301
2021-01-19,74.97812
2021-01-20,64.56692
2021-01-21,76.99037
2021-01-22,74.54068
2021-01-23,57.48031
2021-01-24,64.82939
2021-01-25,83.63954
2021-01-26,75.76552
2021-01-27,81.71478
2021-01-28,72.52843
2021-01-29,63.77952
2021-01-30,57.74278
2021-01-31,57.91776
2021-02-01,77.51531
2021-02-02,73.49081
2021-02-03,72.35345
2021-02-04,67.89151
2021-02-05,69.46631
2021-02-06,54.59317
2021-02-07,52.31846
2021-02-08,65.87926
2021-02-09,62.11723
2021-02-10,52.84339
2021-02-11,40.94488
2021-02-12,33.77077
2021-02-13,45.23184
2021-02-14,64.12948
2021-02-15,100.0
2021-02-16,89.76377
2021-02-17,90.72615
2021-02-18,87.83902
2021-02-19,78.12773
2021-02-20,61.15485
2021-02-21,63.86701
2021-02-22,96.32545
2021-02-23,92.12598
2021-02-24,84.42694
2021-02-25,85.03937
2021-02-26,73.5783
2021-02-27,69.20384
2021-02-28,60.89238
2021-03-01,72.87839
2021-03-02,87.75153
2021-03-03,83.11461
2021-03-04,85.47681
2021-03-05,75.1531
2021-03-06,65.87926
2021-03-07,59.66754
2021-03-08,92.03849
2021-03-09,80.48993
2021-03-10,77.42782
2021-03-11,80.40244
2021-03-12,72.09098
2021-03-13,55.11811
2021-03-14,60.27996
2021-03-15,83.9895
2021-03-16,80.13998
2021-03-17,83.46456
2021-03-18,78.82764
2021-03-19,71.65354
2021-03-20,60.10498
2021-03-21,60.89238
2021-03-22,75.76552
2021-03-23,73.66579
2021-03-24,87.22659
2021-03-25,79.00262
2021-03-26,69.29133
2021-03-27,53.80577
2021-03-28,60.71741
2021-03-29,87.57655
2021-03-30,81.5398
2021-03-31,75.9405
2021-04-01,77.51531
2021-04-02,64.30446
2021-04-03,53.5433
2021-04-04,55.03062
2021-04-05,70.42869
2021-04-06,70.25371
2021-04-07,66.57917
2021-04-08,73.22834
2021-04-09,61.5923
2021-04-10,45.84426
2021-04-11,51.61854
2021-04-12,67.62904
2021-04-13,69.5538
2021-04-14,69.90376
2021-04-15,66.31671
2021-04-16,62.72965
2021-04-17,52.66841
2021-04-18,49.16885
2021-04-19,73.84076
2021-04-20,71.82852
2021-04-21,66.92913
2021-04-22,70.95363
2021-04-23,64.91688
2021-04-24,46.98162
2021-04-25,50.04374
2021-04-26,69.72878
2021-04-27,69.29133
2021-04-28,59.05511
2021-04-29,65.35433
2021-04-30,51.70603
2021-05-01,42.78215
2021-05-02,44.44444
2021-05-03,59.84251
2021-05-04,58.96762
2021-05-05,50.74365
2021-05-06,61.32983
2021-05-07,55.81802
2021-05-08,48.81889
2021-05-09,47.76902
2021-05-10,67.36657
2021-05-11,72.09098
2021-05-12,74.80314
2021-05-13,69.90376
2021-05-14,59.66754
2021-05-15,48.46894
2021-05-16,48.11898
2021-05-17,74.62817
2021-05-18,69.20384
2021-05-19,54.50568
2021-05-20,74.97812
2021-05-21,64.47944
2021-05-22,52.31846
2021-05-23,51.26859
2021-05-24,74.3657
2021-05-25,72.35345
2021-05-26,72.09098
2021-05-27,70.42869
2021-05-28,62.99212
2021-05-29,47.68153
2021-05-30,52.7559
2021-05-31,64.47944
2021-06-01,77.95275
2021-06-02,75.06561
2021-06-03,71.1286
2021-06-04,58.88013
2021-06-05,53.19335
2021-06-06,50.65616
2021-06-07,75.85301
2021-06-08,70.60367
2021-06-09,71.1286
2021-06-10,66.84164
2021-06-11,62.72965
2021-06-12,53.5433
2021-06-13,50.83114
2021-06-14,77.25284
2021-06-15,68.24146
2021-06-16,69.37882
2021-06-17,70.60367
2021-06-18,55.993
2021-06-19,58.44269
2021-06-20,50.30621
2021-06-21,78.30271
2021-06-22,78.56517
2021-06-23,72.17847
2021-06-24,68.7664
2021-06-25,60.45494
2021-06-26,51.88101
2021-06-27,52.7559
2021-06-28,76.20297
2021-06-29,62.46719
2021-06-30,64.30446
2021-07-01,67.45406
2021-07-02,63.77952
2021-07-03,50.91863
2021-07-04,50.65616
2021-07-05,76.64041
2021-07-06,80.22747
2021-07-07,70.60367
2021-07-08,63.77952
2021-07-09,58.44269
2021-07-10,51.35608
2021-07-11,51.26859
2021-07-12,78.91513
2021-07-13,78.82764
2021-07-14,70.42869
2021-07-15,72.96587
2021-07-16,52.58092
2021-07-17,51.9685
2021-07-18,59.49256
2021-07-19,75.06561
2021-07-20,71.1286
2021-07-21,64.91688
2021-07-22,60.89238
2021-07-23,56.34295
2021-07-24,47.68153
2021-07-25,49.51881
2021-07-26,64.65441
2021-07-27,64.12948
2021-07-28,55.55555
2021-07-29,62.20472
2021-07-30,58.44269
2021-07-31,43.91951
2021-08-01,47.59405
2021-08-02,61.50481
2021-08-03,68.67891
2021-08-04,59.1426
2021-08-05,64.56692
2021-08-06,50.48118
2021-08-07,49.51881
2021-08-08,53.63079
2021-08-09,69.81627
2021-08-10,67.71653
2021-08-11,70.95363
2021-08-12,64.21697
2021-08-13,69.11636
2021-08-14,51.61854
2021-08-15,44.53193
2021-08-16,64.30446
2021-08-17,68.32895
2021-08-18,76.11548
2021-08-19,76.37795
2021-08-20,71.65354
2021-08-21,54.68066
2021-08-22,53.89326
2021-08-23,73.40332
2021-08-24,69.29133
2021-08-25,71.91601
2021-08-26,75.06561
2021-08-27,63.51706
2021-08-28,54.06824
2021-08-29,49.60629
2021-08-30,77.95275
2021-08-31,69.72878
2021-09-01,74.97812
2021-09-02,69.81627
2021-09-03,61.50481
2021-09-04,55.55555
2021-09-05,50.3937
2021-09-06,73.31583
2021-09-07,67.27909
2021-09-08,69.20384
2021-09-09,68.24146
2021-09-10,60.80489
2021-09-11,47.24409
2021-09-12,49.78127
2021-09-13,68.7664
2021-09-14,73.66579
2021-09-15,62.90463
2021-09-16,60.01749
2021-09-17,45.40682
2021-09-18,41.99475
2021-09-19,38.84514
2021-09-20,29.13385
2021-09-21,35.1706
2021-09-22,48.38145
2021-09-23,78.56517
2021-09-24,74.01574
2021-09-25,54.85564
2021-09-26,56.69291
2021-09-27,79.26509
2021-09-28,81.62729
2021-09-29,70.42869
2021-09-30,77.16535
2021-10-01,65.26684
2021-10-02,54.24321
2021-10-03,54.15573
2021-10-04,66.75415
2021-10-05,77.86526
2021-10-06,74.3657
2021-10-07,76.20297
2021-10-08,67.979
2021-10-09,53.5433
2021-10-10,53.45581
2021-10-11,61.24234
2021-10-12,73.49081
2021-10-13,75.24059
2021-10-14,75.85301
2021-10-15,66.66666
2021-10-16,55.20559
